time,open,high,low,close,volume,symbol
2025-02-10,95.0,95.0,92.564,92.759,637700,PNJ
2025-02-11,92.856,93.441,92.077,92.077,290000,PNJ
2025-02-12,92.661,93.051,92.174,92.564,172000,PNJ
2025-02-13,93.051,93.148,92.174,92.564,230100,PNJ
2025-02-14,93.538,93.733,92.564,93.148,234900,PNJ
2025-02-17,92.759,93.051,91.492,92.954,550700,PNJ
2025-02-18,92.759,92.759,91.2,91.2,705200,PNJ
2025-02-19,91.2,92.564,91.2,92.564,322600,PNJ
2025-02-20,92.369,92.466,91.589,91.687,344200,PNJ
2025-02-21,91.687,92.466,91.687,91.882,246200,PNJ
2025-02-24,92.077,92.661,91.979,92.174,195900,PNJ
2025-02-25,92.466,93.343,92.271,93.051,371600,PNJ
2025-02-26,93.051,93.148,92.369,93.148,621300,PNJ
2025-02-27,93.246,93.343,92.271,92.271,244200,PNJ
2025-02-28,92.271,92.369,91.102,91.589,578000,PNJ
2025-03-03,91.589,92.271,91.395,91.687,226000,PNJ
2025-03-04,91.687,92.174,91.492,91.784,258500,PNJ
2025-03-05,91.589,91.882,90.615,90.615,693200,PNJ
2025-03-06,92.174,92.174,91.102,91.297,280100,PNJ
2025-03-07,91.102,91.784,90.712,91.492,352400,PNJ
2025-03-10,91.492,91.492,90.907,90.907,318800,PNJ
2025-03-11,91.005,91.005,90.42,91.005,279600,PNJ
2025-03-12,91.005,91.005,88.666,88.666,1268500,PNJ
2025-03-13,89.348,89.446,87.692,87.692,1102700,PNJ
2025-03-14,87.789,88.666,84.769,85.159,1711300,PNJ
2025-03-17,85.646,86.133,83.697,85.646,1136900,PNJ
2025-03-18,85.646,86.718,85.646,85.938,447000,PNJ
2025-03-19,86.425,87.497,85.841,85.938,469000,PNJ
2025-03-20,87.302,87.984,86.23,87.497,863300,PNJ
2025-03-21,87.497,87.497,86.523,87.302,229700,PNJ
2025-03-24,87.595,87.595,86.036,86.23,268100,PNJ
2025-03-25,86.23,86.328,84.769,85.548,664500,PNJ
2025-03-26,85.548,86.036,84.379,84.379,558200,PNJ
2025-03-27,84.379,84.574,82.723,82.723,1247400,PNJ
2025-03-28,82.723,82.82,79.897,79.897,3238200,PNJ
2025-03-31,79.897,81.164,79.897,81.164,1001000,PNJ
2025-04-01,81.164,81.554,80.482,81.261,411800,PNJ
2025-04-02,81.359,82.138,80.384,80.384,727000,PNJ
2025-04-03,77.948,79.02,74.831,74.831,2631900,PNJ
2025-04-04,69.666,71.128,69.666,70.641,4119900,PNJ
2025-04-08,67.718,69.374,65.769,65.769,1426300,PNJ
2025-04-09,61.19,64.892,61.19,61.19,3789000,PNJ
2025-04-10,65.379,65.379,65.379,65.379,59600,PNJ
2025-04-11,69.861,69.861,69.472,69.861,3658800,PNJ
2025-04-14,72.005,73.856,71.128,71.81,1873800,PNJ
2025-04-15,71.42,71.518,68.205,69.666,1937800,PNJ
2025-04-16,69.374,69.374,66.451,66.841,1786700,PNJ
2025-04-17,66.354,68.205,65.964,68.01,1645500,PNJ
2025-04-18,68.692,71.031,68.497,70.641,1095000,PNJ
2025-04-21,70.641,71.615,67.718,67.718,1128000,PNJ
2025-04-22,67.718,67.815,63.041,65.379,2455900,PNJ
2025-04-23,67.231,67.913,66.256,67.036,1320500,PNJ
2025-04-24,67.231,69.569,67.231,69.179,1223100,PNJ
2025-04-25,69.569,69.569,67.815,68.302,1507400,PNJ
2025-04-28,68.302,69.179,68.205,68.984,864400,PNJ
2025-04-29,68.692,69.277,68.595,69.277,626100,PNJ
2025-05-05,69.764,70.348,68.497,68.984,809800,PNJ
2025-05-06,69.082,71.713,69.082,71.713,1834900,PNJ
2025-05-07,71.323,71.42,70.446,70.933,1248300,PNJ
2025-05-08,70.154,72.492,70.154,72.102,1628400,PNJ
