time,open,high,low,close,volume,symbol
2025-02-10,10.91,11.202,10.91,11.202,14300,PRT
2025-02-11,11.007,11.007,11.007,11.007,1,PRT
2025-02-12,11.689,11.689,10.618,10.618,1610,PRT
2025-02-13,10.52,10.52,10.423,10.423,3000,PRT
2025-02-14,10.52,10.52,10.52,10.52,1514,PRT
2025-02-17,10.715,10.715,10.618,10.715,14500,PRT
2025-02-18,10.618,10.715,10.618,10.715,7100,PRT
2025-02-19,10.52,10.715,10.52,10.618,9110,PRT
2025-02-20,10.715,10.91,10.618,10.715,35208,PRT
2025-02-21,10.813,11.592,10.813,11.397,183200,PRT
2025-02-24,12.663,12.663,11.202,11.202,15238,PRT
2025-02-25,11.202,11.3,11.105,11.202,47808,PRT
2025-02-26,11.494,11.494,11.202,11.3,17403,PRT
2025-02-27,11.202,11.3,11.202,11.202,6600,PRT
2025-02-28,11.202,11.202,11.007,11.007,53602,PRT
2025-03-03,11.105,11.105,10.91,11.105,6400,PRT
2025-03-04,11.007,11.007,10.91,10.91,28500,PRT
2025-03-05,10.91,10.91,10.715,10.715,30000,PRT
2025-03-06,10.715,10.715,10.618,10.715,30900,PRT
2025-03-07,10.618,10.715,10.52,10.618,39000,PRT
2025-03-10,10.325,11.202,10.228,11.202,146101,PRT
2025-03-11,11.202,11.689,11.007,11.494,59609,PRT
2025-03-12,11.689,11.689,11.3,11.3,2200,PRT
2025-03-13,11.592,11.884,11.105,11.105,29800,PRT
2025-03-14,11.397,11.494,10.813,11.202,21900,PRT
2025-03-17,10.91,11.202,10.52,11.202,25900,PRT
2025-03-18,10.813,10.813,10.52,10.52,21100,PRT
2025-03-19,11.105,11.105,10.715,10.715,3500,PRT
2025-03-20,11.007,11.007,11.007,11.007,0,PRT
2025-03-21,10.423,10.715,10.423,10.715,2300,PRT
2025-03-24,11.007,11.007,10.813,10.813,200,PRT
2025-03-25,10.715,10.715,10.52,10.618,4400,PRT
2025-03-26,10.618,10.618,10.618,10.618,200,PRT
2025-03-27,10.52,10.52,10.423,10.423,1600,PRT
2025-03-28,10.52,10.52,10.423,10.52,1400,PRT
2025-03-31,10.325,10.52,10.325,10.325,15300,PRT
2025-04-01,10.228,10.423,10.228,10.325,2810,PRT
2025-04-02,10.52,10.715,10.228,10.52,14800,PRT
2025-04-03,10.228,10.228,9.254,9.644,7200,PRT
2025-04-04,10.715,10.715,9.644,10.228,1401,PRT
2025-04-08,10.228,10.228,8.475,9.449,17700,PRT
2025-04-09,8.864,8.864,8.475,8.572,7600,PRT
2025-04-10,9.741,9.936,9.741,9.838,16009,PRT
2025-04-11,9.741,9.936,8.767,9.741,8601,PRT
2025-04-14,9.838,9.838,9.838,9.838,100,PRT
2025-04-15,9.059,9.741,8.767,9.741,3200,PRT
2025-04-16,9.351,9.741,9.157,9.741,1809,PRT
2025-04-17,9.546,9.546,9.546,9.546,0,PRT
2025-04-18,9.449,9.546,9.157,9.546,5300,PRT
2025-04-21,9.546,9.546,9.546,9.546,200,PRT
2025-04-22,9.157,9.546,9.157,9.546,1109,PRT
2025-04-23,9.936,9.936,9.936,9.936,100,PRT
2025-04-24,9.741,9.741,9.741,9.741,5000,PRT
2025-04-25,9.741,10.715,9.546,9.546,9400,PRT
2025-04-28,9.254,9.644,9.059,9.157,7000,PRT
2025-04-29,9.741,9.741,9.741,9.741,200,PRT
2025-05-05,9.059,9.059,8.767,8.767,9100,PRT
2025-05-06,8.864,9.449,8.864,9.449,7200,PRT
2025-05-07,9.644,9.644,9.449,9.449,2100,PRT
2025-05-08,9.741,9.741,9.059,9.157,4100,PRT
2025-05-09,9.644,9.644,9.059,9.059,1700,PRT
2025-05-12,9.059,9.449,9.059,9.449,700,PRT
2025-05-13,9.059,9.449,9.059,9.449,6100,PRT
2025-05-14,9.254,9.449,9.059,9.059,9400,PRT
2025-05-15,9.449,9.449,9.059,9.157,8900,PRT
2025-05-16,9.157,9.157,9.157,9.157,16100,PRT
2025-05-19,9.449,9.546,9.059,9.059,3409,PRT
2025-05-20,9.351,9.351,9.351,9.351,0,PRT
2025-05-21,9.546,9.546,9.059,9.059,4100,PRT
2025-05-22,9.449,9.449,9.449,9.449,100,PRT
2025-05-23,9.449,9.449,9.449,9.449,200,PRT
2025-05-26,9.059,9.254,8.962,9.254,7800,PRT
2025-05-27,9.254,9.254,9.254,9.254,300,PRT
2025-05-28,9.254,9.254,9.254,9.254,1500,PRT
2025-05-29,9.254,9.254,9.254,9.254,5900,PRT
2025-05-30,10.033,10.033,9.254,9.741,800,PRT
2025-06-02,9.059,9.351,9.059,9.351,4400,PRT
2025-06-03,9.351,10.325,9.351,9.741,23500,PRT
2025-06-04,9.936,10.033,9.741,9.741,52400,PRT
2025-06-05,9.254,9.838,9.254,9.838,1500,PRT
2025-06-06,8.864,9.741,8.864,9.546,9800,PRT
2025-06-09,9.741,9.741,9.059,9.059,5600,PRT
2025-06-10,9.157,9.449,9.059,9.254,12100,PRT
2025-06-11,9.254,9.449,9.254,9.449,2300,PRT
2025-06-12,9.351,9.546,9.351,9.546,7001,PRT
2025-06-13,9.351,9.546,9.351,9.546,1700,PRT
2025-06-16,9.351,9.449,9.351,9.351,2600,PRT
2025-06-17,9.449,9.644,9.449,9.644,11000,PRT
2025-06-18,9.644,9.644,9.546,9.546,14100,PRT
2025-06-19,9.546,9.644,9.449,9.644,9100,PRT
2025-06-20,9.546,9.741,9.449,9.741,14200,PRT
2025-06-23,9.741,10.131,9.546,9.838,168400,PRT
2025-06-24,10.228,10.423,10.033,10.033,64600,PRT
2025-06-25,9.838,10.033,9.838,10.033,900,PRT
2025-06-26,9.936,10.131,9.936,10.131,2200,PRT
2025-06-27,10.033,10.033,10.033,10.033,300,PRT
2025-06-30,9.741,10.033,9.644,10.033,3000,PRT
2025-07-01,10.033,10.033,9.741,9.838,5200,PRT
2025-07-02,9.936,10.033,9.546,9.936,12900,PRT
2025-07-03,9.838,9.838,9.838,9.838,0,PRT
2025-07-04,9.838,9.936,9.838,9.936,2100,PRT
2025-07-07,9.741,10.033,9.741,9.741,5600,PRT
2025-07-08,9.838,9.936,9.741,9.936,1700,PRT
2025-07-09,9.936,9.936,9.838,9.838,200,PRT
2025-07-10,9.838,9.936,9.546,9.838,7700,PRT
2025-07-11,9.936,9.936,9.741,9.741,22600,PRT
2025-07-14,9.838,9.838,9.838,9.838,0,PRT
2025-07-15,9.741,9.838,9.741,9.741,13600,PRT
2025-07-16,9.936,9.936,9.936,9.936,102,PRT
2025-07-17,9.936,9.936,9.838,9.838,2500,PRT
2025-07-18,9.936,9.936,9.741,9.936,8900,PRT
2025-07-21,9.838,9.838,9.838,9.838,4900,PRT
2025-07-22,9.741,9.838,9.741,9.741,24600,PRT
2025-07-23,9.936,9.936,9.644,9.644,65800,PRT
2025-07-24,9.838,9.838,9.644,9.644,1900,PRT
2025-07-25,9.741,9.741,9.644,9.644,6000,PRT
2025-07-28,9.546,9.741,9.546,9.644,26600,PRT
2025-07-29,9.546,9.644,9.351,9.351,32700,PRT
2025-07-30,9.351,9.546,9.254,9.351,2904,PRT
2025-07-31,9.449,9.741,9.351,9.351,10800,PRT
2025-08-01,9.351,9.741,9.351,9.741,43200,PRT
2025-08-04,9.546,9.644,9.546,9.546,9000,PRT
2025-08-05,9.449,9.741,9.449,9.741,54912,PRT
2025-08-06,9.644,10.423,9.644,10.228,89800,PRT
2025-08-07,10.423,10.423,10.033,10.423,18600,PRT
2025-08-08,10.618,10.715,10.131,10.228,13910,PRT
2025-08-11,10.131,10.618,9.936,10.618,56412,PRT
2025-08-12,10.618,10.715,10.52,10.715,24900,PRT
2025-08-13,10.715,11.007,10.715,10.91,53400,PRT
2025-08-14,11.105,11.202,10.715,10.91,12600,PRT
2025-08-15,10.813,11.007,10.813,10.813,21300,PRT
2025-08-18,10.91,11.494,10.91,11.397,28702,PRT
2025-08-19,11.494,11.689,11.397,11.494,46900,PRT
2025-08-20,9.936,11.689,9.936,10.715,45200,PRT
2025-08-21,11.397,11.397,10.91,11.202,13702,PRT
2025-08-22,11.007,11.007,10.715,10.715,26900,PRT
2025-08-25,11.592,11.592,10.715,10.91,10200,PRT
2025-08-26,10.91,11.105,10.91,11.105,3300,PRT
2025-08-27,11.007,11.397,11.007,11.397,200,PRT
2025-08-28,11.397,11.397,11.007,11.007,10100,PRT
2025-08-29,11.202,11.202,10.91,11.007,801,PRT
2025-09-03,11.202,11.202,10.52,10.91,57500,PRT
2025-09-04,10.715,11.007,10.715,11.007,13300,PRT
2025-09-05,10.715,10.715,10.715,10.715,10000,PRT
2025-09-08,10.715,11.105,10.618,10.715,23200,PRT
2025-09-09,10.715,10.715,10.715,10.715,0,PRT
2025-09-10,10.91,10.91,10.91,10.91,100,PRT
2025-09-11,10.423,10.715,10.423,10.715,18000,PRT
2025-09-12,10.813,11.202,10.52,11.202,13701,PRT
2025-09-15,11.202,11.494,11.202,11.494,1008,PRT
2025-09-16,11.397,11.494,11.202,11.202,700,PRT
2025-09-17,11.202,11.202,10.618,10.618,200,PRT
2025-09-18,10.715,10.715,10.423,10.52,7400,PRT
2025-09-19,10.715,10.715,10.715,10.715,3000,PRT
2025-09-22,11.202,11.202,10.715,10.715,22100,PRT
2025-09-23,10.91,10.91,10.91,10.91,0,PRT
2025-09-24,10.91,11.202,10.91,11.202,39300,PRT
2025-09-25,11.397,11.494,10.91,11.202,28500,PRT
2025-09-26,11.7,11.7,11.7,11.7,1003,PRT
2025-09-29,11.6,11.7,11.0,11.3,17805,PRT
2025-09-30,11.7,11.7,10.8,11.5,7300,PRT
2025-10-01,12.3,12.3,11.7,11.7,300,PRT
2025-10-02,11.0,11.6,11.0,11.6,3000,PRT
2025-10-03,12.0,12.0,10.8,11.6,13700,PRT
2025-10-06,11.8,12.0,11.0,11.9,4100,PRT
2025-10-07,11.9,11.9,11.0,11.2,13200,PRT
2025-10-08,11.9,11.9,11.2,11.2,1300,PRT
2025-10-09,11.6,11.7,11.0,11.3,24600,PRT
2025-10-10,11.7,11.8,11.2,11.2,2100,PRT
2025-10-13,11.7,11.8,11.7,11.8,3000,PRT
2025-10-14,11.6,11.8,11.1,11.1,9000,PRT
2025-10-15,11.1,11.1,10.8,10.8,7100,PRT
2025-10-16,10.7,11.0,10.5,11.0,18300,PRT
2025-10-17,10.9,12.0,10.4,10.5,9900,PRT
2025-10-20,10.5,11.4,10.5,11.4,1500,PRT
2025-10-21,10.6,10.9,10.4,10.9,600,PRT
2025-10-22,10.9,11.2,10.9,11.2,300,PRT
2025-10-23,10.8,10.8,10.7,10.7,200,PRT
2025-10-24,10.8,10.8,10.8,10.8,0,PRT
2025-10-27,10.4,10.4,10.3,10.3,500,PRT
2025-10-28,10.4,10.6,10.2,10.2,14200,PRT
2025-10-29,10.8,10.8,10.3,10.3,7700,PRT
2025-10-30,10.4,10.4,10.4,10.4,14500,PRT
2025-10-31,10.4,10.7,10.4,10.7,28600,PRT
2025-11-03,10.9,11.3,10.8,10.8,31200,PRT
2025-11-04,10.5,11.3,10.5,11.3,3101,PRT
2025-11-05,11.2,11.3,11.2,11.3,3100,PRT
2025-11-06,10.6,10.6,10.6,10.6,600,PRT
2025-11-07,10.7,11.0,10.7,10.9,1501,PRT
2025-11-10,10.8,10.8,10.8,10.8,3100,PRT
2025-11-11,11.0,11.2,11.0,11.2,1500,PRT
2025-11-12,10.4,11.3,10.4,10.9,4700,PRT
2025-11-13,11.0,11.0,10.8,10.8,7300,PRT
2025-11-14,10.8,11.0,10.8,10.8,3000,PRT
2025-11-17,11.0,11.2,10.8,11.2,7300,PRT
2025-11-18,11.1,11.2,10.9,11.2,3800,PRT
2025-11-19,11.1,11.2,11.1,11.2,6000,PRT
2025-11-20,11.3,12.0,11.2,11.5,39400,PRT
2025-11-21,11.8,11.8,11.4,11.6,4700,PRT
2025-11-24,11.5,11.6,11.2,11.4,2700,PRT
2025-11-25,11.4,11.4,11.4,11.4,200,PRT
2025-11-26,11.5,11.8,11.5,11.5,3100,PRT
2025-11-27,11.4,11.6,11.1,11.5,3900,PRT
2025-11-28,11.4,11.4,11.2,11.3,2200,PRT
2025-12-01,11.4,11.4,11.3,11.3,200,PRT
2025-12-02,11.4,11.7,11.4,11.5,5601,PRT
2025-12-03,11.7,11.8,11.1,11.5,3800,PRT
2025-12-04,11.8,11.9,11.3,11.6,6000,PRT
2025-12-05,11.3,11.7,11.3,11.3,17200,PRT
2025-12-08,11.5,11.5,11.5,11.5,100,PRT
2025-12-09,11.5,12.0,11.5,11.7,3300,PRT
2025-12-10,11.5,11.5,11.1,11.1,3601,PRT
2025-12-11,11.2,11.3,11.0,11.0,2300,PRT
2025-12-12,11.9,12.5,11.2,11.2,1611,PRT
2025-12-15,10.4,11.5,10.4,11.5,3600,PRT
2025-12-16,11.2,11.2,11.2,11.2,100,PRT
2025-12-17,11.2,11.2,11.2,11.2,0,PRT
2025-12-18,11.2,11.2,11.2,11.2,0,PRT
2025-12-19,10.5,10.7,10.5,10.6,6500,PRT
2025-12-22,11.0,11.2,10.5,10.5,5500,PRT
2025-12-23,11.0,11.2,10.6,11.2,4200,PRT
2025-12-24,10.4,11.0,10.4,11.0,600,PRT
2025-12-25,11.0,11.1,11.0,11.1,201,PRT
2025-12-26,11.1,11.1,11.1,11.1,0,PRT
2025-12-29,11.1,11.1,11.1,11.1,2,PRT
2025-12-30,11.1,11.1,11.1,11.1,9,PRT
2025-12-31,10.4,10.9,10.3,10.5,4100,PRT
2026-01-05,10.6,10.8,10.6,10.8,500,PRT
2026-01-06,10.8,11.5,10.8,11.2,6300,PRT
2026-01-07,11.0,11.6,10.9,11.1,91900,PRT
2026-01-08,11.2,11.5,11.0,11.5,4800,PRT
2026-01-09,11.0,11.4,11.0,11.3,5700,PRT
2026-01-12,11.3,11.3,11.3,11.3,0,PRT
2026-01-13,11.0,11.0,11.0,11.0,1000,PRT
2026-01-14,11.0,11.4,11.0,11.0,50200,PRT
2026-01-15,10.8,11.3,10.8,11.3,6800,PRT
2026-01-16,11.3,11.4,11.0,11.0,13000,PRT
2026-01-19,11.0,11.0,10.9,11.0,8800,PRT
2026-01-20,10.8,10.8,10.7,10.8,7300,PRT
2026-01-21,10.6,10.7,10.5,10.7,10400,PRT
2026-01-22,11.1,11.2,10.6,10.6,1200,PRT
2026-01-23,10.8,10.8,10.8,10.8,1000,PRT
2026-01-26,11.1,11.1,11.1,11.1,100,PRT
2026-01-27,10.8,10.8,10.6,10.7,2500,PRT
2026-01-28,11.0,11.1,10.6,11.1,1000,PRT
2026-01-29,10.5,11.1,10.4,11.1,1200,PRT
2026-01-30,10.7,10.9,10.0,10.9,1600,PRT
2026-02-02,10.6,11.5,10.5,11.3,11300,PRT
2026-02-03,10.7,10.9,10.7,10.9,22800,PRT
2026-02-04,11.1,11.3,10.9,10.9,4100,PRT
2026-02-05,11.1,11.5,11.1,11.5,95000,PRT
2026-02-06,11.3,11.5,11.3,11.5,21000,PRT
2026-02-09,12.4,12.4,11.0,11.1,5700,PRT
2026-02-10,11.7,11.7,10.7,10.8,6200,PRT
