time,open,high,low,close,volume,symbol
2025-02-10,14.252,14.252,14.252,14.252,1400,PSP
2025-02-11,13.761,13.761,13.761,13.761,100,PSP
2025-02-12,14.744,14.744,14.744,14.744,11100,PSP
2025-02-13,14.744,14.744,14.744,14.744,15900,PSP
2025-02-14,14.744,14.744,14.744,14.744,15000,PSP
2025-02-17,14.744,14.744,14.744,14.744,10000,PSP
2025-02-18,14.744,14.744,14.744,14.744,1300,PSP
2025-02-19,14.744,14.744,14.744,14.744,57900,PSP
2025-02-20,14.645,14.744,14.645,14.744,3900,PSP
2025-02-21,14.744,14.744,14.744,14.744,13000,PSP
2025-02-24,14.744,14.744,13.171,14.744,19300,PSP
2025-02-25,13.761,13.761,13.761,13.761,700,PSP
2025-02-26,13.761,13.761,13.761,13.761,300,PSP
2025-02-27,13.761,13.859,13.761,13.859,6001,PSP
2025-02-28,13.761,13.761,13.564,13.564,3900,PSP
2025-03-03,14.645,14.744,13.171,13.171,6201,PSP
2025-03-04,14.645,14.744,13.269,13.269,11714,PSP
2025-03-05,13.269,13.269,13.269,13.269,400,PSP
2025-03-06,15.235,15.235,13.761,13.761,5300,PSP
2025-03-07,15.137,15.137,11.893,13.761,26000,PSP
2025-03-10,13.662,13.662,13.662,13.662,14,PSP
2025-03-11,13.859,14.744,13.662,14.744,6100,PSP
2025-03-12,13.269,13.269,13.073,13.073,1128,PSP
2025-03-13,13.761,13.761,13.761,13.761,4000,PSP
2025-03-14,13.761,13.761,13.761,13.761,0,PSP
2025-03-17,14.154,14.744,14.154,14.744,192623,PSP
2025-03-18,13.367,14.744,12.778,14.744,3100,PSP
2025-03-19,14.645,14.744,14.645,14.744,3600,PSP
2025-03-20,14.744,14.744,14.744,14.744,0,PSP
2025-03-21,14.744,14.744,14.744,14.744,2300,PSP
2025-03-24,14.744,14.744,14.744,14.744,1100,PSP
2025-03-25,14.842,15.726,14.842,15.726,2305,PSP
2025-03-26,15.235,16.218,13.466,15.333,7522,PSP
2025-03-27,14.449,16.218,14.449,16.218,1022,PSP
2025-03-28,15.628,15.726,13.564,15.333,11200,PSP
2025-03-31,14.449,15.726,13.466,15.137,832,PSP
2025-04-01,15.628,15.628,15.628,15.628,160,PSP
2025-04-02,15.628,15.628,15.628,15.628,5,PSP
2025-04-03,13.466,13.466,13.367,13.367,3600,PSP
2025-04-04,12.778,14.744,12.679,13.367,16240,PSP
2025-04-08,12.778,12.778,11.5,12.286,1050,PSP
2025-04-09,12.286,12.286,12.286,12.286,1000,PSP
2025-04-10,14.055,14.055,14.055,14.055,1200,PSP
2025-04-11,12.581,12.581,12.581,12.581,100,PSP
2025-04-14,14.252,14.449,12.778,12.778,1104,PSP
2025-04-15,14.744,14.744,12.876,12.876,16400,PSP
2025-04-16,12.876,13.367,12.876,13.367,200,PSP
2025-04-17,14.744,14.744,14.744,14.744,3000,PSP
2025-04-18,14.744,16.709,13.367,16.414,2600,PSP
2025-04-21,14.35,14.35,14.35,14.35,50,PSP
2025-04-22,14.35,14.35,14.35,14.35,0,PSP
2025-04-23,14.35,14.35,14.35,14.35,0,PSP
2025-04-24,14.35,14.35,14.35,14.35,0,PSP
2025-04-25,14.35,14.547,14.35,14.547,2500,PSP
2025-04-28,14.547,14.547,14.547,14.547,3500,PSP
2025-04-29,15.235,15.235,15.235,15.235,100,PSP
2025-05-05,15.235,15.235,15.235,15.235,0,PSP
2025-05-06,13.466,13.466,13.466,13.466,500,PSP
2025-05-07,13.466,13.466,13.466,13.466,0,PSP
2025-05-08,13.466,13.466,13.466,13.466,0,PSP
2025-05-09,13.466,13.466,13.466,13.466,0,PSP
2025-05-12,12.974,12.974,12.974,12.974,500,PSP
2025-05-13,14.744,14.744,14.744,14.744,154,PSP
2025-05-14,14.744,14.744,14.744,14.744,2804,PSP
2025-05-15,14.744,14.744,14.744,14.744,2,PSP
2025-05-16,14.744,14.744,14.744,14.744,0,PSP
2025-05-19,14.744,14.744,14.744,14.744,2100,PSP
2025-05-20,14.744,14.744,14.744,14.744,0,PSP
2025-05-21,14.252,14.252,13.367,13.367,2909,PSP
2025-05-22,14.744,14.744,14.744,14.744,1600,PSP
2025-05-23,14.744,14.744,14.645,14.744,6500,PSP
2025-05-26,14.744,14.744,14.744,14.744,0,PSP
2025-05-27,14.744,14.744,14.744,14.744,0,PSP
2025-05-28,13.466,13.466,13.367,13.367,2400,PSP
