time,open,high,low,close,volume,symbol
2025-02-10,15.483,15.483,15.483,15.483,1300,PVM
2025-02-11,15.677,15.774,15.386,15.774,10300,PVM
2025-02-12,15.58,15.87,15.483,15.87,10600,PVM
2025-02-13,15.483,15.774,15.483,15.774,500,PVM
2025-02-14,15.58,15.58,15.58,15.58,0,PVM
2025-02-17,15.677,15.677,15.677,15.677,6000,PVM
2025-02-18,15.677,15.677,15.677,15.677,900,PVM
2025-02-19,15.677,15.677,15.483,15.677,17200,PVM
2025-02-20,15.58,15.774,15.58,15.774,5200,PVM
2025-02-21,15.677,15.87,15.58,15.87,12700,PVM
2025-02-24,16.064,16.064,15.58,15.58,8201,PVM
2025-02-25,15.58,15.58,15.29,15.29,10000,PVM
2025-02-26,15.483,15.677,15.483,15.677,500,PVM
2025-02-27,15.386,15.677,15.386,15.677,5500,PVM
2025-02-28,15.774,16.548,15.774,16.548,200,PVM
2025-03-03,16.161,16.161,16.161,16.161,6810,PVM
2025-03-04,15.967,16.064,15.774,16.064,12802,PVM
2025-03-05,15.967,15.967,15.967,15.967,0,PVM
2025-03-06,16.354,16.354,16.354,16.354,100,PVM
2025-03-07,16.354,16.354,16.354,16.354,0,PVM
2025-03-10,15.483,16.257,15.483,16.257,605,PVM
2025-03-11,15.58,15.58,15.58,15.58,2401,PVM
2025-03-12,15.774,15.774,15.774,15.774,500,PVM
2025-03-13,15.774,15.774,15.774,15.774,100,PVM
2025-03-14,15.774,15.774,15.774,15.774,300,PVM
2025-03-17,15.677,15.87,15.677,15.87,1756,PVM
2025-03-18,15.677,15.774,15.677,15.677,4603,PVM
2025-03-19,15.677,15.677,15.677,15.677,3800,PVM
2025-03-20,15.677,15.677,14.999,15.677,6100,PVM
2025-03-21,15.58,15.58,15.58,15.58,101,PVM
2025-03-24,15.483,15.483,15.483,15.483,2900,PVM
2025-03-25,15.483,15.58,15.483,15.58,5100,PVM
2025-03-26,15.58,15.677,15.193,15.58,8301,PVM
2025-03-27,15.58,15.58,15.58,15.58,6501,PVM
2025-03-28,15.58,15.677,15.483,15.677,6200,PVM
2025-03-31,15.677,15.677,15.483,15.483,1200,PVM
2025-04-01,15.29,15.29,15.29,15.29,101,PVM
2025-04-02,15.29,15.29,15.29,15.29,0,PVM
2025-04-03,15.29,15.967,14.516,15.677,5500,PVM
