time,open,high,low,close,volume,symbol
2025-02-10,34.474,34.569,34.474,34.569,10900,QNP
2025-02-11,34.234,34.234,34.186,34.234,300,QNP
2025-02-12,33.899,35.0,33.899,35.0,2300,QNP
2025-02-13,34.474,34.474,34.474,34.474,1100,QNP
2025-02-14,34.474,35.431,33.516,35.431,15500,QNP
2025-02-17,35.431,35.527,35.431,35.431,1000,QNP
2025-02-18,35.431,35.431,35.431,35.431,0,QNP
2025-02-19,35.383,35.431,34.665,34.857,2700,QNP
2025-02-20,34.378,34.378,34.282,34.282,600,QNP
2025-02-21,34.474,36.293,34.474,36.293,2800,QNP
2025-02-24,36.293,36.293,34.474,35.431,1600,QNP
2025-02-25,34.521,34.521,34.474,34.474,27100,QNP
2025-02-26,34.569,35.431,34.474,35.431,2500,QNP
2025-02-27,33.851,35.24,33.851,34.474,3800,QNP
2025-02-28,34.138,34.138,33.516,33.755,63100,QNP
2025-03-03,33.803,34.043,33.803,34.043,171200,QNP
2025-03-04,34.091,35.096,33.995,35.096,87700,QNP
2025-03-05,35.048,35.096,33.995,34.426,10300,QNP
2025-03-06,34.378,34.378,34.33,34.33,7200,QNP
2025-03-07,33.995,35.24,33.803,35.24,20200,QNP
2025-03-10,34.474,34.665,33.995,34.569,5200,QNP
2025-03-11,34.378,34.474,34.378,34.474,6000,QNP
2025-03-12,34.378,34.378,33.037,34.091,33700,QNP
2025-03-13,33.516,33.516,33.037,33.037,6100,QNP
2025-03-14,34.282,34.378,33.324,33.708,2900,QNP
2025-03-17,33.708,33.708,33.229,33.516,4900,QNP
2025-03-18,33.516,33.516,33.516,33.516,2100,QNP
2025-03-19,33.516,33.708,33.516,33.516,1200,QNP
2025-03-20,33.516,33.899,33.037,33.899,2800,QNP
2025-03-21,33.516,33.851,33.516,33.851,1800,QNP
2025-03-24,33.516,33.516,33.516,33.516,2100,QNP
2025-03-25,32.846,32.846,32.846,32.846,400,QNP
2025-03-26,33.085,33.085,33.085,33.085,5100,QNP
2025-03-27,33.085,33.229,33.085,33.229,1300,QNP
2025-03-28,33.037,33.755,33.037,33.755,2200,QNP
2025-03-31,33.755,33.755,33.755,33.755,0,QNP
2025-04-01,33.516,33.516,33.037,33.516,2100,QNP
2025-04-02,33.516,33.851,33.516,33.851,7500,QNP
2025-04-03,32.558,32.654,31.505,32.654,15500,QNP
2025-04-04,30.739,31.601,30.643,31.601,2800,QNP
2025-04-08,31.601,31.601,29.398,31.314,4400,QNP
2025-04-09,29.207,31.026,29.159,31.026,22000,QNP
2025-04-10,32.08,33.181,32.08,33.181,18700,QNP
2025-04-11,33.181,33.181,32.558,33.037,9500,QNP
2025-04-14,34.378,34.378,34.043,34.043,10100,QNP
2025-04-15,34.043,35.144,34.043,35.144,11500,QNP
2025-04-16,32.75,34.665,32.702,33.899,30900,QNP
2025-04-17,33.899,33.899,31.601,33.803,500,QNP
2025-04-18,33.803,33.803,33.803,33.803,0,QNP
2025-04-21,31.457,33.277,31.457,33.277,12700,QNP
2025-04-22,32.846,32.846,32.846,32.846,500,QNP
2025-04-23,32.511,32.798,32.511,32.798,200,QNP
2025-04-24,32.75,32.75,31.601,31.601,3100,QNP
2025-04-25,31.601,31.601,31.601,31.601,700,QNP
2025-04-28,31.218,31.457,29.781,31.409,2100,QNP
2025-04-29,31.361,31.505,31.361,31.409,4300,QNP
2025-05-05,31.409,31.409,31.122,31.17,1900,QNP
2025-05-06,29.638,31.601,29.638,31.409,6700,QNP
2025-05-07,31.409,31.409,31.409,31.409,0,QNP
2025-05-08,29.925,31.266,29.925,31.266,2000,QNP
2025-05-09,31.17,33.42,30.212,33.42,1900,QNP
2025-05-12,31.122,33.324,31.122,33.324,13700,QNP
2025-05-13,31.122,32.798,31.122,32.798,1600,QNP
2025-05-14,32.558,34.091,31.218,34.091,20700,QNP
2025-05-15,33.133,33.133,31.792,32.511,3000,QNP
2025-05-16,32.463,33.037,31.266,32.463,3400,QNP
2025-05-19,31.314,32.367,31.122,32.367,8900,QNP
2025-05-20,31.314,31.84,30.835,30.835,12200,QNP
2025-05-21,31.314,31.314,31.314,31.314,200,QNP
2025-05-22,31.361,31.505,30.547,30.547,3200,QNP
2025-05-23,30.547,31.457,30.452,31.457,2000,QNP
2025-05-26,31.936,31.936,31.314,31.553,5400,QNP
2025-05-27,31.457,31.744,31.457,31.744,2700,QNP
2025-05-28,31.792,32.415,31.792,32.415,7200,QNP
2025-05-29,32.271,32.367,32.271,32.367,3800,QNP
2025-05-30,32.367,33.995,32.367,33.995,3800,QNP
2025-06-02,33.516,33.516,33.42,33.42,3300,QNP
2025-06-03,33.42,33.42,33.42,33.42,0,QNP
2025-06-04,33.037,33.229,32.558,33.229,3000,QNP
2025-06-05,33.037,33.133,32.941,33.133,4200,QNP
2025-06-06,33.037,33.037,33.037,33.037,800,QNP
2025-06-09,33.037,33.133,31.649,31.649,6800,QNP
2025-06-10,33.4,33.4,32.95,32.95,5700,QNP
2025-06-11,32.95,32.95,32.95,32.95,300,QNP
2025-06-12,33.7,33.7,33.5,33.5,1600,QNP
2025-06-13,33.5,33.5,33.5,33.5,1500,QNP
2025-06-16,31.65,33.45,31.6,33.45,400,QNP
2025-06-17,33.45,33.45,33.45,33.45,0,QNP
2025-06-18,33.3,33.4,33.3,33.4,1500,QNP
2025-06-19,33.4,33.4,33.4,33.4,500,QNP
2025-06-20,32.5,33.2,32.0,33.2,1700,QNP
2025-06-23,32.0,33.15,32.0,33.15,3000,QNP
2025-06-24,33.15,33.15,33.15,33.15,0,QNP
2025-06-25,31.3,32.95,31.1,32.95,8400,QNP
2025-06-26,32.95,32.95,32.95,32.95,210,QNP
2025-06-27,31.6,32.75,31.5,32.65,1200,QNP
2025-06-30,32.6,32.6,32.0,32.0,300,QNP
2025-07-01,32.0,32.0,32.0,32.0,300,QNP
2025-07-02,31.6,31.6,31.6,31.6,1700,QNP
2025-07-03,31.6,32.3,31.6,32.3,800,QNP
2025-07-04,31.6,31.65,31.6,31.65,600,QNP
2025-07-07,31.95,32.0,31.95,32.0,500,QNP
2025-07-08,31.05,32.15,31.05,32.15,1200,QNP
2025-07-09,32.1,32.15,32.1,32.15,1000,QNP
2025-07-10,31.6,32.15,31.5,32.15,2500,QNP
2025-07-11,32.2,33.0,32.0,33.0,1700,QNP
2025-07-14,32.9,32.9,32.0,32.0,1400,QNP
2025-07-15,32.0,32.15,31.9,32.15,2900,QNP
2025-07-16,31.9,31.9,31.9,31.9,100,QNP
2025-07-17,32.0,32.85,32.0,32.85,3600,QNP
2025-07-18,32.8,32.8,32.8,32.8,1100,QNP
2025-07-21,31.85,31.9,31.8,31.9,23800,QNP
2025-07-22,31.9,31.9,31.9,31.9,600,QNP
2025-07-23,31.9,31.9,31.9,31.9,900,QNP
2025-07-24,31.9,31.9,31.5,31.5,5300,QNP
2025-07-25,30.6,32.0,30.6,31.5,15700,QNP
2025-07-28,31.5,31.85,31.4,31.4,10100,QNP
2025-07-29,31.5,31.5,31.3,31.3,6500,QNP
2025-07-30,31.3,31.5,31.3,31.5,1300,QNP
2025-07-31,31.5,31.95,31.5,31.95,2200,QNP
2025-08-01,31.9,31.9,31.5,31.9,2300,QNP
2025-08-04,31.7,32.0,31.7,32.0,300,QNP
2025-08-05,31.5,32.0,31.0,31.5,7200,QNP
2025-08-06,31.55,32.15,31.5,32.15,1900,QNP
2025-08-07,32.1,32.1,31.5,31.5,800,QNP
2025-08-08,31.5,31.95,31.5,31.95,2200,QNP
2025-08-11,31.0,31.9,31.0,31.9,2800,QNP
2025-08-12,31.3,31.9,31.3,31.9,3800,QNP
2025-08-13,31.9,31.9,31.25,31.7,500,QNP
2025-08-14,31.7,32.0,31.0,31.8,8700,QNP
2025-08-15,31.2,31.8,31.2,31.8,2800,QNP
2025-08-18,31.8,31.8,31.8,31.8,0,QNP
2025-08-19,30.35,31.5,30.35,31.5,7500,QNP
2025-08-20,31.45,31.5,31.0,31.45,1900,QNP
2025-08-21,31.0,31.05,30.85,30.85,8700,QNP
2025-08-22,30.65,30.8,30.0,30.2,9900,QNP
2025-08-25,30.25,30.25,29.85,29.85,4900,QNP
2025-08-26,29.95,31.8,29.95,31.8,2400,QNP
2025-08-27,30.5,31.4,30.5,31.4,3500,QNP
2025-08-28,31.8,31.85,30.8,31.35,1500,QNP
2025-08-29,30.55,31.0,30.55,30.85,1600,QNP
2025-09-03,30.9,30.9,30.9,30.9,100,QNP
2025-09-04,30.9,31.4,30.9,31.4,4800,QNP
2025-09-05,30.5,31.4,30.5,31.3,3100,QNP
2025-09-08,31.3,31.3,31.3,31.3,0,QNP
2025-09-09,31.25,32.0,31.25,32.0,2800,QNP
2025-09-10,32.0,32.0,32.0,32.0,0,QNP
2025-09-11,31.5,31.5,31.5,31.5,2800,QNP
2025-09-12,31.5,32.5,31.5,32.5,6400,QNP
2025-09-15,31.3,31.8,31.3,31.8,200,QNP
2025-09-16,31.2,32.1,31.2,32.1,700,QNP
2025-09-17,32.1,32.1,32.1,32.1,0,QNP
2025-09-18,32.0,32.0,31.5,31.5,200,QNP
2025-09-19,31.4,32.0,31.2,32.0,3100,QNP
2025-09-22,32.0,32.0,31.0,31.0,5900,QNP
2025-09-23,31.0,32.4,30.5,32.4,4800,QNP
2025-09-24,31.0,32.25,31.0,32.25,1200,QNP
2025-09-25,31.0,31.75,31.0,31.75,4100,QNP
2025-09-26,31.4,31.4,31.3,31.3,1600,QNP
2025-09-29,31.0,31.0,30.7,30.8,6400,QNP
2025-09-30,30.8,30.8,30.8,30.8,100,QNP
2025-10-01,30.9,30.9,30.9,30.9,1200,QNP
2025-10-02,30.9,31.0,30.9,31.0,3000,QNP
2025-10-03,31.0,31.4,30.5,31.4,1800,QNP
2025-10-06,31.0,31.4,31.0,31.4,2200,QNP
2025-10-07,31.2,31.2,31.2,31.2,1200,QNP
2025-10-08,31.0,31.4,31.0,31.4,1000,QNP
2025-10-09,31.4,31.4,31.4,31.4,0,QNP
