time,open,high,low,close,volume,symbol
2025-02-10,20.834,20.834,20.834,20.834,301,QPH
2025-02-11,20.834,20.834,20.834,20.834,0,QPH
2025-02-12,20.834,20.834,20.834,20.834,0,QPH
2025-02-13,20.834,20.834,20.834,20.834,0,QPH
2025-02-14,20.834,20.834,20.834,20.834,0,QPH
2025-02-17,21.199,21.199,21.199,21.199,1032,QPH
2025-02-18,21.199,21.199,21.199,21.199,0,QPH
2025-02-19,21.199,21.199,21.199,21.199,1000,QPH
2025-02-20,21.419,21.419,21.419,21.419,1500,QPH
2025-02-21,21.199,21.199,20.834,20.834,4500,QPH
2025-02-24,20.98,20.98,20.98,20.98,0,QPH
2025-02-25,20.98,20.98,20.98,20.98,45,QPH
2025-02-26,20.98,20.98,20.98,20.98,0,QPH
2025-02-27,21.199,21.199,21.199,21.199,545,QPH
2025-02-28,21.199,21.199,21.199,21.199,0,QPH
2025-03-03,21.199,21.199,21.199,21.199,0,QPH
2025-03-04,21.199,21.199,21.199,21.199,0,QPH
2025-03-05,21.199,21.199,21.199,21.199,0,QPH
2025-03-06,21.199,21.199,21.199,21.199,0,QPH
2025-03-07,21.199,21.199,21.199,21.199,0,QPH
2025-03-10,21.199,21.199,21.199,21.199,0,QPH
2025-03-11,21.199,21.199,21.199,21.199,0,QPH
2025-03-12,21.419,21.419,21.419,21.419,100,QPH
2025-03-13,21.419,21.419,21.419,21.419,0,QPH
2025-03-14,21.419,21.419,21.419,21.419,0,QPH
2025-03-17,21.419,21.419,21.419,21.419,100,QPH
2025-03-18,21.419,21.419,21.419,21.419,0,QPH
2025-03-19,21.419,21.419,21.419,21.419,0,QPH
2025-03-20,21.419,21.419,21.419,21.419,0,QPH
2025-03-21,22.369,22.369,22.369,22.369,100,QPH
2025-03-24,22.369,22.369,22.369,22.369,0,QPH
2025-03-25,22.369,22.369,22.369,22.369,0,QPH
2025-03-26,22.296,22.296,22.296,22.296,500,QPH
2025-03-27,22.296,22.296,22.296,22.296,0,QPH
2025-03-28,22.296,22.296,22.296,22.296,0,QPH
2025-03-31,22.296,22.296,22.296,22.296,0,QPH
2025-04-01,22.296,22.296,22.296,22.296,0,QPH
2025-04-02,24.854,24.854,24.635,24.635,400,QPH
2025-04-03,24.781,24.781,24.781,24.781,0,QPH
2025-04-04,21.199,24.416,21.199,24.416,1500,QPH
2025-04-08,22.954,22.954,22.954,22.954,0,QPH
2025-04-09,22.954,22.954,22.954,22.954,0,QPH
2025-04-10,22.661,22.661,22.661,22.661,2000,QPH
2025-04-11,22.515,22.515,22.515,22.515,500,QPH
2025-04-14,22.515,22.515,22.515,22.515,0,QPH
