time,open,high,low,close,volume,symbol
2025-02-10,47.096,47.277,46.916,47.096,645100,SAB
2025-02-11,47.006,47.096,46.465,46.555,747000,SAB
2025-02-12,46.645,46.916,46.645,46.825,90500,SAB
2025-02-13,46.825,46.916,46.645,46.645,274800,SAB
2025-02-14,47.277,47.277,46.465,46.555,668700,SAB
2025-02-17,46.465,46.555,46.013,46.104,1115900,SAB
2025-02-18,46.104,46.465,46.013,46.194,489700,SAB
2025-02-19,46.194,46.374,46.104,46.284,871100,SAB
2025-02-20,46.465,46.555,46.284,46.374,580300,SAB
2025-02-21,46.555,47.096,46.374,46.735,751900,SAB
2025-02-24,46.735,47.277,46.735,47.277,713800,SAB
2025-02-25,48.269,48.269,47.006,47.277,484400,SAB
2025-02-26,47.367,47.367,46.916,47.096,647800,SAB
2025-02-27,47.096,47.186,46.735,47.096,457200,SAB
2025-02-28,46.916,47.186,46.465,46.465,928900,SAB
2025-03-03,46.916,46.916,46.465,46.645,580400,SAB
2025-03-04,46.645,47.006,46.465,46.916,736100,SAB
2025-03-05,46.916,47.006,46.555,46.735,480300,SAB
2025-03-06,46.735,46.825,46.284,46.374,1209600,SAB
2025-03-07,46.825,46.916,46.104,46.194,1424200,SAB
2025-03-10,46.465,46.645,46.013,46.374,1214300,SAB
2025-03-11,46.284,46.374,45.923,46.194,1571800,SAB
2025-03-12,46.013,46.465,46.013,46.104,1576300,SAB
2025-03-13,46.104,46.465,46.013,46.104,1125100,SAB
2025-03-14,46.284,47.277,46.194,46.555,1387600,SAB
2025-03-17,46.916,47.006,46.374,46.555,738900,SAB
2025-03-18,46.555,46.825,46.104,46.104,1619800,SAB
2025-03-19,46.284,46.284,45.833,45.833,2188100,SAB
2025-03-20,45.923,46.104,45.562,45.653,1384600,SAB
2025-03-21,45.833,45.833,45.382,45.382,1204900,SAB
2025-03-24,45.382,45.472,45.021,45.021,1549500,SAB
2025-03-25,45.201,45.292,44.705,44.705,1603600,SAB
2025-03-26,44.705,45.201,44.57,44.705,1262300,SAB
2025-03-27,44.705,44.841,44.615,44.705,988300,SAB
2025-03-28,44.75,44.841,44.389,44.48,1139000,SAB
2025-03-31,44.435,44.57,44.119,44.119,1125000,SAB
2025-04-01,44.254,44.75,44.074,44.525,955800,SAB
2025-04-02,44.57,44.615,44.299,44.48,630100,SAB
2025-04-03,43.577,43.577,41.367,41.367,3156200,SAB
2025-04-04,38.48,40.465,38.48,39.111,3848700,SAB
2025-04-08,39.111,40.194,38.254,38.435,3263800,SAB
2025-04-09,37.442,40.239,37.442,39.788,3152100,SAB
2025-04-10,42.54,42.54,42.495,42.54,598500,SAB
2025-04-11,43.307,44.75,42.54,44.209,4010000,SAB
2025-04-14,44.66,44.886,43.803,44.66,2473300,SAB
2025-04-15,44.254,44.299,43.126,43.938,2331300,SAB
2025-04-16,43.487,43.758,42.72,42.946,1343400,SAB
2025-04-17,42.675,42.856,42.359,42.405,1363100,SAB
2025-04-18,42.765,43.307,42.585,42.72,845000,SAB
2025-04-21,42.675,42.946,42.495,42.495,472500,SAB
2025-04-22,42.405,42.856,40.6,42.044,1204500,SAB
2025-04-23,43.126,43.848,42.765,43.848,1164100,SAB
2025-04-24,44.209,44.525,44.029,44.389,1696900,SAB
2025-04-25,44.389,44.66,44.119,44.66,1951100,SAB
2025-04-28,44.615,46.284,44.435,46.194,1966300,SAB
2025-04-29,45.833,45.833,43.397,43.397,4405000,SAB
2025-05-05,43.217,43.442,42.54,43.217,1250000,SAB
2025-05-06,43.713,43.713,43.081,43.171,789500,SAB
2025-05-07,43.352,43.668,43.307,43.352,767300,SAB
2025-05-08,43.397,43.983,43.397,43.803,858200,SAB
2025-05-09,44.841,44.841,44.074,44.209,939400,SAB
2025-05-12,44.389,44.66,44.209,44.615,1225700,SAB
2025-05-13,44.75,44.75,44.389,44.435,1005900,SAB
2025-05-14,44.299,44.795,44.299,44.66,1128000,SAB
2025-05-15,44.66,45.653,44.66,45.382,1279400,SAB
2025-05-16,45.382,45.743,45.292,45.562,699300,SAB
2025-05-19,45.292,45.292,44.75,44.841,753400,SAB
2025-05-20,44.66,45.021,44.615,44.931,583600,SAB
2025-05-21,44.931,45.066,44.66,44.75,576400,SAB
2025-05-22,44.75,44.841,44.57,44.795,793900,SAB
2025-05-23,44.795,44.841,44.48,44.615,396500,SAB
2025-05-26,45.021,45.021,43.938,44.615,715800,SAB
2025-05-27,44.886,44.886,44.57,44.615,590800,SAB
2025-05-28,44.75,44.841,44.435,44.615,597900,SAB
2025-05-29,44.66,44.931,44.435,44.435,773000,SAB
2025-05-30,44.435,44.48,43.938,43.983,1703200,SAB
2025-06-02,43.983,44.525,43.803,44.344,569400,SAB
2025-06-03,44.389,44.705,44.389,44.66,604500,SAB
2025-06-04,44.75,45.743,44.705,45.201,1483800,SAB
2025-06-05,45.111,45.292,44.66,44.66,994000,SAB
2025-06-06,44.66,44.886,44.254,44.254,754000,SAB
2025-06-09,44.254,44.57,44.074,44.074,923500,SAB
2025-06-10,44.435,44.435,44.029,44.074,844500,SAB
2025-06-11,44.119,44.299,44.074,44.209,347400,SAB
2025-06-12,44.299,44.75,44.299,44.615,631300,SAB
2025-06-13,44.57,44.57,44.119,44.299,961900,SAB
2025-06-16,44.209,44.841,44.209,44.705,976600,SAB
2025-06-17,44.75,45.833,44.705,45.066,1505900,SAB
2025-06-18,45.066,45.201,44.66,44.66,1297100,SAB
2025-06-19,44.841,44.976,44.389,44.615,1024900,SAB
2025-06-20,44.66,44.75,44.48,44.66,716600,SAB
2025-06-23,44.389,44.615,44.299,44.435,1049600,SAB
2025-06-24,44.66,44.795,44.525,44.795,710200,SAB
2025-06-25,44.525,45.562,44.525,45.382,1762000,SAB
2025-06-26,45.743,45.833,45.382,45.562,1283600,SAB
2025-06-27,45.653,45.923,45.382,45.653,3001500,SAB
2025-06-30,45.653,45.797,44.982,45.078,1923100,SAB
2025-07-01,45.078,45.078,44.598,44.646,904400,SAB
2025-07-02,44.598,44.598,44.215,44.502,1099500,SAB
2025-07-03,44.502,44.694,44.358,44.358,1535400,SAB
2025-07-04,44.694,44.694,44.406,44.502,848400,SAB
2025-07-07,44.598,44.742,44.406,44.502,1320400,SAB
2025-07-08,44.55,44.934,44.55,44.934,1639400,SAB
2025-07-09,45.078,45.797,44.982,45.701,2602200,SAB
2025-07-10,45.749,46.372,45.749,46.133,2150900,SAB
2025-07-11,46.133,46.277,45.557,46.181,2444000,SAB
2025-07-14,46.181,46.372,45.701,46.037,1272000,SAB
2025-07-15,46.037,46.9,45.989,46.085,2151700,SAB
2025-07-16,46.085,46.181,45.701,46.037,1366400,SAB
2025-07-17,46.085,46.708,45.893,46.42,2042400,SAB
2025-07-18,46.564,46.564,46.037,46.229,1338400,SAB
2025-07-21,46.085,46.372,45.749,45.749,1645300,SAB
2025-07-22,45.797,45.941,45.557,45.845,797900,SAB
2025-07-23,45.893,46.9,45.557,46.612,2660200,SAB
2025-07-24,46.948,47.955,46.708,46.996,2245700,SAB
2025-07-25,46.996,47.092,46.852,47.092,1335000,SAB
2025-07-28,47.332,47.475,46.9,47.284,2668300,SAB
2025-07-29,47.284,47.475,45.413,45.413,2638000,SAB
2025-07-30,45.461,45.845,45.413,45.653,2020500,SAB
2025-07-31,45.749,46.42,45.557,45.701,1914100,SAB
2025-08-01,45.749,46.085,45.749,45.989,1031600,SAB
2025-08-04,46.037,46.133,45.701,46.133,804800,SAB
2025-08-05,46.133,46.229,45.461,45.557,2101200,SAB
2025-08-06,45.653,46.181,45.413,45.845,980700,SAB
2025-08-07,46.037,46.037,45.605,45.749,860100,SAB
2025-08-08,45.749,46.181,45.653,45.893,930800,SAB
2025-08-11,46.037,46.564,46.037,46.229,1467500,SAB
2025-08-12,46.42,46.564,46.229,46.325,1258100,SAB
2025-08-13,46.468,46.468,45.893,45.989,1126700,SAB
2025-08-14,46.133,46.133,45.797,45.941,1143800,SAB
2025-08-15,45.989,45.989,45.461,45.557,1553000,SAB
2025-08-18,45.605,45.797,45.222,45.222,962200,SAB
2025-08-19,45.317,45.413,45.126,45.222,1046500,SAB
2025-08-20,45.222,45.222,44.646,44.838,1212700,SAB
2025-08-21,44.646,44.982,44.406,44.694,1406200,SAB
2025-08-22,44.598,44.694,43.831,43.927,1847600,SAB
2025-08-25,43.927,44.119,43.639,43.735,990900,SAB
2025-08-26,43.735,44.023,43.591,44.023,696900,SAB
2025-08-27,44.215,44.406,43.975,44.119,1209900,SAB
2025-08-28,44.119,44.742,44.119,44.646,545500,SAB
2025-08-29,44.886,44.982,44.646,44.646,788100,SAB
2025-09-03,44.694,44.694,44.358,44.454,558900,SAB
2025-09-04,44.598,45.27,44.454,45.174,1013000,SAB
2025-09-05,45.317,45.557,45.174,45.365,1242400,SAB
2025-09-08,45.557,45.605,44.838,44.886,869100,SAB
