time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,13.5,13.5,13.3,13.5,2911900,13.5,13.5,13.5,,0.0,0.0,0.0,,,,,SBT
2025-02-11,13.55,13.65,13.5,13.6,4544000,13.55,13.55,13.55,,0.007977207977207357,0.0015954415954414715,0.006381766381765885,,,0.7407407407407307,,SBT
2025-02-12,13.6,13.6,13.3,13.4,2264100,13.5,13.5,13.5,,-0.0018181670603336642,0.0009127198642864445,-0.002730886924620109,,,-1.4705882352941124,,SBT
2025-02-13,13.4,13.5,13.15,13.5,2076000,13.5,13.5,13.5,,-0.0014946783625617854,0.00043124021891679853,-0.001925918581478584,,,0.746268656716409,,SBT
2025-02-14,13.5,13.55,13.3,13.4,2293100,13.48,13.48,13.48,,-0.009201407407184448,-0.0014952893063034506,-0.007706118100880997,,,-0.7407407407407418,,SBT
2025-02-17,13.4,13.5,13.35,13.5,2519000,13.483333333333334,13.483333333333334,13.483333333333334,,-0.007157375662577792,-0.002627706577558319,-0.004529669085019472,,,0.746268656716409,,SBT
2025-02-18,13.5,13.8,13.35,13.65,2328500,13.507142857142856,13.507142857142856,13.507142857142856,,0.006491451210406396,-0.000803875019965376,0.0072953262303717716,,,1.1111111111111072,,SBT
2025-02-19,13.65,13.75,13.6,13.75,3438800,13.5375,13.5375,13.5375,,0.02508820786347954,0.004374541556723607,0.020713666306755932,,,0.73260073260073,,SBT
2025-02-20,13.75,13.75,13.4,13.6,3428400,13.544444444444444,13.544444444444444,13.544444444444444,,0.02740659888382524,0.008980953022143934,0.018425645861681307,,,-1.090909090909098,,SBT
2025-02-21,13.5,13.6,13.3,13.6,3774400,13.55,13.55,13.55,,0.0289106761916873,0.01296689765605261,0.01594377853563469,,,0.0,,SBT
2025-02-24,13.55,13.65,13.35,13.65,1649500,13.55909090909091,13.55909090909091,13.55909090909091,,0.03374822193213056,0.0171231625112682,0.016625059420862363,,,0.3676470588235281,,SBT
2025-02-25,13.65,13.7,13.3,13.65,4929700,13.566666666666668,13.566666666666668,13.566666666666668,,0.0371537267494908,0.021129275358912722,0.01602445139057808,,,0.0,,SBT
2025-02-26,13.6,13.7,13.45,13.65,2384000,13.573076923076922,13.573076923076922,13.573076923076922,,0.039398453010960566,0.024783110889322293,0.014615342121638272,,,0.0,,SBT
2025-02-27,13.65,13.7,13.4,13.55,2817000,13.571428571428571,13.571428571428571,13.571428571428571,49.56407208229058,0.0327309484806495,0.026372678407587738,0.006358270073061764,,,-0.73260073260073,,SBT
