time,open,high,low,close,volume,symbol
2025-02-10,65.7,65.8,65.5,65.6,40500,SCG
2025-02-11,65.5,65.7,65.4,65.7,40700,SCG
2025-02-12,65.4,65.6,65.4,65.5,37600,SCG
2025-02-13,65.4,65.5,65.3,65.3,43500,SCG
2025-02-14,65.3,65.5,65.1,65.5,38000,SCG
2025-02-17,65.4,65.7,65.4,65.6,40900,SCG
2025-02-18,65.5,65.7,65.3,65.7,39400,SCG
2025-02-19,65.6,65.6,65.3,65.4,41600,SCG
2025-02-20,65.4,65.5,65.4,65.5,39406,SCG
2025-02-21,65.5,65.6,65.3,65.3,38400,SCG
2025-02-24,65.3,65.5,65.2,65.4,39900,SCG
2025-02-25,65.4,65.4,65.2,65.3,38101,SCG
2025-02-26,65.2,65.5,65.2,65.4,39500,SCG
2025-02-27,65.3,65.5,65.1,65.2,36700,SCG
2025-02-28,65.3,65.5,65.1,65.2,41302,SCG
2025-03-03,65.3,65.6,65.3,65.5,40200,SCG
2025-03-04,65.4,65.6,65.2,65.3,38703,SCG
2025-03-05,65.2,65.4,65.2,65.4,40500,SCG
2025-03-06,65.3,65.6,65.3,65.6,43300,SCG
2025-03-07,65.5,65.7,65.4,65.6,39500,SCG
2025-03-10,65.5,65.7,65.4,65.5,41702,SCG
2025-03-11,65.7,65.7,65.3,65.4,37700,SCG
2025-03-12,65.5,71.9,65.5,67.0,25250,SCG
2025-03-13,66.7,67.0,66.5,67.0,9100,SCG
2025-03-14,67.0,67.3,67.0,67.2,12803,SCG
2025-03-17,73.9,73.9,73.9,73.9,340,SCG
2025-03-18,81.2,81.2,81.2,81.2,500,SCG
2025-03-19,89.3,89.3,73.8,77.0,16151,SCG
2025-03-20,76.5,77.3,76.5,77.1,19300,SCG
2025-03-21,77.2,77.4,76.8,76.9,20202,SCG
2025-03-24,76.2,76.3,75.9,75.9,23801,SCG
2025-03-25,75.5,75.5,74.3,74.3,18600,SCG
2025-03-26,74.0,74.1,71.9,74.0,3501,SCG
2025-03-27,73.6,73.6,69.3,72.7,10600,SCG
2025-03-28,72.2,72.4,72.1,72.1,13672,SCG
2025-03-31,71.7,71.7,71.4,71.4,15500,SCG
2025-04-01,71.2,71.2,66.4,66.4,11300,SCG
2025-04-02,66.1,68.6,65.9,68.6,9501,SCG
2025-04-03,68.5,68.7,68.5,68.6,8400,SCG
2025-04-04,68.0,68.0,67.8,67.9,8473,SCG
2025-04-08,67.7,67.9,67.4,67.5,10700,SCG
2025-04-09,67.4,67.4,67.2,67.2,6500,SCG
2025-04-10,67.3,67.6,67.3,67.6,6359,SCG
2025-04-11,67.6,67.8,67.6,67.8,11500,SCG
2025-04-14,67.9,68.1,67.6,67.6,18032,SCG
2025-04-15,67.6,67.6,66.5,66.5,12200,SCG
2025-04-16,66.5,66.8,66.5,66.8,11800,SCG
2025-04-17,66.7,66.7,66.5,66.6,13500,SCG
2025-04-18,66.4,66.4,66.2,66.2,9200,SCG
2025-04-21,66.0,66.0,60.2,65.9,12400,SCG
2025-04-22,65.9,65.9,64.0,65.8,11800,SCG
2025-04-23,65.8,65.8,65.7,65.7,12300,SCG
2025-04-24,65.6,65.6,65.0,65.0,10400,SCG
2025-04-25,64.5,67.6,64.5,67.0,23900,SCG
2025-04-28,66.8,66.9,66.8,66.8,13000,SCG
2025-04-29,66.7,66.8,66.7,66.7,12200,SCG
2025-05-05,66.7,66.8,66.6,66.7,15800,SCG
2025-05-06,66.7,66.9,66.7,66.8,17300,SCG
2025-05-07,66.7,66.8,66.5,66.6,17800,SCG
2025-05-08,66.5,66.9,66.5,66.6,13400,SCG
2025-05-09,66.6,66.8,66.2,66.2,18700,SCG
2025-05-12,66.1,66.4,66.1,66.2,26510,SCG
2025-05-13,66.1,66.5,66.0,66.0,21400,SCG
