time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,72.681,72.681,70.677,70.768,946200,70.768,70.768,70.768,,0.0,0.0,0.0,,,,,SCS
2025-02-11,70.768,71.223,70.495,70.495,291200,70.6315,70.6315,70.6315,,-0.021777777777785445,-0.00435555555555709,-0.017422222222228355,,,-0.38576757856657595,,SCS
2025-02-12,70.495,71.497,70.313,70.768,276900,70.677,70.677,70.677,,-0.016814181703068698,-0.0068472807850594114,-0.009966900918009287,,,0.3872615079083541,,SCS
2025-02-13,70.586,71.132,70.221,70.768,248700,70.69975,70.69975,70.69975,,-0.01273370977327204,-0.008024566582701937,-0.004709143190570102,,,0.0,,SCS
2025-02-14,71.223,71.314,70.404,70.495,407000,70.6588,70.6588,70.6588,,-0.031169423107215266,-0.012653537887604604,-0.018515885219610662,,,-0.38576757856657595,,SCS
2025-02-17,70.495,70.495,68.127,68.491,1133900,70.2975,70.2975,70.2975,,-0.20512139881775227,-0.051147110073634136,-0.15397428874411812,,,-2.8427548053053475,,SCS
2025-02-18,68.946,68.946,68.127,68.491,347500,70.03942857142857,70.03942857142857,70.03942857142857,,-0.33907099347625547,-0.1087318867541584,-0.23033910672209706,,,0.0,,SCS
2025-02-19,68.764,69.584,68.764,68.946,232700,69.90275,69.90275,69.90275,,-0.40385690389558704,-0.16775689018244413,-0.2361000137131429,,,0.6643208596749828,,SCS
2025-02-20,69.22,69.493,68.218,68.764,477300,69.77622222222222,69.77622222222222,69.77622222222222,,-0.4645312564589261,-0.22711176343774053,-0.2374194930211856,,,-0.26397470484147423,,SCS
2025-02-21,68.855,68.946,68.4,68.582,272700,69.6568,69.6568,69.6568,,-0.5212928573964746,-0.28594798222948736,-0.2353448751669872,,,-0.2646733756035191,,SCS
2025-02-24,68.582,68.855,68.309,68.673,411000,69.56736363636364,69.56736363636364,69.56736363636364,,-0.5525642785595579,-0.3392712414955015,-0.21329303706405645,,,0.13268787728559772,,SCS
2025-02-25,68.309,70.313,68.309,70.13,582600,69.61425,69.61425,69.61425,,-0.45453973071229825,-0.36232493933886084,-0.09221479137343741,,,2.1216489741237465,,SCS
2025-02-26,70.495,70.677,69.402,69.675,215900,69.61892307692308,69.61892307692308,69.61892307692308,,-0.4088562276329668,-0.37163119699768205,-0.03722503063528476,,,-0.6487950948238952,,SCS
2025-02-27,69.948,69.948,68.855,69.22,186700,69.59042857142857,69.59042857142857,69.59042857142857,41.07553200542069,-0.40470127533282607,-0.37824521266471084,-0.026456062668115232,,,-0.6530319339791868,,SCS
2025-02-28,69.037,69.037,68.309,68.582,280400,69.5232,69.5232,69.5232,35.347705305694234,-0.4477285773730699,-0.3921418856063827,-0.055586691766687235,,,-0.9216989309448254,,SCS
2025-03-03,68.673,68.673,68.309,68.491,305100,69.4586875,69.4586875,69.4586875,34.606447818868006,-0.48359636583910515,-0.4104327816529272,-0.07316358418617797,,,-0.13268787728557552,,SCS
2025-03-04,68.855,68.855,67.58,67.58,585400,69.34817647058823,69.34817647058823,69.34817647058823,28.225188588586818,-0.578859204485255,-0.44411806621939276,-0.1347411382658622,,,-1.330101765195424,,SCS
2025-03-05,67.762,67.762,66.76,66.852,468100,69.20949999999999,69.20949999999999,69.20949999999999,24.35958792398047,-0.7049727196127549,-0.49628899689806516,-0.2086837227146897,,,-1.0772417875110851,,SCS
2025-03-06,66.76,67.853,66.76,67.853,355300,69.1381052631579,69.1381052631579,69.1381052631579,37.11304886306653,-0.7158938756857225,-0.5402099726555967,-0.17568390303012582,,,1.4973374020223584,,SCS
2025-03-07,68.036,68.309,67.671,67.853,170300,69.07385,69.07385,69.07385,37.11304886306653,-0.7162920022308015,-0.5754263785706377,-0.14086562366016375,71.41672832646759,66.7309716735324,0.0,,SCS
2025-03-10,67.762,68.036,67.398,67.762,135100,68.92355,69.01138095238096,69.01138095238096,36.46482504283513,-0.7157003121766081,-0.6034811652918318,-0.1122191468847763,71.19335773356875,66.65374226643127,-0.1341134511370079,1.0165811187011224,SCS
2025-03-11,67.216,67.307,66.852,67.034,302700,68.7505,68.9215,68.9215,31.695369146610958,-0.7651546825081965,-0.6358158687351048,-0.12933881377309175,71.04347081488072,66.45752918511928,-1.0743484548862092,1.0342867125231987,SCS
2025-03-12,67.216,67.398,66.669,67.398,233100,68.58200000000001,68.85526086956521,68.85526086956521,36.18945963870609,-0.7661442355314279,-0.6618815420943694,-0.1042626934370584,70.74217796537815,66.42182203462187,0.5430080257779579,1.0398791467070143,SCS
2025-03-13,67.398,67.944,67.034,67.216,183200,68.4044,68.78695833333333,68.78695833333333,34.95120901497832,-0.772707056441007,-0.684046644963697,-0.08866041147730996,70.38439345028155,66.42440654971844,-0.27003768657823946,1.038371332879082,SCS
2025-03-14,67.307,67.762,66.578,66.578,176900,68.20854999999999,68.6986,68.6986,30.95301887700677,-0.8199376761685642,-0.7112248512046706,-0.10871282496389356,70.09030511298974,66.32679488701024,-0.9491787669602347,1.0497710451098592,SCS
2025-03-17,66.578,67.307,65.941,66.032,277700,68.0856,68.59603846153847,68.59603846153847,28.000924372567482,-0.891153259417564,-0.7472105328472494,-0.1439427265703146,70.196973651142,65.974226348858,-0.820090720658484,0.8723389107536484,SCS
2025-03-18,65.85,66.396,65.576,65.759,218400,67.949,68.49096296296295,68.49096296296295,26.633179942756314,-0.9585711293771197,-0.7894826521532234,-0.1690884772238963,70.29086367529881,65.60713632470119,-0.41343590986188117,0.8727711733835415,SCS
2025-03-19,66.123,66.123,65.121,65.394,175200,67.7714,68.38035714285715,68.38035714285715,24.88312227170009,-1.029584319466494,-0.8375029856158775,-0.19208133385061643,70.32415812860476,65.21864187139523,-0.5550571024498518,0.8515686369841848,SCS
2025-03-20,65.85,66.032,65.121,65.759,269800,67.62114999999999,68.28996551724137,68.28996551724137,29.847418381293423,-1.0443714704542941,-0.878876682583561,-0.16549478787073313,70.27947256369148,64.96282743630849,0.5581551824326292,0.8710222150303103,SCS
2025-03-21,65.759,67.398,65.668,66.76,182300,67.53005,68.23896666666666,68.23896666666666,41.30398895069135,-0.9642033241290164,-0.8959420108926521,-0.06826131323636431,70.17457112668313,64.88552887331687,1.522225094663865,0.9538598994919139,SCS
