time,open,high,low,close,volume,symbol
2025-02-10,12.118,12.212,10.897,12.212,30235,SGB
2025-02-11,11.836,11.836,11.555,11.555,8000,SGB
2025-02-12,11.836,11.93,11.743,11.743,10703,SGB
2025-02-13,11.93,11.93,11.649,11.743,2832,SGB
2025-02-14,11.93,11.93,11.743,11.743,1500,SGB
2025-02-17,12.024,12.024,11.836,11.836,1916,SGB
2025-02-18,11.93,12.024,11.836,11.836,1100,SGB
2025-02-19,11.836,12.024,11.743,12.024,3614,SGB
2025-02-20,11.836,12.118,11.836,12.024,8414,SGB
2025-02-21,12.118,12.212,12.024,12.024,13324,SGB
2025-02-24,12.024,12.212,11.93,12.212,19937,SGB
2025-02-25,12.212,12.682,12.212,12.682,64344,SGB
2025-02-26,12.212,12.588,12.212,12.494,3164,SGB
2025-02-27,12.306,12.588,12.306,12.588,16243,SGB
2025-02-28,12.306,12.306,12.306,12.306,12570,SGB
2025-03-03,12.306,12.588,12.118,12.118,8400,SGB
2025-03-04,12.682,12.682,12.212,12.4,50610,SGB
2025-03-05,12.776,12.776,12.4,12.682,1017,SGB
2025-03-06,12.494,12.588,12.4,12.588,7300,SGB
2025-03-07,12.4,12.588,12.306,12.306,7300,SGB
2025-03-10,12.588,12.776,12.588,12.588,677,SGB
2025-03-11,12.682,12.682,12.4,12.682,1217,SGB
2025-03-12,12.4,12.682,12.4,12.4,1146,SGB
2025-03-13,12.4,12.4,12.306,12.306,2728,SGB
2025-03-14,12.494,12.494,12.306,12.306,2101,SGB
2025-03-17,12.494,12.682,12.494,12.588,6713,SGB
2025-03-18,12.494,12.494,12.494,12.494,2010,SGB
2025-03-19,12.494,12.964,12.494,12.682,7378,SGB
2025-03-20,12.776,12.776,12.118,12.212,1776,SGB
2025-03-21,12.588,12.776,12.494,12.682,18169,SGB
2025-03-24,12.682,12.776,12.588,12.776,11222,SGB
2025-03-25,12.4,12.588,12.4,12.4,2127,SGB
2025-03-26,12.4,12.588,12.4,12.588,12824,SGB
2025-03-27,12.4,12.4,12.024,12.212,14931,SGB
2025-03-28,12.306,12.588,12.306,12.494,1107,SGB
2025-03-31,12.4,12.4,12.4,12.4,34,SGB
2025-04-01,12.4,12.588,12.212,12.212,5832,SGB
2025-04-02,12.494,12.494,12.118,12.118,15870,SGB
2025-04-03,12.024,12.682,11.461,11.461,28879,SGB
2025-04-04,11.743,11.743,11.555,11.555,10314,SGB
2025-04-08,11.555,11.649,9.958,10.615,25242,SGB
2025-04-09,10.803,11.649,10.803,11.649,6002,SGB
2025-04-10,12.306,12.682,12.306,12.588,122563,SGB
2025-04-11,12.494,12.494,12.024,12.024,4330,SGB
2025-04-14,12.024,12.024,11.649,11.836,50132,SGB
2025-04-15,11.743,11.836,11.743,11.836,16616,SGB
2025-04-16,11.836,11.836,11.836,11.836,4017,SGB
2025-04-17,11.836,12.212,11.836,12.212,807,SGB
2025-04-18,12.306,12.306,11.649,11.93,3804,SGB
2025-04-21,12.024,12.212,11.836,11.836,8747,SGB
2025-04-22,11.649,12.024,11.273,12.024,17444,SGB
2025-04-23,11.649,12.306,11.649,12.212,10509,SGB
2025-04-24,12.118,12.118,11.743,12.118,567,SGB
2025-04-25,11.836,12.118,11.743,12.118,5925,SGB
2025-04-28,11.836,11.93,11.836,11.93,1670,SGB
2025-04-29,11.836,12.118,11.836,12.118,1100,SGB
2025-05-05,12.024,12.024,12.024,12.024,7734,SGB
2025-05-06,11.93,12.118,11.93,12.118,6333,SGB
2025-05-07,11.93,11.93,11.743,11.836,13931,SGB
2025-05-08,12.024,12.118,12.024,12.024,7119,SGB
2025-05-09,12.024,12.024,11.743,11.836,2301,SGB
2025-05-12,11.836,12.024,11.836,12.024,5635,SGB
2025-05-13,11.93,11.93,11.836,11.836,11344,SGB
2025-05-14,11.836,11.93,11.836,11.836,1459,SGB
2025-05-15,11.93,12.024,11.836,12.024,10497,SGB
2025-05-16,11.743,11.743,11.743,11.743,5718,SGB
2025-05-19,11.743,12.024,11.743,12.024,20532,SGB
2025-05-20,11.743,11.743,11.743,11.743,4786,SGB
2025-05-21,11.649,12.024,11.649,11.649,15618,SGB
2025-05-22,11.836,11.836,11.743,11.743,3402,SGB
2025-05-23,11.836,11.836,11.743,11.836,4211,SGB
2025-05-26,11.461,11.836,11.461,11.836,9517,SGB
2025-05-27,11.93,11.93,11.743,11.743,7610,SGB
2025-05-28,12.118,12.306,11.93,12.306,70206,SGB
2025-05-29,12.212,12.494,12.212,12.4,10020,SGB
2025-05-30,12.588,12.588,12.024,12.024,20521,SGB
2025-06-02,12.024,12.024,11.93,11.93,11604,SGB
2025-06-03,11.93,12.4,11.93,12.4,7859,SGB
2025-06-04,12.212,12.4,12.212,12.306,10475,SGB
2025-06-05,12.024,12.118,12.024,12.118,1015,SGB
2025-06-06,12.118,12.118,11.93,12.024,5500,SGB
2025-06-09,12.024,12.024,11.836,11.93,4724,SGB
2025-06-10,11.93,12.024,11.93,11.93,1300,SGB
2025-06-11,11.743,11.93,10.427,11.836,11656,SGB
2025-06-12,11.93,11.93,11.743,11.743,11400,SGB
2025-06-13,11.93,11.93,11.93,11.93,4200,SGB
2025-06-16,11.836,12.024,11.743,12.024,5618,SGB
2025-06-17,12.024,12.024,11.461,12.024,10300,SGB
2025-06-18,11.743,11.743,11.743,11.743,10710,SGB
2025-06-19,11.93,11.93,11.743,11.743,1921,SGB
2025-06-20,11.836,12.118,11.555,11.836,7601,SGB
2025-06-23,11.649,11.649,11.555,11.649,6201,SGB
2025-06-24,11.555,11.93,11.555,11.743,9479,SGB
2025-06-25,11.743,11.743,11.743,11.743,1500,SGB
2025-06-26,11.743,11.836,11.649,11.743,14900,SGB
2025-06-27,12.118,12.212,11.555,11.836,28950,SGB
2025-06-30,11.743,11.93,11.743,11.93,11108,SGB
2025-07-01,11.93,12.024,11.743,11.836,32608,SGB
2025-07-02,11.743,12.118,11.649,12.024,18915,SGB
2025-07-03,11.93,12.024,11.743,11.743,20808,SGB
2025-07-04,11.836,11.93,11.836,11.93,26645,SGB
2025-07-07,11.93,12.118,11.93,12.024,17480,SGB
2025-07-08,12.118,12.118,12.024,12.118,22501,SGB
2025-07-09,12.118,12.212,12.024,12.024,15425,SGB
2025-07-10,12.024,12.118,11.93,12.118,16002,SGB
2025-07-11,12.024,12.024,12.024,12.024,9371,SGB
2025-07-14,12.024,12.024,11.93,11.93,10045,SGB
2025-07-15,12.024,12.212,11.93,12.212,12834,SGB
2025-07-16,12.118,12.118,12.118,12.118,1850,SGB
2025-07-17,12.212,12.212,12.118,12.118,22349,SGB
2025-07-18,12.212,12.4,12.212,12.212,21178,SGB
2025-07-21,12.212,12.212,12.024,12.118,23990,SGB
2025-07-22,12.118,12.306,12.024,12.118,38930,SGB
2025-07-23,12.306,12.306,12.306,12.306,26094,SGB
2025-07-24,12.118,12.4,12.024,12.212,34369,SGB
2025-07-25,12.306,12.4,12.306,12.306,29330,SGB
2025-07-28,12.494,12.776,12.306,12.776,94370,SGB
2025-07-29,12.776,14.091,12.776,12.776,123755,SGB
2025-07-30,12.776,12.776,12.4,12.4,51620,SGB
2025-07-31,12.776,12.776,12.212,12.494,32367,SGB
2025-08-01,12.494,12.776,12.494,12.682,40777,SGB
2025-08-04,12.776,12.87,12.682,12.87,104799,SGB
2025-08-05,12.964,13.715,12.682,13.058,128890,SGB
2025-08-06,13.621,13.621,12.776,12.964,89738,SGB
2025-08-07,12.964,13.152,12.776,12.964,46654,SGB
2025-08-08,13.058,13.152,12.776,13.058,78743,SGB
2025-08-11,13.339,13.339,12.964,13.058,41220,SGB
2025-08-12,13.152,13.152,12.87,12.87,47060,SGB
2025-08-13,13.058,13.246,12.87,13.246,56565,SGB
2025-08-14,13.246,13.527,13.058,13.433,99292,SGB
2025-08-15,13.433,13.715,13.339,13.527,75459,SGB
2025-08-18,13.527,13.527,13.246,13.433,22937,SGB
2025-08-19,13.339,13.621,13.246,13.339,148613,SGB
2025-08-20,13.339,13.809,13.246,13.527,177668,SGB
2025-08-21,13.621,14.185,13.621,14.091,317453,SGB
2025-08-22,14.091,14.561,13.246,13.903,284370,SGB
2025-08-25,13.903,13.903,13.152,13.152,239987,SGB
2025-08-26,13.058,13.621,12.964,13.433,35284,SGB
2025-08-27,13.433,13.621,13.339,13.433,221705,SGB
2025-08-28,13.433,13.527,13.339,13.339,8180,SGB
2025-08-29,13.527,13.527,13.246,13.433,24942,SGB
2025-09-03,13.433,13.527,13.246,13.246,29450,SGB
2025-09-04,13.152,13.433,13.152,13.339,28601,SGB
2025-09-05,13.339,13.339,13.152,13.152,31609,SGB
2025-09-08,13.058,13.152,12.588,12.588,36502,SGB
2025-09-09,12.588,12.776,12.4,12.682,37841,SGB
2025-09-10,12.588,12.776,12.494,12.494,8983,SGB
2025-09-11,12.776,12.776,12.212,12.588,5860,SGB
2025-09-12,12.4,12.588,12.4,12.4,12882,SGB
2025-09-15,12.4,12.588,12.4,12.4,12603,SGB
2025-09-16,12.494,12.588,12.494,12.588,7820,SGB
2025-09-17,12.682,12.682,12.212,12.588,12101,SGB
2025-09-18,12.494,12.588,12.494,12.588,5603,SGB
2025-09-19,12.588,12.588,12.306,12.4,10305,SGB
2025-09-22,12.588,12.588,12.212,12.306,14740,SGB
2025-09-23,12.306,12.4,12.306,12.4,5420,SGB
2025-09-24,12.4,12.4,12.212,12.306,11114,SGB
2025-09-25,12.306,12.306,12.212,12.212,13096,SGB
2025-09-26,12.212,12.4,12.212,12.306,1895,SGB
2025-09-29,12.4,12.4,12.306,12.306,1601,SGB
2025-09-30,12.4,12.4,12.212,12.306,11428,SGB
2025-10-01,12.212,12.4,12.212,12.4,5967,SGB
2025-10-02,12.494,12.494,12.212,12.4,15653,SGB
2025-10-03,12.306,12.4,12.212,12.4,2366,SGB
2025-10-06,12.4,12.776,12.4,12.494,25018,SGB
2025-10-07,12.682,12.682,12.494,12.494,4777,SGB
2025-10-08,12.588,12.682,12.494,12.494,1855,SGB
2025-10-09,12.4,12.494,12.4,12.494,3810,SGB
2025-10-10,12.494,12.494,12.306,12.4,14155,SGB
2025-10-13,12.306,12.306,12.212,12.306,11821,SGB
2025-10-14,12.212,12.494,12.212,12.494,759,SGB
2025-10-15,12.4,12.4,12.212,12.306,18372,SGB
2025-10-16,12.4,12.4,12.212,12.212,10154,SGB
2025-10-17,12.682,12.682,12.306,12.306,9525,SGB
2025-10-20,12.212,12.4,12.118,12.212,27681,SGB
2025-10-21,12.024,12.212,12.024,12.212,10146,SGB
2025-10-22,12.212,12.212,12.118,12.118,4356,SGB
2025-10-23,12.118,12.212,12.118,12.118,4303,SGB
2025-10-24,12.118,12.118,11.836,12.024,5700,SGB
2025-10-27,12.024,12.212,11.743,12.212,27250,SGB
2025-10-28,12.212,12.212,12.024,12.024,2100,SGB
2025-10-29,12.306,12.494,12.306,12.4,10371,SGB
2025-10-30,12.4,12.964,12.4,12.87,57147,SGB
2025-10-31,12.776,12.776,12.588,12.588,21115,SGB
2025-11-03,12.494,12.682,12.212,12.306,21594,SGB
2025-11-04,12.306,12.588,12.306,12.588,15403,SGB
2025-11-05,12.588,12.588,12.494,12.494,7347,SGB
2025-11-06,12.494,12.494,12.212,12.212,27980,SGB
2025-11-07,12.212,12.306,12.118,12.118,40102,SGB
2025-11-10,12.212,12.682,12.118,12.306,27410,SGB
2025-11-11,12.494,12.494,12.306,12.306,4600,SGB
2025-11-12,12.212,12.4,12.024,12.212,25138,SGB
2025-11-13,12.212,12.306,12.118,12.306,11837,SGB
2025-11-14,12.306,12.306,12.212,12.212,8213,SGB
2025-11-17,12.212,12.306,12.212,12.212,9008,SGB
2025-11-18,12.212,12.4,12.212,12.4,2134,SGB
2025-11-19,12.4,12.4,12.306,12.4,5577,SGB
2025-11-20,11.836,12.682,11.836,12.494,6689,SGB
2025-11-21,12.306,12.494,12.306,12.4,43721,SGB
2025-11-24,12.306,12.588,12.306,12.588,13506,SGB
2025-11-25,12.494,12.588,12.306,12.494,5555,SGB
2025-11-26,12.306,12.588,12.306,12.588,9989,SGB
2025-11-27,12.588,12.588,12.306,12.588,11160,SGB
2025-11-28,12.494,12.588,12.494,12.494,14236,SGB
2025-12-01,12.494,12.494,12.494,12.494,8268,SGB
2025-12-02,12.682,12.682,12.306,12.4,6648,SGB
2025-12-03,12.494,12.776,12.212,12.494,89575,SGB
2025-12-04,12.306,12.588,12.212,12.588,22069,SGB
2025-12-05,12.494,12.494,12.212,12.306,8413,SGB
2025-12-08,12.4,12.494,12.212,12.4,14835,SGB
2025-12-09,12.494,12.682,12.306,12.494,24871,SGB
2025-12-10,12.588,12.588,12.212,12.212,5512,SGB
2025-12-11,12.306,12.4,12.306,12.306,14030,SGB
2025-12-12,12.306,13.809,12.306,12.682,1192100,SGB
2025-12-15,13.152,13.152,12.494,12.776,17495,SGB
2025-12-16,12.682,12.682,12.212,12.4,43503,SGB
2025-12-17,12.4,12.9,12.4,12.4,6075,SGB
2025-12-18,12.6,12.6,12.2,12.3,10268,SGB
2025-12-19,12.3,12.4,12.2,12.3,20926,SGB
2025-12-22,12.3,12.5,12.3,12.5,8402,SGB
2025-12-23,12.5,12.5,12.3,12.3,10077,SGB
2025-12-24,12.2,12.5,12.2,12.3,21880,SGB
2025-12-25,12.5,12.5,12.2,12.4,3601,SGB
2025-12-26,12.4,12.4,12.2,12.2,5130,SGB
2025-12-29,12.3,12.4,12.2,12.4,5674,SGB
2025-12-30,12.2,12.5,12.2,12.2,2024,SGB
2025-12-31,12.2,12.4,12.2,12.4,1200,SGB
2026-01-05,12.3,12.3,12.2,12.3,3908,SGB
2026-01-06,12.2,12.3,12.1,12.2,11715,SGB
2026-01-07,12.2,12.4,12.2,12.4,11706,SGB
2026-01-08,12.4,12.4,12.3,12.4,13261,SGB
2026-01-09,12.4,12.4,12.2,12.4,3052,SGB
2026-01-12,12.4,12.5,12.3,12.4,14004,SGB
2026-01-13,12.4,12.5,12.4,12.5,20211,SGB
2026-01-14,12.5,12.8,12.5,12.6,19415,SGB
2026-01-15,12.6,12.7,12.5,12.6,21000,SGB
2026-01-16,12.4,12.8,12.4,12.6,3849,SGB
2026-01-19,12.1,12.9,12.1,12.7,10939,SGB
2026-01-20,13.5,13.5,12.7,12.7,11361,SGB
2026-01-21,12.8,12.9,12.8,12.8,21610,SGB
2026-01-22,12.9,12.9,12.6,12.8,8260,SGB
2026-01-23,12.6,12.8,12.6,12.8,10305,SGB
2026-01-26,12.8,12.9,12.4,12.5,16418,SGB
2026-01-27,12.5,12.5,12.5,12.5,2611,SGB
2026-01-28,12.5,12.5,12.4,12.4,5302,SGB
2026-01-29,12.4,12.8,12.4,12.4,12582,SGB
2026-01-30,12.5,12.6,12.4,12.6,4538,SGB
2026-02-02,12.5,12.5,12.4,12.5,7101,SGB
2026-02-03,12.5,12.6,12.5,12.6,1315,SGB
2026-02-04,12.8,12.8,12.6,12.6,2301,SGB
2026-02-05,12.5,12.5,12.5,12.5,2977,SGB
2026-02-06,12.5,12.5,12.4,12.4,8950,SGB
2026-02-09,12.4,12.4,12.2,12.3,6103,SGB
2026-02-10,12.3,12.4,12.3,12.4,4232,SGB
