time,open,high,low,close,volume,symbol
2025-02-10,13.895,13.895,13.895,13.895,200,SGI
2025-02-11,13.895,13.895,13.895,13.895,700,SGI
2025-02-12,13.895,13.895,13.895,13.895,3200,SGI
2025-02-13,13.895,13.895,13.895,13.895,4000,SGI
2025-02-14,13.895,13.895,13.895,13.895,0,SGI
2025-02-17,13.895,13.895,13.895,13.895,500,SGI
2025-02-18,14.854,14.854,13.895,13.895,500,SGI
2025-02-19,13.895,14.375,13.895,14.375,3700,SGI
2025-02-20,14.183,14.183,14.183,14.183,0,SGI
2025-02-21,14.375,14.566,14.183,14.566,200500,SGI
2025-02-24,14.47,14.47,14.47,14.47,0,SGI
2025-02-25,14.47,14.47,14.47,14.47,0,SGI
2025-02-26,12.458,14.375,12.458,14.375,13100,SGI
2025-02-27,14.279,14.279,14.279,14.279,1,SGI
2025-02-28,14.279,14.279,14.279,14.279,0,SGI
2025-03-03,14.279,14.279,14.279,14.279,0,SGI
2025-03-04,14.279,14.279,14.279,14.279,0,SGI
2025-03-05,14.279,14.279,14.279,14.279,0,SGI
2025-03-06,14.279,14.279,14.279,14.279,0,SGI
2025-03-07,14.279,14.279,14.279,14.279,0,SGI
2025-03-10,14.279,14.279,14.279,14.279,2,SGI
2025-03-11,13.033,16.291,13.033,16.291,600,SGI
2025-03-12,14.566,14.566,14.566,14.566,0,SGI
2025-03-13,14.566,14.566,14.566,14.566,0,SGI
2025-03-14,14.566,14.566,14.566,14.566,0,SGI
2025-03-17,13.416,14.566,13.416,14.566,2000,SGI
2025-03-18,13.895,13.895,13.895,13.895,0,SGI
2025-03-19,14.279,14.279,14.279,14.279,100,SGI
2025-03-20,14.279,14.279,14.279,14.279,2,SGI
2025-03-21,14.279,14.279,14.279,14.279,600,SGI
2025-03-24,14.279,14.279,14.279,14.279,0,SGI
2025-03-25,12.458,12.745,12.458,12.458,7700,SGI
2025-03-26,12.65,12.65,11.979,12.458,29600,SGI
2025-03-27,12.362,12.362,12.362,12.362,200,SGI
2025-03-28,11.979,11.979,11.5,11.5,16000,SGI
2025-03-31,12.362,12.362,12.362,12.362,100,SGI
2025-04-01,12.362,12.362,11.5,11.5,7500,SGI
2025-04-02,11.5,11.5,11.02,11.02,20700,SGI
2025-04-03,11.308,12.458,11.116,11.787,2500,SGI
2025-04-04,12.362,12.362,10.062,12.266,3203,SGI
2025-04-08,12.17,12.17,12.17,12.17,1,SGI
2025-04-09,12.17,12.266,11.5,12.266,1400,SGI
2025-04-10,12.745,12.745,12.745,12.745,200,SGI
2025-04-11,12.745,12.745,12.745,12.745,0,SGI
2025-04-14,12.745,12.745,12.745,12.745,0,SGI
2025-04-15,12.745,12.745,12.745,12.745,0,SGI
2025-04-16,12.745,12.745,12.745,12.745,0,SGI
2025-04-17,11.5,12.745,11.5,12.745,400,SGI
2025-04-18,12.458,12.458,12.458,12.458,0,SGI
2025-04-21,12.745,12.745,12.745,12.745,100,SGI
2025-04-22,12.745,12.745,12.745,12.745,0,SGI
2025-04-23,12.65,13.129,12.65,12.745,3300,SGI
2025-04-24,12.745,12.745,12.745,12.745,0,SGI
2025-04-25,12.745,12.745,12.745,12.745,0,SGI
2025-04-28,12.745,12.745,12.745,12.745,0,SGI
2025-04-29,12.745,12.745,12.745,12.745,0,SGI
2025-05-05,12.65,12.65,12.65,12.65,3600,SGI
2025-05-06,12.841,12.937,12.745,12.937,3100,SGI
2025-05-07,12.841,12.841,12.841,12.841,0,SGI
2025-05-08,11.5,13.225,10.925,13.225,20100,SGI
2025-05-09,12.841,12.841,12.841,12.841,100,SGI
2025-05-12,12.841,12.841,12.841,12.841,0,SGI
2025-05-13,12.458,12.745,12.458,12.745,300,SGI
2025-05-14,12.65,12.65,12.65,12.65,100,SGI
2025-05-15,12.458,13.225,12.458,13.225,2700,SGI
2025-05-16,12.65,12.65,12.554,12.554,3000,SGI
2025-05-19,12.458,12.841,12.458,12.745,2500,SGI
2025-05-20,12.937,12.937,12.937,12.937,5302,SGI
2025-05-21,12.937,12.937,12.937,12.937,0,SGI
2025-05-22,13.129,13.129,13.129,13.129,826,SGI
