time,open,high,low,close,volume,symbol
2025-02-10,40.5,40.5,36.1,37.0,679649,SGP
2025-02-11,37.5,38.2,36.0,38.2,222969,SGP
2025-02-12,37.5,38.2,37.0,37.3,304962,SGP
2025-02-13,37.2,39.8,36.8,38.8,401691,SGP
2025-02-14,38.9,40.7,36.0,37.9,306359,SGP
2025-02-17,37.9,38.5,36.0,36.8,488321,SGP
2025-02-18,36.8,37.0,36.0,36.6,226329,SGP
2025-02-19,36.4,39.0,36.4,37.5,310593,SGP
2025-02-20,37.7,38.6,36.7,38.2,386387,SGP
2025-02-21,38.2,39.0,37.6,38.0,312822,SGP
2025-02-24,38.0,39.2,38.0,38.8,406114,SGP
2025-02-25,38.7,39.5,37.7,38.3,301758,SGP
2025-02-26,38.4,39.2,38.0,38.3,258074,SGP
2025-02-27,38.3,38.7,37.3,37.5,277858,SGP
2025-02-28,37.8,38.4,36.7,36.9,225240,SGP
2025-03-03,37.0,37.0,36.0,36.2,351836,SGP
2025-03-04,36.3,36.3,34.5,34.9,402246,SGP
2025-03-05,35.0,36.3,34.3,35.3,202901,SGP
2025-03-06,35.5,36.4,35.0,35.5,115926,SGP
2025-03-07,35.3,36.2,35.0,35.9,215648,SGP
2025-03-10,35.9,36.4,35.7,35.8,135195,SGP
2025-03-11,35.8,35.9,35.1,35.7,141061,SGP
2025-03-12,35.7,37.0,35.0,36.7,404580,SGP
2025-03-13,36.9,37.4,35.7,35.8,271835,SGP
2025-03-14,36.3,36.3,33.2,33.2,380927,SGP
2025-03-17,33.8,34.3,31.7,32.3,352786,SGP
2025-03-18,32.3,33.2,29.8,30.0,611693,SGP
2025-03-19,31.0,31.3,29.7,30.4,237646,SGP
2025-03-20,30.4,31.4,30.1,31.0,168532,SGP
2025-03-21,31.5,31.5,30.0,30.8,215751,SGP
2025-03-24,30.6,31.0,30.0,30.5,77408,SGP
2025-03-25,30.0,31.1,30.0,30.7,193183,SGP
2025-03-26,31.0,31.0,30.5,30.8,111414,SGP
2025-03-27,31.0,31.5,30.5,30.6,121947,SGP
2025-03-28,30.5,30.8,29.8,29.9,114056,SGP
2025-03-31,30.3,30.3,28.9,28.9,224823,SGP
2025-04-01,29.4,30.5,29.3,30.1,127110,SGP
2025-04-02,30.0,30.3,29.6,29.7,46363,SGP
2025-04-03,29.3,29.3,25.5,25.5,541082,SGP
2025-04-04,23.0,25.8,22.3,24.9,247606,SGP
2025-04-08,25.0,25.0,19.9,20.0,298012,SGP
2025-04-09,19.9,20.1,17.9,18.8,328560,SGP
2025-04-10,21.5,21.5,21.5,21.5,58520,SGP
