time,open,high,low,close,volume,symbol
2025-02-10,68.9,68.9,67.546,67.546,565000,SIP
2025-02-11,67.546,67.969,67.292,67.885,410000,SIP
2025-02-12,68.392,70.509,68.392,68.731,1017500,SIP
2025-02-13,69.324,69.324,68.054,68.392,221000,SIP
2025-02-14,68.646,69.831,68.392,68.731,478300,SIP
2025-02-17,68.731,68.731,68.138,68.223,349700,SIP
2025-02-18,67.8,68.562,67.8,68.562,248700,SIP
2025-02-19,68.392,73.302,68.392,73.302,3386500,SIP
2025-02-20,73.302,73.386,72.286,72.54,778100,SIP
2025-02-21,72.54,75.164,72.286,74.064,1049000,SIP
2025-02-24,74.402,76.18,73.217,76.18,1198800,SIP
2025-02-25,76.18,76.264,75.587,76.095,707000,SIP
2025-02-26,76.095,77.619,75.164,75.164,1005600,SIP
2025-02-27,75.164,76.603,74.064,76.603,739400,SIP
2025-02-28,76.603,77.365,75.926,77.026,401700,SIP
2025-03-03,77.195,78.211,76.349,78.042,838800,SIP
2025-03-04,78.042,78.211,76.18,77.873,672900,SIP
2025-03-05,77.703,77.703,75.926,75.926,689700,SIP
2025-03-06,76.18,77.026,75.672,77.026,453400,SIP
2025-03-07,77.111,77.111,75.756,75.841,610900,SIP
2025-03-10,76.603,78.719,76.349,77.111,961800,SIP
2025-03-11,76.18,78.296,75.756,77.873,562900,SIP
2025-03-12,77.873,78.465,77.195,77.449,607400,SIP
2025-03-13,77.449,78.042,76.095,76.264,768700,SIP
2025-03-14,76.518,77.28,75.926,77.28,598700,SIP
2025-03-17,77.28,78.211,76.349,76.941,409600,SIP
2025-03-18,77.28,80.243,75.418,75.418,1339300,SIP
2025-03-19,74.91,75.418,73.471,73.81,998200,SIP
2025-03-20,74.91,76.18,73.471,76.18,700100,SIP
2025-03-21,76.18,76.941,75.503,76.264,1333100,SIP
2025-03-24,76.18,76.18,74.91,76.01,300300,SIP
2025-03-25,76.01,78.126,75.503,77.28,1086300,SIP
2025-03-26,77.28,78.211,76.688,77.703,402000,SIP
2025-03-27,78.042,79.058,76.857,77.026,608000,SIP
2025-03-28,77.28,77.788,76.857,77.449,365600,SIP
2025-03-31,76.18,76.603,72.371,72.963,1585600,SIP
2025-04-01,72.963,74.148,71.524,72.794,706600,SIP
2025-04-02,72.879,73.471,72.625,72.879,378200,SIP
2025-04-03,67.8,69.408,67.8,67.8,583000,SIP
2025-04-04,63.06,63.06,63.06,63.06,464600,SIP
2025-04-08,58.658,58.658,58.658,58.658,456500,SIP
2025-04-09,54.595,54.595,54.595,54.595,219400,SIP
2025-04-10,58.404,58.404,58.404,58.404,373900,SIP
2025-04-11,55.188,56.881,54.342,55.442,3569100,SIP
2025-04-14,59.251,59.251,56.712,58.404,1566500,SIP
2025-04-15,57.473,57.812,54.342,54.342,1568000,SIP
2025-04-16,52.903,55.019,50.617,50.617,1785700,SIP
2025-04-17,48.247,51.633,48.078,49.432,1204300,SIP
2025-04-18,50.956,52.056,50.448,51.464,728800,SIP
2025-04-21,51.464,51.464,49.094,50.871,476800,SIP
2025-04-22,49.347,50.363,47.316,47.485,1493500,SIP
2025-04-23,48.416,49.94,47.57,49.263,644800,SIP
2025-04-24,50.109,52.649,49.94,52.649,955800,SIP
2025-04-25,52.903,53.834,52.056,52.141,598200,SIP
2025-04-28,53.241,53.241,51.548,52.903,370600,SIP
2025-04-29,51.887,53.749,51.887,53.749,309000,SIP
2025-05-05,53.749,55.865,53.749,55.865,599700,SIP
2025-05-06,56.288,56.288,54.765,55.527,397900,SIP
2025-05-07,55.273,56.204,54.765,55.865,352300,SIP
2025-05-08,56.288,57.643,55.527,57.643,1094400,SIP
2025-05-09,57.981,57.981,56.627,56.965,390100,SIP
2025-05-12,56.796,59.166,56.627,59.166,737300,SIP
2025-05-13,60.267,60.351,59.166,59.759,878300,SIP
2025-05-14,59.759,59.759,58.828,58.997,615600,SIP
2025-05-15,59.165,59.849,57.797,59.08,447100,SIP
2025-05-16,58.738,59.336,57.968,58.054,507700,SIP
2025-05-19,57.712,57.712,55.916,56.173,636900,SIP
2025-05-20,56.258,57.797,56.258,57.797,375200,SIP
2025-05-21,57.883,57.883,56.429,56.515,377900,SIP
2025-05-22,56.515,56.686,55.574,55.574,489500,SIP
2025-05-23,55.66,56.429,55.318,55.66,319600,SIP
2025-05-26,55.574,58.994,55.147,58.994,593200,SIP
2025-05-27,59.678,59.678,58.396,59.08,368800,SIP
2025-05-28,59.422,60.277,58.054,58.567,713400,SIP
2025-05-29,59.935,61.559,59.507,60.704,759800,SIP
2025-05-30,60.277,60.277,58.567,58.652,345700,SIP
2025-06-02,58.652,59.251,58.054,59.08,364800,SIP
2025-06-03,59.251,59.935,58.994,59.251,386200,SIP
2025-06-04,59.764,59.935,58.909,58.909,319800,SIP
2025-06-05,58.909,60.106,58.652,59.422,514200,SIP
2025-06-06,59.849,59.849,57.883,57.883,497000,SIP
2025-06-09,57.541,57.712,54.805,55.147,798200,SIP
2025-06-10,54.719,55.831,54.719,55.147,426800,SIP
2025-06-11,55.574,55.745,54.976,54.976,312400,SIP
2025-06-12,55.574,56.173,55.232,55.66,170400,SIP
2025-06-13,52.496,55.489,52.496,55.061,327500,SIP
2025-06-16,55.061,56.002,54.976,55.489,315300,SIP
2025-06-17,56.344,56.344,55.403,55.574,285900,SIP
2025-06-18,55.831,56.002,55.232,55.232,247000,SIP
2025-06-19,55.318,56.857,55.232,56.002,398000,SIP
2025-06-20,55.831,56.173,54.634,54.634,1098900,SIP
2025-06-23,54.89,57.968,54.89,57.284,595600,SIP
2025-06-24,57.797,58.567,57.284,57.455,984500,SIP
2025-06-25,57.626,58.738,57.541,58.225,748700,SIP
2025-06-26,58.738,59.593,58.567,58.909,792500,SIP
2025-06-27,59.422,59.422,58.139,58.31,521200,SIP
2025-06-30,58.396,59.165,58.396,58.823,433100,SIP
2025-07-01,58.738,60.191,58.567,59.08,663200,SIP
2025-07-02,59.593,63.184,59.251,63.184,1425800,SIP
2025-07-03,61.559,61.987,58.823,58.909,2293900,SIP
2025-07-04,59.849,59.849,57.541,58.994,1135900,SIP
2025-07-07,60.704,62.158,59.593,60.362,1107800,SIP
2025-07-08,62.329,62.329,60.961,61.388,948300,SIP
2025-07-09,61.987,61.987,60.362,60.619,532600,SIP
2025-07-10,60.533,61.559,60.448,60.704,622500,SIP
2025-07-11,60.875,61.388,60.191,60.465,634100,SIP
2025-07-14,61.45,61.548,59.975,61.155,654500,SIP
2025-07-15,61.45,61.745,60.762,60.762,594200,SIP
2025-07-16,60.663,60.762,60.074,60.467,463500,SIP
2025-07-17,60.663,61.843,60.467,60.762,665000,SIP
2025-07-18,60.958,62.04,60.368,60.467,1219600,SIP
2025-07-21,60.958,62.335,60.467,61.548,911500,SIP
2025-07-22,61.45,62.138,61.155,61.745,537600,SIP
2025-07-23,61.942,62.925,61.548,62.925,859200,SIP
2025-07-24,64.596,67.251,63.908,67.251,1845100,SIP
2025-07-25,67.153,67.742,66.366,66.563,685800,SIP
2025-07-28,66.661,67.251,65.874,65.874,883600,SIP
2025-07-29,65.973,66.661,62.335,64.793,1414100,SIP
2025-07-30,64.105,64.596,63.121,64.105,549800,SIP
2025-07-31,66.169,67.349,64.203,66.169,1771400,SIP
2025-08-01,66.169,66.169,63.613,63.711,717200,SIP
2025-08-04,63.908,64.301,63.023,63.515,469300,SIP
2025-08-05,64.4,65.284,61.942,62.728,1106400,SIP
2025-08-06,63.416,63.81,62.63,63.318,477500,SIP
2025-08-07,65.383,66.169,64.695,65.284,1157300,SIP
2025-08-08,66.268,66.268,63.711,64.596,652600,SIP
2025-08-11,64.596,66.858,64.4,65.874,836700,SIP
2025-08-12,66.661,66.661,64.793,65.383,580600,SIP
2025-08-13,65.678,67.546,65.481,66.366,1301800,SIP
2025-08-14,66.366,66.464,65.088,65.579,460700,SIP
2025-08-15,65.383,65.579,63.22,63.318,1126800,SIP
2025-08-18,63.121,64.4,62.925,63.318,403300,SIP
2025-08-19,63.318,63.81,63.121,63.318,491900,SIP
2025-08-20,63.318,63.416,61.45,61.843,739500,SIP
2025-08-21,61.942,63.515,60.467,61.253,701700,SIP
2025-08-22,60.958,60.958,57.616,57.714,824800,SIP
2025-08-25,57.91,59.484,56.829,56.829,270600,SIP
2025-08-26,56.829,58.009,56.337,57.616,268700,SIP
2025-08-27,58.009,58.894,57.812,58.205,439400,SIP
2025-08-28,58.795,59.385,58.402,58.697,185600,SIP
2025-08-29,58.992,58.992,57.91,57.91,309400,SIP
2025-09-03,57.91,58.992,57.812,58.697,216200,SIP
2025-09-04,58.992,60.368,58.992,59.779,302300,SIP
2025-09-05,60.172,62.138,60.074,60.074,665600,SIP
2025-09-08,60.172,60.565,58.5,58.5,356600,SIP
2025-09-09,58.5,59.09,57.616,57.714,210000,SIP
2025-09-10,57.91,58.107,56.829,57.026,316000,SIP
2025-09-11,57.026,57.616,56.141,57.222,236100,SIP
2025-09-12,57.419,58.697,57.419,58.205,235000,SIP
2025-09-15,58.992,59.975,58.402,59.975,365000,SIP
2025-09-16,60.27,60.368,58.795,59.189,321000,SIP
2025-09-17,58.992,59.189,57.517,57.714,494500,SIP
2025-09-18,58.009,58.009,57.222,57.714,261400,SIP
2025-09-19,57.714,58.009,56.534,56.534,414300,SIP
2025-09-22,56.829,57.222,56.436,56.632,390500,SIP
2025-09-23,57.026,57.616,56.337,56.632,202500,SIP
2025-09-24,56.632,56.927,56.042,56.337,398300,SIP
2025-09-25,57.026,57.124,56.534,56.731,218200,SIP
2025-09-26,56.829,57.222,56.436,56.534,232300,SIP
2025-09-29,56.436,56.632,55.059,55.059,490100,SIP
2025-09-30,55.649,55.649,53.781,54.273,528300,SIP
2025-10-01,54.568,55.059,54.273,54.568,389400,SIP
2025-10-02,55.452,55.452,53.781,53.879,413800,SIP
2025-10-03,54.273,54.273,52.896,52.994,247300,SIP
2025-10-06,53.289,54.863,53.289,54.863,191600,SIP
2025-10-07,55.059,55.059,53.879,53.978,236700,SIP
2025-10-08,54.666,54.764,53.683,53.978,184900,SIP
2025-10-09,53.978,54.568,53.683,54.568,162900,SIP
2025-10-10,54.273,55.256,54.273,54.568,248900,SIP
