time,open,high,low,close,volume,symbol
2025-02-10,18.231,19.226,17.983,18.149,231398,SJE
2025-02-11,18.231,18.646,17.154,17.651,296482,SJE
2025-02-12,17.817,18.149,17.403,17.651,87441,SJE
2025-02-13,17.983,18.977,17.568,18.397,235207,SJE
2025-02-14,18.646,19.557,18.48,18.646,205867,SJE
2025-02-17,18.894,20.469,18.894,20.469,569145,SJE
2025-02-18,20.718,21.795,20.552,20.966,232904,SJE
2025-02-19,22.375,22.375,20.386,20.8,142459,SJE
2025-02-20,20.8,22.043,20.469,21.38,354002,SJE
2025-02-21,21.961,23.121,21.298,22.624,419148,SJE
2025-02-24,22.624,24.281,22.624,23.618,292282,SJE
2025-02-25,24.032,24.198,22.458,23.038,275779,SJE
2025-02-26,22.955,22.955,20.966,21.629,501287,SJE
2025-02-27,21.712,21.712,21.049,21.546,250245,SJE
2025-02-28,21.546,23.618,21.132,23.121,345322,SJE
2025-03-03,23.204,23.618,22.209,22.292,165180,SJE
2025-03-04,22.043,23.204,22.043,22.955,226797,SJE
2025-03-05,23.121,23.204,22.292,22.789,95505,SJE
2025-03-06,22.789,22.955,22.292,22.789,84701,SJE
2025-03-07,22.789,24.447,22.789,23.452,339206,SJE
2025-03-10,23.618,23.618,22.706,22.789,95072,SJE
2025-03-11,22.872,22.872,21.961,22.375,336214,SJE
2025-03-12,22.043,22.541,21.463,21.712,303103,SJE
2025-03-13,21.712,22.209,21.546,21.795,145734,SJE
2025-03-14,22.043,22.126,21.629,21.961,94000,SJE
2025-03-17,22.209,22.209,21.629,21.961,147718,SJE
2025-03-18,21.961,22.292,21.795,21.795,80670,SJE
2025-03-19,21.546,22.043,21.546,21.712,89000,SJE
2025-03-20,21.712,21.878,21.38,21.795,95901,SJE
2025-03-21,21.712,21.878,21.298,21.463,70612,SJE
2025-03-24,21.463,21.463,20.718,20.718,65401,SJE
2025-03-25,21.132,21.546,20.718,21.546,96502,SJE
2025-03-26,21.546,21.712,20.883,21.215,59390,SJE
2025-03-27,21.049,22.209,20.883,22.043,213388,SJE
2025-03-28,22.292,22.955,22.126,22.209,120669,SJE
2025-03-31,21.878,22.126,21.546,21.712,90114,SJE
2025-04-01,21.878,21.878,21.298,21.38,24800,SJE
2025-04-02,21.463,22.292,21.215,21.712,58622,SJE
2025-04-03,21.38,21.38,19.557,19.557,274453,SJE
2025-04-04,17.817,19.474,17.734,18.646,214361,SJE
2025-04-08,18.894,18.894,16.823,16.823,216387,SJE
2025-04-09,16.16,17.154,15.662,16.408,208066,SJE
2025-04-10,17.817,17.983,17.817,17.983,2465,SJE
2025-04-11,18.646,19.723,18.149,18.563,197275,SJE
2025-04-14,19.06,19.06,18.48,18.894,193051,SJE
2025-04-15,18.894,18.894,18.149,18.729,78610,SJE
2025-04-16,18.231,19.557,17.237,19.226,178073,SJE
2025-04-17,19.226,19.474,18.894,19.392,92705,SJE
2025-04-18,19.64,19.723,19.309,19.557,77565,SJE
2025-04-21,19.557,19.557,18.977,19.474,77521,SJE
2025-04-22,19.226,19.226,17.817,18.646,84001,SJE
2025-04-23,18.894,19.06,18.729,19.06,40367,SJE
2025-04-24,19.06,19.309,18.894,19.06,55505,SJE
2025-04-25,19.309,19.309,18.977,18.977,45820,SJE
2025-04-28,19.226,19.226,18.646,19.06,41105,SJE
2025-04-29,19.06,19.806,18.894,19.143,85405,SJE
2025-05-05,19.226,19.474,18.397,18.646,119633,SJE
2025-05-06,18.646,18.977,18.48,18.646,125606,SJE
2025-05-07,18.563,18.646,18.314,18.314,85317,SJE
2025-05-08,18.397,18.729,18.149,18.646,72417,SJE
2025-05-09,18.646,18.646,18.149,18.231,69400,SJE
2025-05-12,18.563,19.309,18.563,19.309,153500,SJE
2025-05-13,19.64,19.64,18.894,18.977,70077,SJE
2025-05-14,19.06,19.06,18.563,18.894,52200,SJE
2025-05-15,18.646,18.811,18.397,18.646,118145,SJE
2025-05-16,18.646,18.646,18.397,18.563,75500,SJE
2025-05-19,18.563,18.563,18.231,18.231,133000,SJE
2025-05-20,18.314,19.06,18.231,18.646,84500,SJE
2025-05-21,18.729,18.729,18.397,18.48,41401,SJE
2025-05-22,18.397,18.397,18.149,18.397,112069,SJE
2025-05-23,18.48,18.48,18.149,18.397,45800,SJE
2025-05-26,18.397,18.397,17.983,18.149,79261,SJE
2025-05-27,18.231,18.646,18.149,18.48,82010,SJE
2025-05-28,18.563,18.729,18.314,18.48,55008,SJE
2025-05-29,18.48,18.48,18.231,18.397,34300,SJE
2025-05-30,18.231,18.314,18.149,18.149,39636,SJE
2025-06-02,18.149,18.563,17.983,18.314,63062,SJE
2025-06-03,18.314,18.314,17.651,17.734,129700,SJE
2025-06-04,17.9,17.9,17.568,17.9,75567,SJE
2025-06-05,17.734,17.9,17.568,17.817,45534,SJE
2025-06-06,17.9,17.983,17.568,17.568,69600,SJE
2025-06-09,17.651,17.734,17.403,17.486,26014,SJE
2025-06-10,17.568,17.568,17.403,17.403,38617,SJE
2025-06-11,17.403,17.568,17.403,17.568,21049,SJE
2025-06-12,17.568,17.568,17.32,17.486,35100,SJE
2025-06-13,17.071,17.486,17.071,17.403,39603,SJE
2025-06-16,17.403,17.403,17.071,17.32,83400,SJE
2025-06-17,17.32,17.983,17.154,17.817,46315,SJE
2025-06-18,17.651,17.817,17.486,17.486,31530,SJE
2025-06-19,17.9,19.226,17.9,18.729,187502,SJE
2025-06-20,18.811,18.811,17.817,18.149,83843,SJE
2025-06-23,18.149,18.149,17.651,17.817,101002,SJE
2025-06-24,18.149,18.231,17.403,17.486,98200,SJE
2025-06-25,17.486,18.977,17.486,18.811,432101,SJE
2025-06-26,18.811,18.894,17.9,17.9,140605,SJE
2025-06-27,18.5,18.8,18.1,18.1,95742,SJE
2025-06-30,18.1,18.4,17.7,18.3,59005,SJE
2025-07-01,18.2,18.2,17.7,18.2,40200,SJE
2025-07-02,18.0,18.1,17.9,18.1,111004,SJE
2025-07-03,18.1,18.2,17.8,17.9,30101,SJE
2025-07-04,17.9,18.3,17.9,18.3,160401,SJE
2025-07-07,18.3,18.5,18.3,18.5,52506,SJE
2025-07-08,18.5,18.5,18.2,18.4,9100,SJE
2025-07-09,18.4,18.4,18.2,18.2,50245,SJE
2025-07-10,18.3,18.4,18.1,18.2,24602,SJE
2025-07-11,18.2,18.5,18.2,18.3,70300,SJE
2025-07-14,18.3,18.3,17.9,18.0,25852,SJE
2025-07-15,18.0,18.2,18.0,18.0,49400,SJE
2025-07-16,18.0,18.0,17.8,17.9,43218,SJE
2025-07-17,18.0,18.2,17.8,17.8,90201,SJE
2025-07-18,17.9,18.1,17.8,18.1,37952,SJE
