time,open,high,low,close,volume,symbol
2025-02-10,35.328,35.521,35.019,35.019,14900,SJS
2025-02-11,35.521,36.371,35.328,35.946,37900,SJS
2025-02-12,35.212,35.985,35.212,35.753,6300,SJS
2025-02-13,35.753,36.023,35.212,35.869,25300,SJS
2025-02-14,35.869,36.023,35.676,35.676,30800,SJS
2025-02-17,35.598,38.147,35.598,38.147,64300,SJS
2025-02-18,38.224,40.386,38.224,39.305,29600,SJS
2025-02-19,39.884,39.884,37.876,38.417,19600,SJS
2025-02-20,38.571,38.649,37.876,38.378,12500,SJS
2025-02-21,38.378,38.378,37.49,38.224,7200,SJS
2025-02-24,37.259,38.571,37.259,38.533,9700,SJS
2025-02-25,38.533,38.533,37.49,38.147,6600,SJS
2025-02-26,38.147,38.147,37.838,37.876,6500,SJS
2025-02-27,37.838,38.996,37.838,38.764,10200,SJS
2025-02-28,38.764,38.919,38.224,38.61,17400,SJS
2025-03-03,38.61,40.579,38.61,39.884,138700,SJS
2025-03-04,39.691,40.347,39.691,40.154,6700,SJS
2025-03-05,40.541,42.432,40.154,41.699,38700,SJS
2025-03-06,41.66,42.394,40.541,41.699,12400,SJS
2025-03-07,41.081,41.66,41.081,41.66,16500,SJS
2025-03-10,41.815,41.815,38.764,39.035,37600,SJS
2025-03-11,38.996,39.768,38.571,38.996,24600,SJS
2025-03-12,39.768,39.768,38.224,38.649,22000,SJS
2025-03-13,37.838,38.919,37.568,38.842,15700,SJS
2025-03-14,38.88,39.344,38.61,38.61,7400,SJS
2025-03-17,38.61,39.382,38.61,39.382,15400,SJS
2025-03-18,38.996,39.382,38.996,38.996,3700,SJS
2025-03-19,37.568,38.571,37.568,38.571,9500,SJS
2025-03-20,38.571,38.61,37.838,38.61,4900,SJS
2025-03-21,38.61,39.382,38.224,38.996,42500,SJS
2025-03-24,38.069,39.382,38.069,38.649,72100,SJS
2025-03-25,38.649,39.382,38.649,39.344,6000,SJS
2025-03-26,39.344,41.583,39.344,40.965,34700,SJS
2025-03-27,40.039,41.313,40.039,41.042,17000,SJS
2025-03-28,41.042,41.042,40.154,40.154,8400,SJS
2025-03-31,40.347,40.849,39.768,40.502,6700,SJS
2025-04-01,40.502,41.158,40.502,40.927,2500,SJS
2025-04-02,40.502,41.042,40.347,40.386,5300,SJS
2025-04-03,38.069,42.471,37.568,37.568,54500,SJS
2025-04-04,34.942,35.907,34.942,35.83,75100,SJS
2025-04-08,35.791,35.791,33.359,33.359,31000,SJS
2025-04-09,31.042,33.05,31.042,31.042,38700,SJS
2025-04-10,33.205,33.205,33.205,33.205,1400,SJS
2025-04-11,35.29,35.29,32.819,34.363,40700,SJS
2025-04-14,35.83,35.83,33.977,35.56,39900,SJS
2025-04-15,35.83,35.83,34.363,34.363,126500,SJS
2025-04-16,35.714,35.714,34.054,34.093,16100,SJS
2025-04-17,33.977,34.286,33.591,34.286,16400,SJS
2025-04-18,34.286,34.286,33.977,33.977,5200,SJS
2025-04-21,33.205,35.058,33.205,33.9,6400,SJS
2025-04-22,33.9,33.9,31.544,32.703,41000,SJS
2025-04-23,34.131,34.131,32.741,33.861,4200,SJS
2025-04-24,33.012,33.205,33.012,33.166,4200,SJS
2025-04-25,33.127,33.513,33.127,33.513,93900,SJS
2025-04-28,33.784,33.784,32.934,33.012,2900,SJS
2025-04-29,33.012,33.707,33.012,33.591,8100,SJS
2025-05-05,33.745,33.784,33.552,33.707,13900,SJS
2025-05-06,33.243,34.942,33.243,34.942,95600,SJS
2025-05-07,34.903,34.942,33.977,34.208,4800,SJS
2025-05-08,34.749,35.521,34.749,35.367,44800,SJS
