time,open,high,low,close,volume,symbol
2025-02-10,10.688,10.831,10.64,10.736,117000,SKG
2025-02-11,10.736,10.736,10.64,10.736,94700,SKG
2025-02-12,10.736,11.118,10.736,11.07,809800,SKG
2025-02-13,11.118,11.118,10.927,11.07,174500,SKG
2025-02-14,11.118,11.165,10.974,11.165,151200,SKG
2025-02-17,11.165,11.499,11.165,11.308,389100,SKG
2025-02-18,11.452,11.452,11.118,11.165,178300,SKG
2025-02-19,11.165,11.261,11.022,11.118,342000,SKG
2025-02-20,11.118,11.165,10.688,11.118,954600,SKG
2025-02-21,10.927,11.165,10.879,11.07,145400,SKG
2025-02-24,11.07,11.07,10.879,10.927,234400,SKG
2025-02-25,11.261,11.261,10.974,11.07,172800,SKG
2025-02-26,11.07,11.165,10.927,11.022,123000,SKG
2025-02-27,11.022,11.308,10.879,11.308,677300,SKG
2025-02-28,11.404,11.642,11.356,11.642,1089300,SKG
2025-03-03,11.833,12.12,11.69,12.12,712100,SKG
2025-03-04,12.12,12.358,12.024,12.263,843900,SKG
2025-03-05,12.358,12.358,11.881,11.881,757000,SKG
2025-03-06,11.833,12.072,11.833,12.072,339400,SKG
2025-03-07,12.12,12.167,11.881,12.072,464300,SKG
2025-03-10,12.072,12.215,11.738,12.12,574300,SKG
2025-03-11,11.786,12.072,11.786,12.024,328900,SKG
2025-03-12,12.024,12.024,11.642,11.881,585200,SKG
2025-03-13,11.929,11.929,11.404,11.404,684500,SKG
2025-03-14,11.452,11.738,10.974,11.308,497700,SKG
2025-03-17,11.499,11.499,11.213,11.356,273900,SKG
2025-03-18,11.452,11.452,11.213,11.261,234700,SKG
2025-03-19,11.452,11.452,11.165,11.261,110300,SKG
2025-03-20,11.356,11.356,11.07,11.118,394900,SKG
2025-03-21,11.118,11.261,11.022,11.261,281000,SKG
2025-03-24,11.261,11.404,11.165,11.356,139000,SKG
2025-03-25,11.356,11.452,11.261,11.356,171500,SKG
2025-03-26,11.452,11.786,11.356,11.69,631400,SKG
2025-03-27,11.833,11.833,11.547,11.69,127900,SKG
2025-03-28,11.642,11.738,11.499,11.547,312200,SKG
2025-03-31,11.404,11.595,11.261,11.452,256000,SKG
2025-04-01,11.452,11.499,11.261,11.452,134400,SKG
2025-04-02,11.404,11.499,11.308,11.356,127600,SKG
2025-04-03,11.022,11.07,10.593,10.593,896600,SKG
2025-04-04,9.877,10.497,9.877,9.877,892100,SKG
2025-04-08,9.295,9.638,9.19,9.19,476800,SKG
2025-04-09,8.551,8.78,8.551,8.551,947700,SKG
2025-04-10,9.142,9.142,9.142,9.142,71800,SKG
2025-04-11,9.142,9.543,9.142,9.486,584800,SKG
2025-04-14,9.486,9.638,9.457,9.638,259600,SKG
2025-04-15,9.638,9.638,9.486,9.543,173800,SKG
2025-04-16,9.467,9.925,9.467,9.686,377000,SKG
2025-04-17,9.505,9.686,9.505,9.686,92400,SKG
2025-04-18,9.782,9.972,9.591,9.925,263100,SKG
2025-04-21,9.925,9.925,9.686,9.829,110800,SKG
2025-04-22,9.829,9.829,9.142,9.457,528300,SKG
2025-04-23,9.734,9.734,9.476,9.638,181400,SKG
2025-04-24,9.686,9.734,9.543,9.543,309400,SKG
2025-04-25,9.734,9.734,9.591,9.638,152700,SKG
2025-04-28,9.638,9.734,9.543,9.734,102500,SKG
2025-04-29,9.734,9.829,9.591,9.782,237300,SKG
2025-05-05,9.782,9.925,9.734,9.782,215200,SKG
2025-05-06,9.829,9.972,9.829,9.877,178700,SKG
2025-05-07,9.829,9.925,9.734,9.877,146500,SKG
2025-05-08,9.925,9.925,9.782,9.877,106400,SKG
2025-05-09,9.877,10.45,9.467,10.306,791300,SKG
2025-05-12,10.497,10.497,10.211,10.306,234600,SKG
2025-05-13,10.402,10.45,10.306,10.354,195700,SKG
2025-05-14,10.45,10.593,10.354,10.45,314200,SKG
2025-05-15,10.545,10.593,10.306,10.402,184900,SKG
2025-05-16,10.402,10.497,10.211,10.211,205400,SKG
2025-05-19,10.211,10.497,10.211,10.45,259200,SKG
2025-05-20,10.497,10.784,10.402,10.402,370100,SKG
2025-05-21,10.402,10.545,10.211,10.306,312600,SKG
2025-05-22,10.306,10.354,10.211,10.259,174500,SKG
2025-05-23,10.306,10.306,10.259,10.306,108300,SKG
2025-05-26,10.402,10.497,9.829,10.45,270700,SKG
2025-05-27,10.6,10.6,10.4,10.45,325500,SKG
2025-05-28,10.5,10.5,10.4,10.45,246300,SKG
2025-05-29,10.4,10.45,10.3,10.4,185300,SKG
2025-05-30,10.25,10.4,10.2,10.35,179900,SKG
2025-06-02,10.3,10.35,10.15,10.35,143800,SKG
2025-06-03,10.4,10.75,10.4,10.55,436400,SKG
2025-06-04,10.7,10.7,10.4,10.6,135400,SKG
2025-06-05,10.5,10.6,10.4,10.6,167000,SKG
2025-06-06,10.65,11.0,10.6,10.8,499800,SKG
2025-06-09,10.6,10.9,10.5,10.55,210300,SKG
2025-06-10,10.7,10.8,10.55,10.65,267800,SKG
2025-06-11,10.65,10.7,10.5,10.55,127300,SKG
2025-06-12,10.55,10.65,10.45,10.55,117700,SKG
2025-06-13,10.45,10.6,10.25,10.4,323200,SKG
2025-06-16,10.35,10.5,10.3,10.4,129900,SKG
2025-06-17,10.45,10.5,10.35,10.35,136300,SKG
2025-06-18,10.35,10.45,10.3,10.4,263500,SKG
2025-06-19,10.4,10.4,10.3,10.4,90900,SKG
2025-06-20,10.3,10.4,10.25,10.4,159300,SKG
2025-06-23,10.3,10.4,10.15,10.25,338700,SKG
2025-06-24,10.3,10.35,10.25,10.3,260200,SKG
2025-06-25,10.3,10.3,10.2,10.2,200300,SKG
2025-06-26,10.1,10.3,10.1,10.25,117403,SKG
2025-06-27,10.2,10.25,10.15,10.25,94300,SKG
2025-06-30,10.3,10.3,10.15,10.25,176422,SKG
2025-07-01,10.2,10.2,10.1,10.2,115300,SKG
2025-07-02,10.15,10.2,10.1,10.2,101200,SKG
2025-07-03,10.2,10.4,10.1,10.3,306700,SKG
2025-07-04,10.25,10.4,10.25,10.3,146000,SKG
2025-07-07,10.4,10.45,10.3,10.35,120800,SKG
2025-07-08,10.45,10.45,10.3,10.4,164200,SKG
2025-07-09,10.45,10.45,10.35,10.35,349700,SKG
2025-07-10,10.35,10.45,10.3,10.45,293700,SKG
2025-07-11,10.45,10.75,10.45,10.55,340300,SKG
2025-07-14,10.65,10.7,10.45,10.7,329100,SKG
2025-07-15,10.7,11.1,10.6,10.8,616300,SKG
2025-07-16,11.0,11.0,10.75,10.85,215200,SKG
2025-07-17,10.95,10.95,10.75,10.85,307700,SKG
2025-07-18,10.9,10.9,10.5,10.7,372800,SKG
2025-07-21,10.95,10.95,10.65,10.7,350100,SKG
2025-07-22,10.65,10.85,10.65,10.65,481700,SKG
2025-07-23,10.8,10.95,10.75,10.85,469300,SKG
2025-07-24,10.9,11.1,10.9,11.1,645800,SKG
2025-07-25,11.4,11.4,11.1,11.15,471600,SKG
2025-07-28,11.5,11.85,11.4,11.65,989500,SKG
2025-07-29,11.9,11.9,11.05,11.05,858300,SKG
2025-07-30,11.1,11.35,11.0,11.15,312700,SKG
2025-07-31,11.15,11.35,11.05,11.25,360000,SKG
2025-08-01,11.25,11.25,11.0,11.05,439600,SKG
2025-08-04,11.1,11.65,11.1,11.5,665700,SKG
2025-08-05,11.6,11.65,11.05,11.5,830200,SKG
2025-08-06,11.5,11.5,11.35,11.4,326200,SKG
2025-08-07,11.3,11.5,11.3,11.5,345700,SKG
2025-08-08,11.5,11.5,11.3,11.5,291500,SKG
2025-08-11,11.6,11.9,11.45,11.75,823300,SKG
2025-08-12,11.85,11.85,11.5,11.65,701800,SKG
2025-08-13,11.65,11.75,11.4,11.6,471600,SKG
2025-08-14,11.65,11.7,11.45,11.6,661200,SKG
2025-08-15,11.6,11.6,11.35,11.35,468800,SKG
2025-08-18,11.3,11.4,11.25,11.4,370200,SKG
2025-08-19,11.55,11.9,11.4,11.85,881200,SKG
2025-08-20,11.85,11.85,11.3,11.65,479300,SKG
2025-08-21,11.65,11.65,11.25,11.4,374900,SKG
2025-08-22,11.35,11.35,10.8,11.1,855700,SKG
2025-08-25,11.1,11.2,10.85,10.9,120300,SKG
2025-08-26,10.9,11.1,10.85,11.1,138700,SKG
2025-08-27,11.1,11.4,10.95,11.1,215300,SKG
2025-08-28,11.25,11.25,11.05,11.2,86400,SKG
2025-08-29,11.3,11.3,11.1,11.25,112000,SKG
2025-09-03,11.25,11.25,11.1,11.2,162000,SKG
2025-09-04,11.2,11.35,11.2,11.25,198100,SKG
2025-09-05,11.25,11.4,11.1,11.15,270200,SKG
2025-09-08,11.2,11.2,10.9,11.0,356200,SKG
2025-09-09,11.1,11.1,10.85,10.95,183600,SKG
2025-09-10,11.1,11.1,10.8,11.0,197000,SKG
2025-09-11,10.9,11.0,10.7,11.0,204900,SKG
2025-09-12,10.95,11.1,10.9,11.05,157200,SKG
2025-09-15,11.15,11.15,10.9,11.05,113500,SKG
2025-09-16,11.0,11.1,10.9,11.0,198900,SKG
2025-09-17,11.0,11.05,10.9,11.0,92700,SKG
2025-09-18,11.0,11.0,10.8,10.95,120100,SKG
2025-09-19,10.95,11.5,10.95,11.2,256000,SKG
2025-09-22,11.3,11.3,10.95,11.05,114000,SKG
2025-09-23,10.95,11.15,10.9,11.05,79900,SKG
2025-09-24,11.0,11.05,10.85,11.0,118600,SKG
2025-09-25,11.1,11.1,10.85,11.0,139300,SKG
2025-09-26,11.0,11.05,10.8,11.0,150500,SKG
2025-09-29,11.0,11.0,10.7,10.9,188900,SKG
2025-09-30,10.85,10.9,10.7,10.85,165700,SKG
2025-10-01,10.8,10.85,10.75,10.85,59900,SKG
2025-10-02,10.85,10.9,10.7,10.8,105000,SKG
2025-10-03,10.75,10.85,10.6,10.6,269700,SKG
2025-10-06,10.7,10.95,10.7,10.85,72400,SKG
2025-10-07,10.85,10.85,10.7,10.8,72800,SKG
2025-10-08,10.9,10.9,10.75,10.85,58000,SKG
2025-10-09,10.75,10.9,10.7,10.85,35100,SKG
2025-10-10,10.85,10.9,10.75,10.85,98400,SKG
2025-10-13,10.75,10.8,10.75,10.8,50300,SKG
2025-10-14,10.7,10.85,10.55,10.6,251900,SKG
2025-10-15,10.6,10.6,10.45,10.6,79200,SKG
