time,open,high,low,close,volume,symbol
2025-02-10,37.4,38.85,37.2,38.45,21128100,STB
2025-02-11,38.4,38.7,38.15,38.5,5513100,STB
2025-02-12,38.5,38.85,38.3,38.65,8553900,STB
2025-02-13,38.5,38.8,38.4,38.8,4741600,STB
2025-02-14,39.3,39.3,38.25,38.25,8007000,STB
2025-02-17,38.25,38.5,38.1,38.3,6088300,STB
2025-02-18,38.3,39.15,38.15,38.65,8042000,STB
2025-02-19,38.65,39.1,38.5,38.75,7478000,STB
2025-02-20,38.9,39.05,38.55,38.75,7041600,STB
2025-02-21,38.75,38.95,38.3,38.85,8170200,STB
2025-02-24,38.85,39.6,38.7,39.4,7261100,STB
2025-02-25,39.5,39.7,39.25,39.25,6148600,STB
2025-02-26,39.25,39.35,38.55,38.55,15149500,STB
2025-02-27,38.55,38.65,38.1,38.3,12864400,STB
2025-02-28,38.25,38.7,38.25,38.25,5601900,STB
2025-03-03,38.35,38.85,38.35,38.85,5444600,STB
2025-03-04,38.65,39.4,38.5,39.2,9150800,STB
2025-03-05,39.3,39.7,38.8,38.8,9606400,STB
2025-03-06,38.85,39.55,38.75,39.5,7514100,STB
2025-03-07,39.65,39.9,39.4,39.75,11663800,STB
2025-03-10,40.0,40.3,39.2,40.0,15036900,STB
2025-03-11,39.4,39.9,39.4,39.9,5687100,STB
2025-03-12,40.0,40.05,39.3,39.75,10908500,STB
2025-03-13,39.65,39.7,38.95,39.0,16107200,STB
2025-03-14,38.8,39.05,38.35,38.85,12595200,STB
2025-03-17,39.0,39.2,38.5,38.85,5677600,STB
2025-03-18,38.95,39.1,38.4,38.4,6627800,STB
2025-03-19,38.4,38.6,37.9,38.4,12163700,STB
2025-03-20,38.4,39.0,38.1,38.9,8974900,STB
2025-03-21,38.95,39.0,38.35,38.65,6529400,STB
2025-03-24,38.7,38.7,37.9,38.6,9208700,STB
2025-03-25,38.75,38.8,38.35,38.65,5559800,STB
2025-03-26,38.65,39.2,38.45,38.6,10412200,STB
2025-03-27,38.4,38.6,38.15,38.25,5286900,STB
2025-03-28,38.25,38.7,37.95,38.25,6500900,STB
2025-03-31,38.0,38.75,37.95,38.3,7858700,STB
2025-04-01,38.65,39.7,38.3,39.7,12024400,STB
2025-04-02,39.65,39.75,39.25,39.25,8155200,STB
2025-04-03,38.1,38.5,36.55,36.55,90990400,STB
2025-04-04,34.1,37.5,34.1,37.4,38581000,STB
2025-04-08,36.0,36.9,34.8,34.8,50377200,STB
2025-04-09,33.0,36.0,32.4,33.1,30887500,STB
2025-04-10,35.4,35.4,35.4,35.4,231100,STB
2025-04-11,35.4,37.85,35.4,37.85,45803600,STB
2025-04-14,37.95,38.5,37.55,37.8,12950500,STB
2025-04-15,37.45,38.45,37.1,38.45,16839800,STB
2025-04-16,38.6,38.85,38.05,38.15,9915900,STB
2025-04-17,38.0,38.5,37.95,38.3,12994500,STB
2025-04-18,38.6,39.15,38.5,38.55,14439400,STB
2025-04-21,38.55,41.2,37.85,40.45,34146600,STB
2025-04-22,40.45,40.65,37.65,40.65,32019500,STB
2025-04-23,41.05,41.2,40.15,40.2,13621800,STB
2025-04-24,40.2,40.45,39.5,40.2,13836900,STB
2025-04-25,40.2,40.5,39.15,39.15,23650700,STB
2025-04-28,39.25,39.3,38.75,39.25,9043800,STB
2025-04-29,39.2,39.4,38.9,39.1,4551800,STB
2025-05-05,39.2,39.65,38.95,39.5,5168992,STB
2025-05-06,39.4,39.7,38.85,38.85,8137000,STB
2025-05-07,38.95,39.15,38.55,38.85,9006808,STB
2025-05-08,38.85,39.6,38.75,39.5,9551700,STB
2025-05-09,39.4,40.15,39.3,39.75,15287300,STB
2025-05-12,39.8,40.05,39.75,40.0,17748531,STB
2025-05-13,40.35,40.4,39.6,40.1,13378200,STB
2025-05-14,40.2,40.3,39.7,40.0,11857000,STB
2025-05-15,40.2,41.1,40.05,40.7,18297100,STB
2025-05-16,40.7,40.75,39.8,39.8,8322100,STB
2025-05-19,39.5,39.65,38.95,39.0,15035800,STB
2025-05-20,39.0,39.65,39.0,39.5,10361100,STB
2025-05-21,39.5,42.25,39.5,41.8,39103400,STB
2025-05-22,41.75,42.0,41.0,41.1,9149500,STB
2025-05-23,41.1,41.8,40.8,41.8,10650200,STB
2025-05-26,41.5,41.75,40.3,41.55,10359000,STB
2025-05-27,41.55,42.1,41.1,41.5,8067700,STB
2025-05-28,41.7,41.7,41.05,41.05,7824600,STB
2025-05-29,41.15,41.4,40.75,41.3,7364400,STB
2025-05-30,41.35,41.35,40.55,40.7,8819800,STB
2025-06-02,40.7,42.2,40.5,41.8,11981200,STB
2025-06-03,41.9,42.0,41.55,41.6,5967100,STB
2025-06-04,41.7,41.75,41.0,41.0,7724000,STB
2025-06-05,41.0,41.9,41.0,41.35,10652000,STB
2025-06-06,41.3,42.45,41.1,41.75,15985000,STB
2025-06-09,41.95,42.2,41.6,41.95,7225300,STB
2025-06-10,42.1,44.0,42.0,42.9,15151600,STB
2025-06-11,43.15,43.3,42.6,42.85,6729600,STB
2025-06-12,43.2,45.75,43.2,45.0,20238200,STB
2025-06-13,44.7,45.2,44.25,44.9,13819300,STB
2025-06-16,44.6,45.5,44.55,45.5,8042500,STB
2025-06-17,45.55,46.4,45.5,46.0,8798900,STB
2025-06-18,46.0,47.8,45.7,47.2,12882100,STB
2025-06-19,47.2,47.45,46.7,47.15,8489700,STB
2025-06-20,47.3,47.5,46.15,46.6,10921500,STB
2025-06-23,46.25,47.2,46.15,46.45,6599000,STB
2025-06-24,46.85,47.2,46.15,46.5,10511600,STB
2025-06-25,46.5,47.35,46.45,46.8,6595600,STB
2025-06-26,47.0,47.2,46.2,46.8,9650400,STB
2025-06-27,47.05,47.1,46.35,46.35,5470600,STB
2025-06-30,46.6,47.05,46.35,46.7,6020920,STB
2025-07-01,46.8,46.95,46.45,46.95,6104200,STB
2025-07-02,47.3,48.1,47.0,47.55,9449300,STB
2025-07-03,47.4,47.7,46.4,46.65,14989200,STB
2025-07-04,46.7,47.2,46.2,47.05,9440800,STB
2025-07-07,47.1,48.5,47.1,47.55,8252600,STB
2025-07-08,47.7,48.05,47.2,47.65,6020400,STB
2025-07-09,48.0,48.1,47.35,47.8,9776500,STB
2025-07-10,47.9,47.9,47.25,47.65,8376100,STB
2025-07-11,47.8,48.5,47.35,47.65,10780900,STB
2025-07-14,47.75,48.1,47.2,47.95,8661400,STB
2025-07-15,48.2,49.2,47.7,47.7,9831600,STB
2025-07-16,47.8,48.15,47.25,47.8,9529800,STB
2025-07-17,48.05,48.4,47.6,47.7,9050500,STB
2025-07-18,48.0,50.5,47.4,50.2,26073200,STB
2025-07-21,50.7,50.8,49.15,49.5,10525200,STB
2025-07-22,49.2,49.5,48.7,49.5,9543900,STB
2025-07-23,49.7,49.7,48.5,48.7,15205900,STB
2025-07-24,48.8,49.5,48.5,49.0,10168300,STB
2025-07-25,49.45,49.5,48.8,48.8,7947800,STB
2025-07-28,48.8,49.3,48.35,49.1,15097200,STB
