time,open,high,low,close,volume,symbol
2025-02-10,29.18,29.27,28.636,28.998,7100,SWC
2025-02-11,29.452,29.452,28.545,28.998,5300,SWC
2025-02-12,28.636,28.998,28.636,28.817,1510,SWC
2025-02-13,28.727,28.727,27.186,28.183,6902,SWC
2025-02-14,27.82,28.092,27.548,27.639,12118,SWC
2025-02-17,28.545,28.545,28.092,28.273,44100,SWC
2025-02-18,28.545,29.18,28.545,29.089,36299,SWC
2025-02-19,29.089,29.361,28.908,29.27,21721,SWC
2025-02-20,29.361,29.452,28.908,28.908,12803,SWC
2025-02-21,29.18,29.18,28.908,29.18,3200,SWC
2025-02-24,28.908,29.089,28.908,28.908,16800,SWC
2025-02-25,28.998,28.998,28.908,28.998,10040,SWC
2025-02-26,28.727,28.727,28.545,28.545,3104,SWC
2025-02-27,28.183,28.998,28.183,28.998,6500,SWC
2025-02-28,28.545,28.727,28.545,28.636,8600,SWC
2025-03-03,29.089,29.089,28.636,28.817,8100,SWC
2025-03-04,28.998,28.998,28.817,28.817,28600,SWC
2025-03-05,28.908,29.089,28.908,29.089,18400,SWC
2025-03-06,29.27,30.811,29.27,30.72,30630,SWC
2025-03-07,30.811,30.811,30.358,30.358,6160,SWC
2025-03-10,29.18,30.448,29.089,29.089,15679,SWC
2025-03-11,29.089,29.18,29.089,29.18,5900,SWC
2025-03-12,29.089,29.089,28.727,28.908,11700,SWC
2025-03-13,28.998,28.998,28.817,28.817,16100,SWC
2025-03-14,28.908,28.908,28.727,28.727,24100,SWC
2025-03-17,28.817,28.908,28.817,28.817,5900,SWC
2025-03-18,28.998,29.905,28.908,29.905,16515,SWC
2025-03-19,29.905,29.905,28.998,29.905,15200,SWC
2025-03-20,29.361,29.361,29.361,29.361,201,SWC
2025-03-21,29.361,29.452,29.361,29.361,1500,SWC
2025-03-24,29.361,29.361,29.361,29.361,14000,SWC
2025-03-25,29.361,29.905,29.361,29.633,31000,SWC
2025-03-26,29.814,29.905,29.633,29.814,15400,SWC
2025-03-27,29.905,33.529,29.905,32.351,104415,SWC
2025-03-28,32.17,32.17,31.355,32.17,13728,SWC
2025-03-31,31.717,31.717,30.63,30.811,7703,SWC
2025-04-01,30.811,30.811,30.811,30.811,2100,SWC
