time,open,high,low,close,volume,symbol
2025-02-10,37.774,37.774,37.681,37.681,2603,SZB
2025-02-11,38.052,38.609,37.866,38.052,3700,SZB
2025-02-12,38.516,38.516,37.774,38.052,5000,SZB
2025-02-13,38.052,38.052,37.774,37.959,5500,SZB
2025-02-14,38.052,38.145,37.959,37.959,6705,SZB
2025-02-17,38.052,38.516,38.052,38.238,22800,SZB
2025-02-18,38.331,38.331,37.866,37.866,30400,SZB
2025-02-19,38.238,38.609,38.238,38.516,14100,SZB
2025-02-20,38.702,38.795,38.609,38.609,28502,SZB
2025-02-21,38.609,38.702,38.238,38.702,2700,SZB
2025-02-24,38.702,38.702,38.238,38.609,5300,SZB
2025-02-25,39.073,39.073,38.052,38.702,53500,SZB
2025-02-26,38.702,38.887,38.609,38.702,44400,SZB
2025-02-27,38.516,38.702,38.516,38.609,14200,SZB
2025-02-28,38.702,38.702,38.238,38.702,25400,SZB
2025-03-03,38.331,38.702,38.238,38.702,6201,SZB
2025-03-04,38.702,38.702,38.423,38.423,6300,SZB
2025-03-05,38.702,38.795,38.331,38.331,15901,SZB
2025-03-06,38.423,38.423,38.145,38.238,12400,SZB
2025-03-07,38.145,38.331,38.145,38.238,6500,SZB
2025-03-10,38.238,38.609,38.145,38.331,6100,SZB
2025-03-11,38.331,38.609,38.145,38.331,9700,SZB
2025-03-12,38.331,38.331,38.331,38.331,9700,SZB
2025-03-13,38.331,38.331,37.959,37.959,5404,SZB
2025-03-14,37.959,38.887,37.124,37.31,12000,SZB
2025-03-17,37.959,37.959,37.31,37.588,4800,SZB
2025-03-18,38.052,38.052,37.495,37.681,5300,SZB
2025-03-19,37.866,37.866,37.31,37.402,11100,SZB
2025-03-20,37.588,37.588,37.588,37.588,1000,SZB
2025-03-21,37.959,38.145,37.774,37.959,7400,SZB
2025-03-24,37.959,37.959,37.681,37.681,16600,SZB
2025-03-25,37.959,38.145,37.774,37.774,20800,SZB
2025-03-26,37.866,37.866,37.774,37.774,9800,SZB
2025-03-27,37.588,37.866,37.588,37.774,15000,SZB
2025-03-28,38.052,38.052,37.866,38.052,1900,SZB
2025-03-31,38.238,38.238,37.774,37.774,10300,SZB
2025-04-01,37.866,38.052,37.774,37.774,2200,SZB
2025-04-02,37.774,37.866,37.681,37.866,7100,SZB
2025-04-03,37.681,37.681,34.897,34.897,25300,SZB
2025-04-04,34.34,34.34,31.555,34.34,37210,SZB
2025-04-08,34.34,34.804,33.226,33.226,19100,SZB
2025-04-09,33.133,33.133,32.019,32.484,39000,SZB
2025-04-10,35.732,35.732,35.732,35.732,2515,SZB
2025-04-11,35.732,35.732,34.34,35.268,17902,SZB
2025-04-14,35.268,36.196,35.268,35.268,4400,SZB
2025-04-15,33.412,34.34,33.412,34.34,800,SZB
2025-04-16,34.433,34.433,34.34,34.34,1809,SZB
2025-04-17,34.34,36.567,34.34,36.567,2602,SZB
2025-04-18,36.567,36.66,34.804,36.66,12500,SZB
2025-04-21,36.66,36.66,36.66,36.66,105,SZB
2025-04-22,36.66,36.66,33.319,36.289,1300,SZB
2025-04-23,36.846,36.846,35.268,36.196,3400,SZB
2025-04-24,35.546,36.289,35.546,36.196,1501,SZB
2025-04-25,36.66,36.66,36.66,36.66,100,SZB
2025-04-28,37.031,37.031,37.031,37.031,300,SZB
2025-04-29,37.031,37.031,37.031,37.031,0,SZB
2025-05-05,37.124,37.124,36.938,36.938,400,SZB
2025-05-06,36.196,36.753,36.103,36.753,800,SZB
2025-05-07,36.753,36.753,35.361,36.66,11400,SZB
2025-05-08,36.66,36.66,35.268,36.196,9900,SZB
2025-05-09,35.732,36.103,35.361,36.103,900,SZB
2025-05-12,35.825,36.196,35.732,35.825,2600,SZB
2025-05-13,36.196,36.196,36.103,36.103,301,SZB
2025-05-14,35.825,35.917,35.825,35.917,1900,SZB
2025-05-15,35.453,35.453,35.453,35.453,201,SZB
2025-05-16,35.825,35.825,35.825,35.825,200,SZB
2025-05-19,35.825,35.825,35.639,35.825,2800,SZB
2025-05-20,35.917,35.917,35.825,35.825,3300,SZB
2025-05-21,35.917,36.103,35.732,35.732,6100,SZB
2025-05-22,35.917,35.917,35.732,35.917,4800,SZB
2025-05-23,35.917,36.01,35.917,36.01,700,SZB
2025-05-26,36.01,37.124,36.01,37.124,3800,SZB
2025-05-27,35.732,35.732,35.732,35.732,200,SZB
2025-05-28,35.825,36.196,35.825,36.196,1600,SZB
2025-05-29,36.289,36.382,36.289,36.289,3900,SZB
2025-05-30,36.474,36.567,36.474,36.474,2600,SZB
2025-06-02,36.474,36.474,36.474,36.474,0,SZB
2025-06-03,37.031,37.031,36.567,36.66,5100,SZB
2025-06-04,36.66,36.66,36.66,36.66,7915,SZB
2025-06-05,36.66,36.66,36.66,36.66,501,SZB
2025-06-06,36.66,36.66,36.66,36.66,0,SZB
2025-06-09,36.66,36.66,36.66,36.66,0,SZB
2025-06-10,36.66,36.66,36.66,36.66,500,SZB
2025-06-11,38.423,38.423,38.423,38.423,100,SZB
2025-06-12,37.031,37.031,37.031,37.031,500,SZB
2025-06-13,37.031,37.031,37.031,37.031,0,SZB
2025-06-16,37.031,37.031,37.031,37.031,0,SZB
2025-06-17,36.289,37.124,36.289,36.66,5500,SZB
2025-06-18,36.66,36.66,36.66,36.66,0,SZB
2025-06-19,36.66,36.66,36.66,36.66,0,SZB
2025-06-20,37.495,37.495,37.495,37.495,100,SZB
2025-06-23,37.495,37.495,37.495,37.495,0,SZB
2025-06-24,38.052,38.052,36.567,36.567,300,SZB
2025-06-25,37.866,37.866,37.866,37.866,100,SZB
2025-06-26,37.866,37.866,37.866,37.866,0,SZB
2025-06-27,38.052,38.052,37.588,37.588,4300,SZB
2025-06-30,37.588,37.774,37.588,37.681,5810,SZB
2025-07-01,38.331,38.331,36.846,37.774,1502,SZB
2025-07-02,37.774,38.516,37.588,38.238,16100,SZB
2025-07-03,38.238,38.423,37.124,38.331,16200,SZB
2025-07-04,38.516,39.166,38.331,38.331,52625,SZB
2025-07-07,38.702,39.166,38.423,38.609,44651,SZB
2025-07-08,38.98,39.073,38.609,38.702,27012,SZB
2025-07-09,38.887,38.887,38.795,38.795,9229,SZB
2025-07-10,38.98,39.073,38.609,38.609,22010,SZB
2025-07-11,38.702,38.887,38.609,38.609,29708,SZB
2025-07-14,38.702,38.887,38.609,38.795,28900,SZB
2025-07-15,38.795,38.887,38.609,38.609,39359,SZB
2025-07-16,38.702,38.702,38.516,38.609,42800,SZB
2025-07-17,38.795,38.795,38.516,38.609,31701,SZB
2025-07-18,38.609,38.795,38.516,38.702,66514,SZB
2025-07-21,40.0,41.5,34.9,37.9,51411,SZB
2025-07-22,37.9,37.9,37.2,37.3,21020,SZB
