time,open,high,low,close,volume,symbol
2025-02-10,41.5,42.18,41.306,41.549,1657800,SZC
2025-02-11,41.889,42.764,41.452,42.764,2527200,SZC
2025-02-12,43.25,44.221,42.375,42.375,4248800,SZC
2025-02-13,42.375,42.521,41.646,42.326,2391700,SZC
2025-02-14,42.375,43.055,41.646,41.646,4293500,SZC
2025-02-17,41.743,42.083,41.452,41.549,2608500,SZC
2025-02-18,41.452,41.889,41.452,41.792,1014700,SZC
2025-02-19,41.889,43.736,41.792,43.25,4884200,SZC
2025-02-20,43.25,43.395,42.715,42.764,1649400,SZC
2025-02-21,42.764,43.493,42.278,42.715,1724000,SZC
2025-02-24,42.861,43.25,42.132,43.25,2348100,SZC
2025-02-25,43.541,44.221,42.812,43.347,2277700,SZC
2025-02-26,43.395,45.874,43.395,44.513,6751700,SZC
2025-02-27,44.464,44.902,43.881,44.902,1702300,SZC
2025-02-28,44.805,44.805,44.221,44.319,1555300,SZC
2025-03-03,44.464,44.853,43.93,44.659,1388700,SZC
2025-03-04,44.707,45.339,43.736,44.61,2272100,SZC
2025-03-05,44.61,44.805,43.395,43.395,1801100,SZC
2025-03-06,43.736,44.464,43.298,44.464,2042200,SZC
2025-03-07,44.61,44.902,43.833,43.833,2063100,SZC
2025-03-10,43.93,44.902,43.541,44.027,2994600,SZC
2025-03-11,43.736,44.805,43.59,44.416,1853800,SZC
2025-03-12,44.562,44.853,43.93,44.659,1935500,SZC
2025-03-13,44.659,45.485,43.395,43.541,4907300,SZC
2025-03-14,43.541,43.833,42.375,43.541,2835500,SZC
2025-03-17,43.736,43.833,42.764,43.298,1617200,SZC
2025-03-18,43.833,44.124,43.055,43.055,1499800,SZC
2025-03-19,43.152,43.638,42.472,42.764,1837400,SZC
2025-03-20,43.055,43.055,42.423,43.007,1133600,SZC
2025-03-21,43.055,43.152,42.764,42.958,844200,SZC
2025-03-24,42.764,43.055,42.472,42.909,1323300,SZC
2025-03-25,43.152,43.444,43.007,43.152,1810200,SZC
2025-03-26,43.298,43.493,42.569,42.861,1362300,SZC
2025-03-27,42.618,43.055,42.521,42.521,939400,SZC
2025-03-28,42.618,42.618,40.674,40.674,4594900,SZC
2025-03-31,40.139,40.771,39.945,40.334,1513000,SZC
2025-04-01,40.625,40.723,40.091,40.285,759400,SZC
2025-04-02,40.48,41.063,40.334,40.625,1021800,SZC
2025-04-03,37.807,38.196,37.807,37.807,1575500,SZC
2025-04-04,35.183,35.183,35.183,35.183,362500,SZC
