time,open,high,low,close,volume,symbol
2025-02-10,9.18,9.22,9.1,9.18,42500,TCI
2025-02-11,9.18,9.8,9.18,9.77,646100,TCI
2025-02-12,10.4,10.45,9.9,10.05,791600,TCI
2025-02-13,10.1,10.35,9.95,10.0,323600,TCI
2025-02-14,10.0,10.05,9.91,9.91,215700,TCI
2025-02-17,10.4,10.5,10.0,10.3,539900,TCI
2025-02-18,10.3,10.7,10.0,10.3,444100,TCI
2025-02-19,10.3,10.6,10.05,10.15,346300,TCI
2025-02-20,10.5,10.5,10.0,10.0,370300,TCI
2025-02-21,10.0,10.35,9.96,9.96,324800,TCI
2025-02-24,9.96,10.15,9.96,9.96,267400,TCI
2025-02-25,9.98,10.1,9.96,9.98,171300,TCI
2025-02-26,10.0,10.0,9.8,9.98,151400,TCI
2025-02-27,9.97,9.98,9.75,9.76,331600,TCI
2025-02-28,9.78,9.87,9.76,9.81,272900,TCI
2025-03-03,9.81,10.0,9.74,9.86,459600,TCI
2025-03-04,9.86,9.96,9.77,9.96,228400,TCI
2025-03-05,9.98,9.98,9.4,9.7,727400,TCI
2025-03-06,9.5,9.67,9.28,9.45,615700,TCI
2025-03-07,9.55,9.59,9.41,9.45,288300,TCI
2025-03-10,9.45,9.61,9.43,9.46,334400,TCI
2025-03-11,9.42,9.56,9.41,9.47,119600,TCI
2025-03-12,9.47,9.6,9.47,9.55,282600,TCI
2025-03-13,9.6,9.6,9.0,9.35,230600,TCI
2025-03-14,9.35,9.4,9.17,9.17,199000,TCI
2025-03-17,9.19,9.34,9.17,9.34,83800,TCI
2025-03-18,9.34,9.34,9.1,9.1,121700,TCI
2025-03-19,9.1,9.1,8.96,8.96,250300,TCI
2025-03-20,8.97,9.0,8.88,8.96,171400,TCI
2025-03-21,8.96,8.96,8.9,8.9,45200,TCI
2025-03-24,8.9,8.9,8.73,8.8,205000,TCI
2025-03-25,8.79,8.88,8.74,8.88,84100,TCI
2025-03-26,8.88,8.9,8.82,8.88,63800,TCI
2025-03-27,8.88,8.88,8.77,8.79,51300,TCI
2025-03-28,8.8,8.8,8.77,8.79,21400,TCI
2025-03-31,8.79,8.8,8.68,8.78,112200,TCI
2025-04-01,8.79,8.79,8.7,8.79,113400,TCI
2025-04-02,8.79,8.8,8.71,8.72,75800,TCI
2025-04-03,8.56,8.6,8.11,8.11,370300,TCI
2025-04-04,7.55,8.65,7.55,8.65,709700,TCI
2025-04-08,8.1,8.58,8.05,8.05,144500,TCI
2025-04-09,7.49,7.6,7.49,7.49,229300,TCI
2025-04-10,8.01,8.01,8.01,8.01,327000,TCI
2025-04-11,7.83,8.08,7.83,8.07,226600,TCI
2025-04-14,7.51,8.19,7.51,7.91,101700,TCI
2025-04-15,8.05,8.05,7.8,7.93,64900,TCI
2025-04-16,7.93,7.93,7.75,7.93,57100,TCI
2025-04-17,7.92,7.93,7.84,7.93,73200,TCI
2025-04-18,7.95,8.3,7.95,8.12,275200,TCI
2025-04-21,8.19,8.3,8.05,8.24,123000,TCI
2025-04-22,8.19,8.2,7.67,7.8,229600,TCI
2025-04-23,8.18,8.18,7.94,7.97,54300,TCI
2025-04-24,8.03,8.07,7.94,7.98,56600,TCI
2025-04-25,7.99,8.05,7.98,8.05,102800,TCI
2025-04-28,8.05,8.12,8.0,8.06,92200,TCI
2025-04-29,8.06,8.17,8.06,8.08,71400,TCI
2025-05-05,8.35,8.36,8.06,8.1,56725,TCI
2025-05-06,8.09,8.19,8.06,8.1,57200,TCI
2025-05-07,8.03,8.09,8.02,8.02,116022,TCI
2025-05-08,8.03,8.08,8.01,8.05,53351,TCI
2025-05-09,8.07,8.08,8.04,8.05,93600,TCI
2025-05-12,8.05,8.06,8.0,8.05,82535,TCI
2025-05-13,8.1,8.2,8.1,8.11,154600,TCI
2025-05-14,8.11,8.16,8.08,8.14,123200,TCI
2025-05-15,8.15,8.27,8.12,8.27,259600,TCI
2025-05-16,8.29,8.46,8.29,8.41,306100,TCI
2025-05-19,8.4,8.41,8.25,8.38,109800,TCI
2025-05-20,8.41,8.47,8.3,8.33,266400,TCI
2025-05-21,8.33,8.4,8.25,8.26,91900,TCI
2025-05-22,8.3,8.35,8.24,8.26,156200,TCI
2025-05-23,8.26,8.26,8.2,8.2,86500,TCI
2025-05-26,8.16,8.5,8.16,8.45,177400,TCI
2025-05-27,8.48,8.51,8.45,8.46,156000,TCI
2025-05-28,8.47,8.55,8.41,8.41,204300,TCI
2025-05-29,8.41,8.49,8.39,8.39,79900,TCI
2025-05-30,8.4,8.5,8.34,8.35,171600,TCI
2025-06-02,8.49,8.49,8.36,8.44,17900,TCI
2025-06-03,8.55,8.65,8.48,8.57,279300,TCI
2025-06-04,8.56,8.56,8.47,8.47,178400,TCI
2025-06-05,8.42,8.5,8.42,8.47,80600,TCI
2025-06-06,8.47,8.47,8.41,8.42,82000,TCI
2025-06-09,8.4,8.4,8.29,8.3,115300,TCI
2025-06-10,8.13,8.43,8.13,8.3,45900,TCI
2025-06-11,8.3,8.31,8.17,8.29,44200,TCI
2025-06-12,8.23,8.54,8.23,8.29,73400,TCI
2025-06-13,8.29,8.29,8.11,8.16,158400,TCI
2025-06-16,8.3,8.3,8.17,8.25,99700,TCI
2025-06-17,8.25,8.29,8.24,8.25,43700,TCI
2025-06-18,8.17,8.25,8.17,8.22,48300,TCI
2025-06-19,8.15,8.2,8.01,8.15,145000,TCI
2025-06-20,8.19,8.2,8.11,8.12,48400,TCI
2025-06-23,7.92,8.12,7.92,8.11,111300,TCI
2025-06-24,8.14,8.2,8.1,8.15,168900,TCI
2025-06-25,8.1,8.16,8.1,8.15,7000,TCI
2025-06-26,8.18,8.18,8.02,8.05,88229,TCI
2025-06-27,8.1,8.1,8.04,8.05,78200,TCI
2025-06-30,8.18,8.18,8.06,8.11,141029,TCI
2025-07-01,8.11,8.12,8.01,8.1,94200,TCI
2025-07-02,8.03,8.37,8.0,8.14,620300,TCI
2025-07-03,8.15,8.29,8.11,8.17,276700,TCI
2025-07-04,8.17,8.19,8.1,8.17,120700,TCI
2025-07-07,8.2,8.52,8.16,8.4,852500,TCI
2025-07-08,8.4,8.53,8.4,8.42,226500,TCI
