time,open,high,low,close,volume,symbol
2025-02-10,38.063,39.886,37.174,37.408,524300,TCL
2025-02-11,37.455,38.25,36.145,36.894,583100,TCL
2025-02-12,37.408,38.296,36.473,37.314,385900,TCL
2025-02-13,37.689,39.886,36.94,38.624,645700,TCL
2025-02-14,39.045,39.138,38.483,38.998,245000,TCL
2025-02-17,38.998,39.232,37.408,37.876,429000,TCL
2025-02-18,37.876,39.512,37.502,39.185,323900,TCL
2025-02-19,39.419,41.85,39.419,40.401,600600,TCL
2025-02-20,40.027,40.681,39.84,39.84,202900,TCL
2025-02-21,39.84,40.775,38.951,39.512,396100,TCL
2025-02-24,38.904,39.465,38.624,38.671,197900,TCL
2025-02-25,38.53,39.465,37.595,39.465,604500,TCL
2025-02-26,39.933,39.933,38.858,38.858,280400,TCL
2025-02-27,38.53,38.811,38.156,38.25,236500,TCL
2025-02-28,38.063,39.699,38.063,38.904,256000,TCL
2025-03-03,38.998,39.98,38.811,39.465,263800,TCL
2025-03-04,39.746,39.84,38.998,39.372,197400,TCL
2025-03-05,39.606,40.214,39.185,39.278,111100,TCL
2025-03-06,39.559,39.699,39.091,39.699,123000,TCL
2025-03-07,40.073,40.073,38.998,39.372,195300,TCL
2025-03-10,39.278,39.419,39.045,39.325,136900,TCL
2025-03-11,38.811,42.037,38.811,41.99,578000,TCL
2025-03-12,41.99,42.037,40.588,41.99,129200,TCL
2025-03-13,41.757,41.99,40.027,40.073,142700,TCL
2025-03-14,40.073,40.167,38.998,38.998,327500,TCL
2025-03-17,39.138,39.278,38.437,39.278,198300,TCL
2025-03-18,39.045,39.325,38.904,38.998,90700,TCL
2025-03-19,38.998,39.652,38.717,39.045,83100,TCL
2025-03-20,39.045,39.886,38.998,39.652,113400,TCL
2025-03-21,39.278,39.699,39.045,39.699,64500,TCL
2025-03-24,39.699,39.746,38.063,38.437,220200,TCL
2025-03-25,38.437,39.138,38.156,38.437,105900,TCL
2025-03-26,38.437,39.652,38.437,39.091,172800,TCL
2025-03-27,38.53,40.307,38.343,39.278,184400,TCL
2025-03-28,39.325,39.746,38.858,38.904,42600,TCL
2025-03-31,38.904,38.998,38.203,38.343,158200,TCL
2025-04-01,38.343,38.764,38.343,38.671,42300,TCL
2025-04-02,38.717,39.185,38.343,38.998,113600,TCL
2025-04-03,36.286,36.94,36.286,36.286,282900,TCL
2025-04-04,33.761,36.286,33.761,36.286,427400,TCL
2025-04-08,33.761,33.761,33.761,33.761,158700,TCL
2025-04-09,31.423,32.545,31.423,31.423,393900,TCL
2025-04-10,33.62,33.62,33.574,33.62,344800,TCL
2025-04-11,33.667,33.667,32.218,32.779,308500,TCL
2025-04-14,33.293,33.714,33.013,33.667,364100,TCL
2025-04-15,33.574,33.761,32.919,33.574,353400,TCL
2025-04-16,34.415,34.415,33.574,33.761,133100,TCL
2025-04-17,33.761,33.854,33.2,33.48,131900,TCL
2025-04-18,34.041,34.369,33.667,34.135,179200,TCL
2025-04-21,35.0,35.0,33.8,33.9,184000,TCL
2025-04-22,33.8,33.8,31.55,32.4,377200,TCL
2025-04-23,33.0,33.05,32.0,32.35,137700,TCL
2025-04-24,32.3,32.75,31.9,32.65,123300,TCL
2025-04-25,32.65,32.65,31.95,32.0,109100,TCL
2025-04-28,32.0,32.55,32.0,32.2,114200,TCL
2025-04-29,32.2,33.0,31.9,32.4,140100,TCL
2025-05-05,32.4,32.5,32.2,32.5,65165,TCL
2025-05-06,32.6,33.2,32.6,32.6,95300,TCL
2025-05-07,32.6,33.2,32.6,32.8,135219,TCL
2025-05-08,32.85,33.6,32.8,33.4,106789,TCL
2025-05-09,33.65,33.65,32.9,33.0,112200,TCL
2025-05-12,33.3,33.3,32.0,33.0,134984,TCL
2025-05-13,33.05,33.5,33.0,33.35,107800,TCL
2025-05-14,33.4,34.1,33.4,34.0,138600,TCL
2025-05-15,34.0,34.25,33.5,33.85,123900,TCL
2025-05-16,33.85,34.75,33.85,34.1,184000,TCL
2025-05-19,34.0,34.2,33.45,33.75,77400,TCL
2025-05-20,33.8,34.05,33.45,33.7,77200,TCL
2025-05-21,33.8,33.8,33.2,33.4,65700,TCL
2025-05-22,33.2,33.45,33.2,33.4,66000,TCL
2025-05-23,33.8,33.8,33.3,33.4,63400,TCL
2025-05-26,33.5,33.7,33.0,33.6,165800,TCL
2025-05-27,33.65,35.2,33.65,34.5,258500,TCL
2025-05-28,35.2,35.2,34.05,34.1,156000,TCL
2025-05-29,34.5,34.5,33.7,33.95,75500,TCL
2025-05-30,33.95,34.0,33.6,33.6,82900,TCL
2025-06-02,33.55,33.6,33.0,33.4,79400,TCL
2025-06-03,33.55,34.0,33.45,34.0,64900,TCL
2025-06-04,33.95,33.95,33.55,33.75,82200,TCL
2025-06-05,33.75,34.1,33.6,33.8,101700,TCL
2025-06-06,33.8,33.8,33.25,33.4,100200,TCL
2025-06-09,33.35,33.55,33.2,33.3,75600,TCL
2025-06-10,33.25,33.7,33.2,33.25,46600,TCL
2025-06-11,33.3,33.45,33.25,33.45,69700,TCL
2025-06-12,33.5,33.5,33.25,33.45,23100,TCL
