time,open,high,low,close,volume,symbol
2025-02-10,53.576,53.576,50.653,52.601,800,TDM
2025-02-11,54.9,54.9,52.0,52.0,8100,TDM
2025-02-12,52.0,52.0,52.0,52.0,0,TDM
2025-02-13,52.0,52.0,52.0,52.0,0,TDM
2025-02-14,52.0,52.0,52.0,52.0,0,TDM
2025-02-17,52.0,52.0,50.8,51.9,136300,TDM
2025-02-18,51.9,53.9,51.9,53.0,6600,TDM
2025-02-19,53.0,53.0,52.8,52.8,1000,TDM
2025-02-20,54.9,54.9,54.6,54.6,600,TDM
2025-02-21,52.4,54.3,52.3,52.3,7200,TDM
2025-02-24,52.3,53.0,52.1,52.1,5400,TDM
2025-02-25,52.1,53.0,51.5,51.5,6700,TDM
2025-02-26,53.9,53.9,52.1,52.2,5800,TDM
2025-02-27,51.9,52.0,51.9,52.0,2500,TDM
2025-02-28,55.6,55.6,51.9,54.7,3600,TDM
2025-03-03,55.0,55.0,52.5,54.8,1700,TDM
2025-03-04,51.9,55.8,51.9,53.0,1800,TDM
2025-03-05,52.4,52.5,52.3,52.5,1900,TDM
2025-03-06,54.0,54.0,52.6,54.0,6200,TDM
2025-03-07,52.6,53.6,52.6,52.8,3600,TDM
2025-03-10,52.1,53.0,49.2,53.0,10200,TDM
2025-03-11,52.3,53.0,52.3,53.0,2200,TDM
2025-03-12,52.0,53.0,49.5,53.0,7500,TDM
2025-03-13,53.0,53.0,51.8,52.0,3000,TDM
2025-03-14,51.2,51.2,51.2,51.2,2000,TDM
2025-03-17,51.0,53.0,51.0,53.0,9800,TDM
2025-03-18,53.0,53.0,52.9,52.9,5200,TDM
2025-03-19,52.0,52.0,51.5,52.0,29700,TDM
2025-03-20,52.1,52.1,51.6,52.0,3400,TDM
2025-03-21,51.6,54.5,51.6,54.0,5200,TDM
2025-03-24,53.9,53.9,53.0,53.6,1500,TDM
2025-03-25,52.7,53.0,52.7,53.0,400,TDM
2025-03-26,53.0,53.0,53.0,53.0,700,TDM
2025-03-27,52.1,54.2,52.0,54.2,600,TDM
2025-03-28,54.0,54.0,51.0,53.0,13800,TDM
2025-03-31,52.5,54.0,52.0,54.0,11000,TDM
2025-04-01,52.1,53.9,52.0,53.9,13700,TDM
2025-04-02,54.0,54.0,54.0,54.0,2900,TDM
2025-04-03,52.1,53.0,50.5,53.0,123100,TDM
2025-04-04,55.2,55.2,51.1,54.0,18900,TDM
2025-04-08,53.0,54.0,52.8,53.0,6000,TDM
2025-04-09,53.7,55.0,53.5,53.5,33400,TDM
2025-04-10,54.0,55.0,54.0,54.5,86900,TDM
2025-04-11,54.5,54.5,54.5,54.5,600,TDM
2025-04-14,54.5,55.0,52.8,53.4,77400,TDM
2025-04-15,53.4,53.4,53.4,53.4,700,TDM
2025-04-16,53.2,53.2,53.2,53.2,1300,TDM
2025-04-17,53.2,53.2,51.9,53.0,140300,TDM
2025-04-18,53.0,53.0,52.0,53.0,15500,TDM
2025-04-21,53.3,53.7,53.0,53.7,43300,TDM
2025-04-22,53.3,53.3,52.1,53.0,206000,TDM
2025-04-23,53.0,53.0,52.6,52.8,158300,TDM
2025-04-24,52.4,52.5,52.4,52.5,300,TDM
2025-04-25,52.5,53.0,52.5,52.6,63600,TDM
2025-04-28,52.6,52.6,52.6,52.6,11000,TDM
2025-04-29,52.0,52.8,52.0,52.7,16200,TDM
2025-05-05,52.7,55.0,52.7,55.0,5401,TDM
2025-05-06,56.0,56.0,55.0,55.2,8200,TDM
2025-05-07,53.1,55.2,53.1,55.2,43708,TDM
2025-05-08,55.4,56.9,55.2,55.2,57906,TDM
2025-05-09,55.5,57.0,54.0,56.0,171000,TDM
2025-05-12,56.4,56.4,55.5,55.7,34222,TDM
2025-05-13,54.0,56.0,54.0,55.5,2900,TDM
2025-05-14,55.5,56.5,55.5,56.5,11400,TDM
