time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,36.4,36.4,35.3,35.8,7777,35.8,35.8,35.8,,0.0,0.0,0.0,,,,,THD
2025-02-11,36.0,36.0,36.0,36.0,400,35.9,35.9,35.9,,0.015954415954418266,0.0031908831908836533,0.012763532763534613,,,0.5586592178770999,,THD
2025-02-12,36.1,36.1,36.0,36.0,1081,35.93333333333333,35.93333333333333,35.93333333333333,,0.028272497788172757,0.008207206110341474,0.020065291677831283,,,0.0,,THD
2025-02-13,36.2,36.2,36.1,36.1,501,35.975,35.975,35.975,,0.04557843087400926,0.01568145106307503,0.029896979810934227,,,0.2777777777777768,,THD
2025-02-14,36.3,36.4,36.2,36.2,1808,36.019999999999996,36.019999999999996,36.019999999999996,,0.06659500601676882,0.02586416205381379,0.04073084396295503,,,0.27700831024930483,,THD
2025-02-17,36.4,36.4,36.1,36.2,2210,36.050000000000004,36.050000000000004,36.050000000000004,,0.08230206624523362,0.03715174289209776,0.04515032335313586,,,0.0,,THD
2025-02-18,36.3,36.3,36.1,36.1,1500,36.05714285714286,36.05714285714286,36.05714285714286,,0.08569304430177738,0.04686000317403369,0.03883304112774369,,,-0.2762430939226568,,THD
2025-02-19,36.3,36.3,36.1,36.1,202,36.0625,36.0625,36.0625,,0.08737323458195334,0.05496264945561762,0.03241058512633572,,,0.0,,THD
2025-02-20,36.3,36.3,36.1,36.1,1400,36.06666666666667,36.06666666666667,36.06666666666667,,0.08769391660110415,0.06150890288471493,0.02618501371638922,,,0.0,,THD
2025-02-21,36.0,36.0,36.0,36.0,200,36.06,36.06,36.06,,0.07896859434715253,0.06500084117720245,0.013967753169950081,,,-0.27700831024931594,,THD
2025-02-24,36.2,36.2,36.1,36.1,201,36.06363636363636,36.06363636363636,36.06363636363636,,0.07920979663425953,0.06784263226861387,0.011367164365645666,,,0.2777777777777768,,THD
2025-02-25,36.3,36.3,36.2,36.2,200,36.075,36.075,36.075,,0.08647330501721484,0.07156876681833406,0.014904538198880782,,,0.27700831024930483,,THD
2025-02-26,36.3,36.3,36.0,36.0,1232,36.06923076923077,36.06923076923077,36.06923076923077,,0.07522422121449068,0.07229985769756539,0.0029243635169252935,,,-0.5524861878453136,,THD
2025-02-27,36.2,36.2,36.1,36.1,218,36.07142857142857,36.07142857142857,36.07142857142857,58.33568461167011,0.0735307883637617,0.07254604383080465,0.0009847445329570492,,,0.2777777777777768,,THD
2025-02-28,36.3,36.3,36.2,36.2,300,36.080000000000005,36.080000000000005,36.080000000000005,63.46509900888118,0.0793432750093217,0.07390549006650807,0.005437784942813634,,,0.27700831024930483,,THD
2025-03-03,36.2,36.4,36.1,36.3,1600,36.09375,36.09375,36.09375,67.74196922579881,0.09097022864889936,0.07731843778298633,0.013651790865913033,,,0.2762430939226457,,THD
2025-03-04,36.1,36.1,36.0,36.0,1500,36.088235294117645,36.088235294117645,36.088235294117645,49.1524162354171,0.07511134356710158,0.07687701893980939,-0.0017656753727078034,,,-0.8264462809917328,,THD
2025-03-05,36.2,36.2,36.1,36.1,300,36.08888888888889,36.08888888888889,36.08888888888889,53.71216989374267,0.06980752940253865,0.07546312103235525,-0.005655591629816603,,,0.2777777777777768,,THD
2025-03-06,36.3,36.3,36.2,36.2,400,36.09473684210527,36.09473684210527,36.09473684210527,57.788647073231196,0.07283380002115081,0.07493725683011437,-0.0021034568089635663,,,0.27700831024930483,,THD
