time,open,high,low,close,volume,symbol
2025-02-10,12.8,12.8,12.4,12.7,1373801,TIG
2025-02-11,12.5,12.7,12.5,12.6,748801,TIG
2025-02-12,12.5,12.8,12.4,12.6,2026442,TIG
2025-02-13,12.5,12.6,12.2,12.4,1773282,TIG
2025-02-14,12.4,12.6,12.2,12.2,1077085,TIG
2025-02-17,12.3,12.3,12.0,12.0,1412146,TIG
2025-02-18,12.0,12.2,11.9,11.9,1188647,TIG
2025-02-19,11.9,12.0,11.6,12.0,2464106,TIG
2025-02-20,12.0,12.3,12.0,12.3,1300221,TIG
2025-02-21,12.3,12.3,11.9,12.0,1394786,TIG
2025-02-24,12.0,12.0,11.8,11.8,911115,TIG
2025-02-25,11.8,12.2,11.8,12.2,2403747,TIG
2025-02-26,12.0,12.5,12.0,12.2,2381069,TIG
2025-02-27,12.1,12.2,11.9,12.2,1326830,TIG
2025-02-28,12.2,12.3,11.9,12.0,1436523,TIG
2025-03-03,12.0,12.1,11.8,11.9,876337,TIG
2025-03-04,11.9,12.0,11.5,11.7,2254658,TIG
2025-03-05,11.7,11.7,11.4,11.4,1198147,TIG
2025-03-06,11.4,11.7,11.4,11.7,1833226,TIG
2025-03-07,11.6,11.7,11.5,11.7,1736042,TIG
2025-03-10,11.7,11.8,11.4,11.5,1267263,TIG
2025-03-11,11.5,11.6,11.3,11.6,1660964,TIG
2025-03-12,11.6,11.6,11.3,11.3,1043081,TIG
2025-03-13,11.4,11.4,11.1,11.3,1500896,TIG
2025-03-14,11.2,11.6,11.1,11.4,1614018,TIG
2025-03-17,10.3,11.5,10.3,11.3,619074,TIG
2025-03-18,11.3,11.4,11.2,11.2,497686,TIG
2025-03-19,11.1,11.3,11.1,11.1,473986,TIG
2025-03-20,11.1,11.5,10.9,11.5,3618346,TIG
2025-03-21,11.5,11.5,11.2,11.2,719552,TIG
2025-03-24,11.0,11.3,11.0,11.2,802460,TIG
2025-03-25,11.2,11.2,11.0,11.1,557410,TIG
2025-03-26,11.1,11.2,11.0,11.0,408944,TIG
2025-03-27,11.1,11.4,11.0,11.1,2061751,TIG
2025-03-28,11.1,11.4,11.1,11.4,3345976,TIG
2025-03-31,11.4,11.4,11.1,11.2,1706132,TIG
2025-04-01,11.1,11.2,10.9,11.1,885123,TIG
2025-04-02,11.1,11.2,10.9,11.0,1465104,TIG
2025-04-03,10.9,10.9,9.9,9.9,2013248,TIG
2025-04-04,9.0,9.5,9.0,9.0,2638599,TIG
2025-04-08,9.0,9.0,8.1,8.1,1468105,TIG
2025-04-09,7.3,7.3,7.3,7.3,560027,TIG
2025-04-10,6.6,8.0,6.6,8.0,6301037,TIG
2025-04-11,8.7,8.7,7.2,7.2,6949645,TIG
2025-04-14,6.7,7.6,6.7,7.4,5557606,TIG
2025-04-15,7.2,7.4,6.7,7.0,1978462,TIG
2025-04-16,6.8,7.2,6.6,6.7,2757969,TIG
2025-04-17,6.6,6.8,6.5,6.7,1131514,TIG
2025-04-18,6.7,7.0,6.7,6.8,1532171,TIG
2025-04-21,6.9,6.9,6.6,6.7,1172778,TIG
2025-04-22,6.6,6.7,6.1,6.1,4394760,TIG
2025-04-23,5.5,6.3,5.5,6.1,2352198,TIG
2025-04-24,6.1,6.3,6.1,6.3,1028640,TIG
2025-04-25,6.3,6.5,6.2,6.4,1278763,TIG
2025-04-28,6.3,6.5,6.3,6.3,753618,TIG
2025-04-29,6.3,6.4,6.2,6.2,632967,TIG
2025-05-05,6.4,6.5,6.3,6.4,654950,TIG
2025-05-06,6.5,6.7,6.4,6.5,934705,TIG
2025-05-07,6.5,6.5,6.3,6.4,573551,TIG
2025-05-08,6.4,6.7,6.4,6.6,873283,TIG
2025-05-09,6.6,6.8,6.6,6.7,810994,TIG
2025-05-12,6.8,7.3,7.3,7.3,1769755,TIG
2025-05-13,7.4,7.4,7.0,7.1,1297296,TIG
2025-05-14,7.2,7.2,6.9,7.1,1173058,TIG
2025-05-15,7.1,7.2,6.9,7.0,1073220,TIG
2025-05-16,7.0,7.3,6.9,7.2,1475816,TIG
2025-05-19,7.2,7.4,7.0,7.2,1286157,TIG
2025-05-20,7.2,7.3,7.0,7.0,985663,TIG
2025-05-21,7.0,7.1,6.7,6.8,1887935,TIG
2025-05-22,6.8,6.9,6.6,6.7,1350101,TIG
2025-05-23,6.7,6.7,6.5,6.5,1002274,TIG
2025-05-26,6.5,6.8,6.3,6.7,982033,TIG
2025-05-27,6.7,7.1,6.6,7.0,1640254,TIG
2025-05-28,7.0,7.2,6.9,7.0,1488919,TIG
2025-05-29,7.0,7.1,6.8,6.9,1327373,TIG
2025-05-30,7.0,7.1,6.9,7.0,1511337,TIG
2025-06-02,7.1,7.6,7.0,7.5,2801804,TIG
2025-06-03,7.5,7.7,7.3,7.4,1608416,TIG
2025-06-04,7.4,8.0,7.3,7.8,2823906,TIG
2025-06-05,7.8,8.1,7.6,7.7,2056133,TIG
2025-06-06,7.8,7.8,7.5,7.5,1292169,TIG
2025-06-09,7.6,7.6,7.2,7.2,1289438,TIG
2025-06-10,7.2,7.4,7.2,7.3,880577,TIG
2025-06-11,7.3,7.4,7.2,7.3,586281,TIG
2025-06-12,7.3,7.5,7.2,7.4,772289,TIG
2025-06-13,7.4,7.4,6.9,7.1,2362636,TIG
2025-06-16,7.1,7.3,7.0,7.3,788230,TIG
2025-06-17,7.3,7.4,7.2,7.2,783477,TIG
2025-06-18,7.2,7.4,7.1,7.2,1113384,TIG
2025-06-19,7.2,7.3,7.1,7.1,370723,TIG
2025-06-20,7.2,7.3,7.1,7.1,627717,TIG
2025-06-23,7.1,7.1,6.9,7.1,2032693,TIG
2025-06-24,7.1,7.2,7.0,7.1,990203,TIG
2025-06-25,7.1,7.2,7.0,7.1,887265,TIG
2025-06-26,7.1,7.2,6.9,7.0,490980,TIG
2025-06-27,7.1,7.2,7.0,7.0,514936,TIG
2025-06-30,7.1,7.1,7.0,7.1,628361,TIG
2025-07-01,7.1,7.3,7.1,7.1,1787925,TIG
2025-07-02,7.2,7.3,7.1,7.2,919948,TIG
2025-07-03,7.2,7.3,7.1,7.2,1291194,TIG
2025-07-04,7.2,7.5,7.2,7.5,1808620,TIG
2025-07-07,7.4,7.6,7.3,7.4,1468597,TIG
2025-07-08,7.5,7.6,7.4,7.6,1693931,TIG
