time,open,high,low,close,volume,symbol
2025-02-10,6.8,7.0,6.5,6.7,106640,TIS
2025-02-11,6.5,6.7,6.4,6.6,141411,TIS
2025-02-12,6.4,6.6,6.4,6.6,167200,TIS
2025-02-13,6.7,7.0,6.4,6.6,277704,TIS
2025-02-14,6.6,6.8,6.4,6.6,158000,TIS
2025-02-17,6.6,6.8,6.5,6.8,273572,TIS
2025-02-18,6.8,6.9,6.7,6.8,89953,TIS
2025-02-19,6.8,7.0,6.7,6.9,166423,TIS
2025-02-20,6.9,6.9,6.5,6.6,381041,TIS
2025-02-21,6.5,6.8,6.4,6.6,282115,TIS
2025-02-24,6.7,7.2,6.6,7.0,606006,TIS
2025-02-25,7.0,7.2,6.6,6.8,367760,TIS
2025-02-26,6.9,6.9,6.5,6.7,264734,TIS
2025-02-27,6.6,6.9,6.5,6.8,501460,TIS
2025-02-28,6.8,6.8,6.6,6.7,108505,TIS
2025-03-03,6.7,6.7,6.6,6.7,139902,TIS
2025-03-04,6.5,6.6,6.5,6.6,109668,TIS
2025-03-05,6.6,6.6,6.4,6.5,49801,TIS
2025-03-06,6.5,6.5,6.4,6.5,38700,TIS
2025-03-07,6.5,6.5,6.4,6.4,49400,TIS
2025-03-10,6.4,6.4,6.3,6.4,50802,TIS
2025-03-11,6.2,6.5,6.2,6.5,161500,TIS
2025-03-12,6.4,6.4,6.3,6.3,61321,TIS
2025-03-13,6.3,6.3,6.1,6.2,107004,TIS
2025-03-14,6.2,6.2,6.1,6.2,85600,TIS
2025-03-17,6.2,6.3,6.1,6.2,55400,TIS
2025-03-18,6.3,6.3,6.1,6.2,105510,TIS
2025-03-19,6.3,6.4,6.2,6.2,19228,TIS
2025-03-20,6.3,6.3,6.1,6.2,66918,TIS
2025-03-21,6.1,6.2,6.1,6.2,21300,TIS
2025-03-24,6.1,6.2,6.1,6.2,34900,TIS
2025-03-25,6.2,6.3,6.1,6.2,26100,TIS
2025-03-26,6.3,6.4,6.2,6.3,63200,TIS
2025-03-27,6.3,6.4,6.2,6.3,50200,TIS
2025-03-28,6.4,6.4,6.2,6.2,35800,TIS
2025-03-31,6.2,6.2,6.1,6.1,32800,TIS
2025-04-01,6.1,6.2,6.0,6.1,71800,TIS
2025-04-02,6.2,6.2,6.1,6.2,28500,TIS
2025-04-03,6.1,6.1,5.2,5.5,383600,TIS
2025-04-04,5.4,5.9,5.0,5.5,85927,TIS
2025-04-08,5.2,5.5,4.8,4.8,537700,TIS
2025-04-09,5.2,5.5,5.2,5.2,183400,TIS
2025-04-10,6.0,6.0,5.8,6.0,161700,TIS
2025-04-11,6.2,6.2,5.8,6.0,82200,TIS
2025-04-14,6.0,6.0,5.8,6.0,9100,TIS
2025-04-15,6.1,6.1,5.8,6.1,42224,TIS
2025-04-16,5.9,5.9,5.8,5.8,37900,TIS
2025-04-17,5.8,5.9,5.8,5.9,18217,TIS
2025-04-18,6.0,6.0,5.7,5.7,116871,TIS
2025-04-21,5.8,5.9,5.8,5.9,24309,TIS
2025-04-22,5.9,5.9,5.5,5.8,43700,TIS
2025-04-23,5.9,5.9,5.7,5.9,32509,TIS
2025-04-24,6.0,6.2,5.8,5.8,60900,TIS
2025-04-25,5.8,5.8,5.7,5.7,120320,TIS
2025-04-28,5.8,5.9,5.7,5.7,35000,TIS
2025-04-29,5.8,5.9,5.7,5.9,49406,TIS
2025-05-05,5.7,5.8,5.7,5.8,69700,TIS
2025-05-06,5.7,5.9,5.7,5.9,30600,TIS
2025-05-07,5.8,5.9,5.7,5.7,101903,TIS
2025-05-08,5.9,5.9,5.8,5.9,37200,TIS
2025-05-09,5.9,6.0,5.7,5.9,177719,TIS
2025-05-12,5.9,6.0,5.8,5.8,24100,TIS
2025-05-13,6.0,6.0,5.8,5.9,23800,TIS
2025-05-14,5.9,5.9,5.8,5.9,27400,TIS
2025-05-15,6.0,6.0,5.8,5.9,64306,TIS
2025-05-16,5.8,5.9,5.8,5.8,40600,TIS
2025-05-19,5.7,5.9,5.7,5.8,63375,TIS
2025-05-20,5.8,5.8,5.7,5.7,2842,TIS
2025-05-21,5.7,5.8,5.6,5.8,38800,TIS
2025-05-22,5.6,5.7,5.6,5.6,36950,TIS
2025-05-23,5.6,5.6,5.5,5.6,64900,TIS
2025-05-26,5.6,5.6,5.4,5.5,55430,TIS
2025-05-27,5.5,5.8,5.5,5.7,56251,TIS
2025-05-28,5.7,5.8,5.7,5.8,13200,TIS
2025-05-29,5.8,5.8,5.7,5.7,15309,TIS
2025-05-30,5.8,6.1,5.5,5.8,221400,TIS
2025-06-02,5.9,5.9,5.6,5.8,7801,TIS
2025-06-03,5.6,5.8,5.5,5.6,56500,TIS
2025-06-04,5.5,5.6,5.5,5.6,27800,TIS
2025-06-05,5.6,5.6,5.6,5.6,13401,TIS
2025-06-06,5.6,5.6,5.5,5.6,9400,TIS
2025-06-09,5.5,5.6,5.5,5.5,7600,TIS
2025-06-10,5.5,5.6,5.5,5.6,5400,TIS
2025-06-11,5.6,5.6,5.5,5.5,11000,TIS
2025-06-12,5.6,5.6,5.5,5.5,18300,TIS
2025-06-13,5.6,5.6,5.4,5.5,9117,TIS
2025-06-16,5.5,5.5,5.3,5.5,46800,TIS
2025-06-17,5.5,5.7,5.5,5.7,76600,TIS
2025-06-18,5.7,5.7,5.5,5.6,46900,TIS
2025-06-19,5.6,5.7,5.5,5.6,43500,TIS
2025-06-20,5.5,5.6,5.5,5.6,13800,TIS
2025-06-23,5.6,5.6,5.4,5.4,31300,TIS
2025-06-24,5.5,5.5,5.3,5.5,82800,TIS
2025-06-25,5.5,5.6,5.3,5.4,30314,TIS
2025-06-26,5.4,5.4,5.4,5.4,11103,TIS
2025-06-27,5.5,5.5,5.3,5.4,20800,TIS
2025-06-30,5.4,5.5,5.2,5.2,248500,TIS
2025-07-01,5.4,5.4,5.3,5.3,44800,TIS
2025-07-02,5.3,5.4,5.3,5.3,34201,TIS
2025-07-03,5.3,5.4,5.2,5.3,171100,TIS
2025-07-04,5.3,5.4,5.2,5.3,10900,TIS
2025-07-07,5.3,5.4,5.3,5.4,57400,TIS
2025-07-08,5.4,5.5,5.2,5.4,172200,TIS
2025-07-09,5.5,5.6,5.4,5.4,56759,TIS
2025-07-10,5.5,5.5,5.4,5.4,46215,TIS
2025-07-11,5.5,5.5,5.4,5.4,30002,TIS
2025-07-14,5.5,5.6,5.4,5.4,50572,TIS
2025-07-15,5.3,5.5,5.3,5.4,60901,TIS
2025-07-16,5.4,5.4,5.3,5.4,30952,TIS
2025-07-17,5.4,5.5,5.3,5.5,50150,TIS
2025-07-18,5.3,5.5,5.3,5.5,40900,TIS
2025-07-21,5.5,5.6,5.4,5.5,71223,TIS
2025-07-22,5.5,5.5,5.3,5.5,37701,TIS
2025-07-23,5.5,5.6,5.4,5.5,88439,TIS
2025-07-24,5.5,5.6,5.4,5.4,48106,TIS
2025-07-25,5.5,5.5,5.4,5.5,135400,TIS
2025-07-28,5.5,5.6,5.4,5.5,186030,TIS
2025-07-29,5.5,5.6,5.4,5.4,111100,TIS
2025-07-30,5.5,5.5,5.3,5.4,28214,TIS
2025-07-31,5.4,5.5,5.4,5.5,40900,TIS
2025-08-01,5.5,5.5,5.4,5.5,44212,TIS
2025-08-04,5.5,5.5,5.5,5.5,26120,TIS
2025-08-05,5.5,5.7,5.4,5.5,122400,TIS
2025-08-06,5.5,5.6,5.5,5.6,9320,TIS
2025-08-07,5.5,5.9,5.5,5.8,119643,TIS
2025-08-08,5.8,5.9,5.7,5.7,22715,TIS
2025-08-11,5.8,5.8,5.7,5.7,10300,TIS
2025-08-12,5.7,5.8,5.7,5.7,60544,TIS
2025-08-13,5.6,5.7,5.6,5.7,34315,TIS
2025-08-14,5.7,5.7,5.6,5.7,26505,TIS
2025-08-15,5.7,5.8,5.6,5.6,79755,TIS
2025-08-18,5.8,6.0,5.6,5.7,42744,TIS
2025-08-19,5.8,5.8,5.6,5.7,26700,TIS
2025-08-20,5.6,5.6,5.5,5.5,36506,TIS
2025-08-21,5.5,5.7,5.4,5.6,12372,TIS
2025-08-22,5.5,5.5,5.4,5.4,15700,TIS
2025-08-25,5.5,5.5,5.4,5.4,18200,TIS
2025-08-26,5.4,5.6,5.4,5.6,19500,TIS
2025-08-27,5.4,5.4,5.3,5.3,5400,TIS
2025-08-28,5.5,5.5,5.0,5.4,60800,TIS
2025-08-29,5.3,5.5,5.1,5.4,61600,TIS
2025-09-03,5.2,5.5,5.2,5.3,48400,TIS
2025-09-04,5.3,5.5,5.3,5.5,63326,TIS
2025-09-05,5.5,5.6,5.4,5.4,44001,TIS
2025-09-08,5.4,5.5,5.2,5.3,68500,TIS
2025-09-09,5.3,5.4,5.2,5.3,21200,TIS
2025-09-10,5.3,5.3,5.3,5.3,9000,TIS
2025-09-11,5.3,5.3,5.3,5.3,14500,TIS
2025-09-12,5.4,5.4,5.3,5.4,22500,TIS
2025-09-15,5.4,5.5,5.3,5.4,40300,TIS
2025-09-16,5.4,5.5,5.3,5.3,45227,TIS
2025-09-17,5.5,5.5,5.4,5.4,12300,TIS
2025-09-18,5.4,5.5,5.3,5.4,7000,TIS
2025-09-19,5.4,5.4,5.3,5.3,14800,TIS
2025-09-22,5.2,5.3,5.2,5.2,12825,TIS
2025-09-23,5.3,5.4,5.3,5.3,10600,TIS
2025-09-24,5.3,5.3,5.1,5.2,21800,TIS
2025-09-25,5.2,5.4,5.2,5.3,7020,TIS
2025-09-26,5.3,5.3,5.3,5.3,1200,TIS
2025-09-29,5.2,5.3,5.0,5.3,24315,TIS
2025-09-30,5.3,5.3,5.2,5.2,8500,TIS
2025-10-01,5.1,5.2,5.1,5.2,4600,TIS
2025-10-02,5.3,5.3,5.1,5.1,4110,TIS
2025-10-03,5.2,5.2,5.1,5.1,6306,TIS
2025-10-06,5.2,5.2,5.2,5.2,9013,TIS
2025-10-07,5.2,5.2,5.1,5.1,37939,TIS
2025-10-08,5.1,5.2,4.9,5.2,16600,TIS
2025-10-09,5.0,5.2,5.0,5.2,8481,TIS
2025-10-10,5.1,5.2,5.0,5.2,60301,TIS
2025-10-13,5.1,5.2,5.1,5.2,108699,TIS
2025-10-14,5.2,5.2,5.1,5.1,7004,TIS
2025-10-15,5.1,5.1,5.0,5.1,2540,TIS
2025-10-16,5.1,5.3,5.0,5.0,22111,TIS
2025-10-17,5.1,5.3,5.0,5.0,3800,TIS
2025-10-20,5.1,5.1,4.9,4.9,12901,TIS
2025-10-21,4.9,5.0,4.8,4.9,8800,TIS
2025-10-22,5.1,5.1,4.9,4.9,11290,TIS
2025-10-23,5.0,5.0,5.0,5.0,5507,TIS
2025-10-24,5.0,5.1,4.9,4.9,16300,TIS
2025-10-27,4.9,4.9,4.8,4.8,7207,TIS
2025-10-28,4.9,4.9,4.9,4.9,1126,TIS
2025-10-29,4.9,4.9,4.9,4.9,8832,TIS
2025-10-30,4.9,4.9,4.9,4.9,9575,TIS
2025-10-31,5.2,5.2,4.9,4.9,1902,TIS
2025-11-03,4.8,4.9,4.8,4.9,6108,TIS
2025-11-04,4.8,4.8,4.8,4.8,301,TIS
2025-11-05,4.8,5.1,4.8,4.9,6100,TIS
2025-11-06,4.9,5.0,4.9,5.0,400,TIS
2025-11-07,5.0,5.0,4.9,4.9,13650,TIS
2025-11-10,4.5,5.0,4.5,5.0,1103,TIS
2025-11-11,4.8,4.8,4.8,4.8,901,TIS
2025-11-12,4.7,5.0,4.7,4.9,10718,TIS
2025-11-13,4.9,4.9,4.9,4.9,631,TIS
2025-11-14,4.9,4.9,4.9,4.9,300,TIS
2025-11-17,4.9,4.9,4.9,4.9,500,TIS
2025-11-18,4.7,4.9,4.7,4.9,6400,TIS
2025-11-19,4.9,4.9,4.9,4.9,10200,TIS
2025-11-20,4.9,4.9,4.9,4.9,202,TIS
2025-11-21,4.9,4.9,4.9,4.9,500,TIS
2025-11-24,5.1,5.1,4.9,4.9,906,TIS
2025-11-25,4.8,4.8,4.8,4.8,4200,TIS
2025-11-26,4.8,4.8,4.8,4.8,10206,TIS
2025-11-27,4.9,4.9,4.8,4.8,14600,TIS
2025-11-28,4.9,4.9,4.5,4.8,11100,TIS
2025-12-01,4.7,4.9,4.7,4.8,3000,TIS
2025-12-02,4.8,4.8,4.7,4.8,1807,TIS
2025-12-03,4.8,4.8,4.8,4.8,2100,TIS
2025-12-04,4.9,4.9,4.8,4.8,11400,TIS
2025-12-05,4.7,4.9,4.7,4.9,400,TIS
2025-12-08,4.8,4.8,4.8,4.8,7403,TIS
2025-12-09,4.8,4.8,4.8,4.8,800,TIS
2025-12-10,4.8,4.8,4.8,4.8,5000,TIS
2025-12-11,4.6,5.0,4.6,5.0,2100,TIS
2025-12-12,4.7,4.8,4.7,4.8,847,TIS
2025-12-15,4.7,4.7,4.7,4.7,1537,TIS
2025-12-16,4.7,4.7,4.7,4.7,1315,TIS
2025-12-17,4.7,4.9,4.7,4.8,17405,TIS
2025-12-18,4.8,4.8,4.8,4.8,500,TIS
2025-12-19,4.3,4.9,4.3,4.7,7400,TIS
2025-12-22,4.6,4.7,4.6,4.7,1607,TIS
2025-12-23,4.7,4.8,4.6,4.6,4900,TIS
2025-12-24,4.6,4.6,4.6,4.6,24570,TIS
2025-12-25,4.5,5.2,4.3,4.5,60900,TIS
2025-12-26,4.5,4.6,4.4,4.6,6500,TIS
2025-12-29,4.6,4.6,4.5,4.6,4101,TIS
2025-12-30,4.8,5.1,4.6,4.9,157767,TIS
2025-12-31,5.0,5.4,4.9,5.1,120971,TIS
2026-01-05,5.1,5.1,4.9,5.0,900,TIS
2026-01-06,5.0,5.0,4.8,4.8,12101,TIS
2026-01-07,5.3,5.3,4.8,5.0,3166,TIS
2026-01-08,4.9,5.0,4.9,4.9,19000,TIS
2026-01-09,5.0,5.0,4.9,4.9,7915,TIS
2026-01-12,5.1,5.1,4.9,5.0,26333,TIS
2026-01-13,5.0,5.0,4.7,4.7,8421,TIS
2026-01-14,4.8,5.0,4.8,4.9,17324,TIS
2026-01-15,5.0,5.6,5.0,5.4,140520,TIS
2026-01-16,5.4,5.7,5.3,5.4,140468,TIS
2026-01-19,5.5,5.6,5.2,5.4,67844,TIS
2026-01-20,5.5,5.5,5.3,5.4,11200,TIS
2026-01-21,5.4,5.4,5.1,5.1,19058,TIS
2026-01-22,5.4,5.4,5.1,5.2,11100,TIS
2026-01-23,5.4,5.4,5.0,5.3,20600,TIS
2026-01-26,5.3,5.3,5.2,5.2,22800,TIS
2026-01-27,5.3,5.3,5.0,5.2,7200,TIS
2026-01-28,5.4,5.4,5.0,5.0,6800,TIS
2026-01-29,5.1,5.3,5.0,5.1,19800,TIS
2026-01-30,5.4,5.4,5.1,5.1,6603,TIS
2026-02-02,5.1,5.4,5.1,5.1,3500,TIS
2026-02-03,5.2,5.4,5.1,5.1,6220,TIS
2026-02-04,5.3,5.6,5.0,5.2,56701,TIS
2026-02-05,5.4,5.4,5.0,5.3,17297,TIS
2026-02-06,5.3,5.3,5.0,5.1,20900,TIS
2026-02-09,5.1,5.1,5.0,5.1,6311,TIS
2026-02-10,5.0,5.0,5.0,5.0,7800,TIS
