time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,64.875,65.454,64.006,64.006,3900,64.006,64.006,64.006,,0.0,0.0,0.0,,,,,TMP
2025-02-11,64.199,64.199,64.199,64.199,500,64.10249999999999,64.10249999999999,64.10249999999999,,0.01539601139600677,0.0030792022792013544,0.012316809116805416,,,0.3015342311658342,,TMP
2025-02-12,63.813,64.682,63.524,63.717,4800,63.974,63.974,63.974,,-0.01116718208456291,0.00022992540644850134,-0.011397107491011412,,,-0.7507905107556168,,TMP
2025-02-13,63.717,64.682,63.234,64.682,1800,64.151,64.151,64.151,,0.04512851740598478,0.009209643806355758,0.035918873599629024,,,1.5145094715695917,,TMP
2025-02-14,64.682,64.682,64.682,64.682,0,64.2572,64.2572,64.2572,,0.08872054957200248,0.025111824959485104,0.06360872461251738,,,0.0,,TMP
2025-02-17,63.33,64.682,63.33,64.585,3100,64.31183333333333,64.31183333333333,64.31183333333333,,0.11412489899470302,0.042914439766528686,0.07121045922817433,,,-0.1499644414211243,,TMP
2025-02-18,64.682,64.682,64.489,64.585,2700,64.35085714285715,64.35085714285715,64.35085714285715,,0.13272802291284336,0.06087715639579162,0.07185086651705173,,,0.0,,TMP
2025-02-19,64.585,64.779,64.489,64.489,2500,64.36812499999999,64.36812499999999,64.36812499999999,,0.13813243027988165,0.07632821117260963,0.06180421910727202,,,-0.14864132538513486,,TMP
2025-02-20,64.489,64.489,64.489,64.489,2900,64.38155555555555,64.38155555555555,64.38155555555555,,0.1407924938263676,0.08922106770336122,0.051571426123006386,,,0.0,,TMP
2025-02-21,64.489,64.489,64.489,64.489,1100,64.3923,64.3923,64.3923,,0.1412721163334396,0.0996312774293769,0.04164083890406271,,,0.0,,TMP
2025-02-24,64.006,64.103,64.006,64.006,400,64.35718181818181,64.35718181818181,64.35718181818181,,0.10150803577535328,0.10000662909857219,0.0015014066767810863,,,-0.7489649397571796,,TMP
2025-02-25,64.006,64.006,64.006,64.006,0,64.32791666666667,64.32791666666667,64.32791666666667,,0.06919705487342753,0.09384471425354327,-0.024647659380115733,,,0.0,,TMP
2025-02-26,64.006,64.682,64.006,64.489,1800,64.34030769230769,64.34030769230769,64.34030769230769,,0.08162352790041894,0.0914004769829184,-0.009776949082499459,,,0.7546167546792493,,TMP
2025-02-27,64.489,64.682,64.489,64.585,5400,64.35778571428571,64.35778571428571,64.35778571428571,60.24352174264526,0.0980873055950724,0.0927378427053492,0.005349462889723197,,,0.14886259672191038,,TMP
2025-02-28,64.585,64.585,64.585,64.585,1700,64.37293333333334,64.37293333333334,64.37293333333334,60.24352174264526,0.1098684726709962,0.0961639686984786,0.013704503972517601,,,0.0,,TMP
2025-03-03,64.585,64.682,64.585,64.585,1100,64.3861875,64.3861875,64.3861875,60.24352174264526,0.11784666940944533,0.10050050884067194,0.01734616056877339,,,0.0,,TMP
2025-03-04,64.585,64.682,64.296,64.682,4800,64.40358823529411,64.40358823529411,64.40358823529411,62.7520404029234,0.13049230310014082,0.10649886769256572,0.023993435407575092,,,0.15018967252460325,,TMP
2025-03-05,65.551,65.647,64.682,65.454,3200,64.46194444444444,64.46194444444444,64.46194444444444,75.825629929168,0.20049680467433006,0.1252984550889186,0.07519834958541147,,,1.1935314306916744,,TMP
2025-03-06,63.717,63.717,63.717,63.717,100,64.42273684210527,64.42273684210527,64.42273684210527,40.976392458374505,0.11449466995696866,0.12313769806252861,-0.008643028105559947,,,-2.6537721147676163,,TMP
2025-03-07,63.717,64.682,63.717,64.682,3800,64.4357,64.4357,64.4357,53.70597986247203,0.12278935449512574,0.12306802934904804,-0.0002786748539223005,65.23641260367513,63.63498739632487,1.5145094715695917,,TMP
2025-03-10,64.682,66.034,63.91,64.006,800,64.4357,64.4152380952381,64.4152380952381,46.1906698018704,0.07396280415328249,0.11324698430989494,-0.03928418015661245,65.23641260367513,63.63498739632487,-1.0451130144398801,0.9182576043995151,TMP
2025-03-11,63.813,63.813,63.62,63.62,1000,64.40675,64.3790909090909,64.3790909090909,42.53089725202771,0.00407348061875723,0.0914122835716674,-0.08733880295291017,65.2819036105766,63.5315963894234,-0.6030684623316573,0.925085475971175,TMP
2025-03-12,62.751,62.944,62.751,62.848,2300,64.3633,64.31252173913043,64.31252173913043,36.33091007331693,-0.11231357890964944,0.05066711107540403,-0.16298068998505347,65.44464265468541,63.281957345314574,-1.2134548883998675,0.9492333504625725,TMP
2025-03-13,63.041,64.585,63.041,64.585,3300,64.35844999999999,64.323875,64.323875,52.95016508748747,-0.06365599217082263,0.0278024904261587,-0.09145848259698133,65.43463184239222,63.28226815760776,2.7638110997963317,1.0893616034141573,TMP
2025-03-14,64.006,64.392,64.006,64.392,1100,64.34394999999999,64.3266,64.3266,51.34642030983734,-0.04020453826238679,0.014201084688449604,-0.054405622950836396,65.40953913282746,63.27836086717252,-0.298830997909727,1.0913820537563121,TMP
2025-03-17,63.813,63.813,63.813,63.813,400,64.30535,64.30684615384615,64.30684615384615,46.76985275474638,-0.06756075484965152,-0.0021512832191706195,-0.0654094716304809,65.38993428126076,63.22076571873925,-0.899180022363022,1.1089102006696676,TMP
2025-03-18,65.261,65.358,64.296,64.682,2300,64.31020000000001,64.32074074074073,64.32074074074073,53.472755726370586,-0.018901827619174583,-0.005501392099171412,-0.013400435520003171,65.40089993944017,63.21950006055986,1.3617914844937573,1.1533368108451463,TMP
2025-03-19,63.813,64.682,63.813,64.682,2600,64.31985,64.33364285714285,64.33364285714285,53.472755726370586,0.01943666895877527,-0.0005137798875820753,0.019950448846357348,65.42057976271487,63.21912023728513,0.0,1.1527136054401004,TMP
2025-03-20,64.682,65.358,64.392,65.261,4500,64.35845,64.36562068965517,64.36562068965517,57.598606784715514,0.09544048628954727,0.018677073347843794,0.07676341294170347,65.53564389361223,63.181256106387785,0.8951485730187558,1.1691070256477833,TMP
2025-03-21,65.165,65.165,65.165,65.165,2000,64.39225,64.39226666666667,64.39226666666667,56.70082061208539,0.146241876092418,0.04419003389675864,0.10205184219565937,65.62283494862788,63.161665051372125,-0.14710163803801635,1.1700065002504716,TMP
2025-03-24,65.165,65.165,65.165,65.165,0,64.4502,64.41719354838709,64.41719354838709,56.700820612085394,0.18437696068335185,0.07222741925407729,0.11214954142927457,65.71293731068242,63.18746268931757,0.0,1.1546824895426486,TMP
2025-03-25,64.972,65.454,64.779,64.779,5200,64.48885,64.4285,64.4285,52.858767167653994,0.18136169122401213,0.09405427364806426,0.08730741757594787,65.74162129008577,63.23607870991423,-0.5923425151538542,1.1648291545856524,TMP
2025-03-26,64.779,64.779,64.682,64.682,2200,64.4985,64.43618181818181,64.43618181818181,51.906917399280935,0.16919460898408545,0.10908234071526851,0.06011226826881694,65.75424595151124,63.24275404848878,-0.1497398848392173,1.1542151079859606,TMP
2025-03-27,64.489,66.13,64.489,65.165,4400,64.5275,64.45761764705883,64.45761764705883,56.141985741453965,0.1962637655313273,0.12651862567848027,0.06974513985284703,65.8179658481584,63.23703415184161,0.7467301567669615,1.1653819703726538,TMP
2025-03-28,65.165,65.165,64.199,64.199,1800,64.5082,64.45022857142857,64.45022857142857,47.191332582619054,0.1381753409967672,0.12884996874213767,0.009325372254629538,65.80656668245348,63.20983331754652,-1.4823908539860486,1.2148957234539048,TMP
2025-03-31,64.199,64.199,64.103,64.103,200,64.48409999999998,64.44058333333334,64.44058333333334,46.39963321807854,0.08343169965490915,0.11976631492469196,-0.03633461526978281,65.7943039857253,63.17389601427465,-0.14953503948660352,1.2152070555079568,TMP
2025-04-01,64.296,64.296,64.199,64.199,1800,64.45995,64.43405405405406,64.43405405405406,47.35083838034746,0.04724871342234849,0.10526279462422328,-0.05801408120187479,65.77259834349655,63.14730165650346,0.14975898163893664,1.2152036899160725,TMP
2025-04-02,65.165,66.034,64.296,64.296,1900,64.40205,64.43042105263157,64.43042105263157,48.34825504383867,0.02609966479657544,0.08943016865869372,-0.06333050386211828,65.62947031148774,63.17462968851226,0.1510926961479253,1.181839501904226,TMP
2025-04-03,63.91,63.91,60.145,60.434,4400,64.2379,64.32794871794871,64.32794871794871,26.67801036042468,-0.29884730680250016,0.011774673566454945,-0.3106219803689551,66.38478934335974,62.09101065664026,-6.006594500435503,1.693003659194569,TMP
2025-04-04,62.751,62.751,56.669,62.751,2300,64.14135,64.288525,64.288525,43.14311575630277,-0.36519781381825567,-0.06361982391048718,-0.3015779899077685,66.3760332838117,61.906666716188305,3.8339345401595226,1.8884141681977018,TMP
2025-04-08,62.751,62.751,60.82,60.82,1500,63.982049999999994,64.20392682926828,64.20392682926828,35.90637854595113,-0.5670599168782644,-0.16430784250404262,-0.4027520743742218,66.66635569088271,61.29774430911728,-3.077241796943475,1.991839775458117,TMP
2025-04-09,60.82,61.11,60.531,61.11,6400,63.856550000000006,64.13026190476191,64.13026190476191,37.59924063105754,-0.6956178618183984,-0.2705698463669138,-0.4250480154514846,66.83113345425303,60.88196654574698,0.47681683656690677,1.995993989913632,TMP
2025-04-10,62.751,65.068,62.751,65.068,1400,63.96755,64.15206976744186,64.15206976744186,55.04955450360244,-0.47267473763397305,-0.3109908246203257,-0.16168391301364737,66.94934440676425,60.985755593235744,6.476845033546064,2.4710223270130998,TMP
2025-04-11,65.068,65.165,63.717,63.717,5300,63.92415000000001,64.14218181818181,64.14218181818181,49.91815169968855,-0.40038967181843077,-0.3288705940599467,-0.0715190777584841,66.89334533845366,60.954954661546374,-2.0762894202987603,2.4438510597562177,TMP
2025-04-14,62.751,62.751,61.786,61.786,1500,63.79385,64.08982222222222,64.08982222222222,43.65455896701295,-0.4932331140219901,-0.3617430980523554,-0.13149001596963472,66.90206710784072,60.68563289215927,-3.0305883830061053,2.5338006477841892,TMP
2025-04-15,63.717,64.296,61.882,61.979,2800,63.702149999999996,64.0439347826087,64.0439347826087,44.40541594116266,-0.5449568010587242,-0.3983858386536292,-0.14657096240509504,66.9144602213041,60.48983977869589,0.31236849771791864,2.530079629379144,TMP
2025-04-16,62.075,62.075,61.979,61.979,6600,63.56699999999999,64.0,64.0,44.40541594116266,-0.5792707233688859,-0.4345628155966806,-0.14470790777220527,66.83273212554084,60.301267874459135,0.0,2.5064479439608727,TMP
2025-04-17,62.751,62.751,62.751,62.751,100,63.47045000000001,63.97397916666666,63.97397916666666,47.6421681177271,-0.5379694291860346,-0.4552441383145514,-0.08272529087148323,66.71146910385902,60.229430896141,1.2455831814001561,2.5266398396893974,TMP
2025-04-18,62.751,65.647,62.751,65.358,5600,63.47529999999999,64.00222448979592,64.00222448979592,56.79089474970031,-0.29151434765604023,-0.4224981801828492,0.13098383252680895,66.72787074683364,60.222729253166335,4.154515465889008,2.6951391457107947,TMP
2025-04-21,65.358,65.551,63.524,63.524,400,63.39325,63.992659999999994,63.992659999999994,50.15180488254331,-0.2414026530367437,-0.3862790747536281,0.14487642171688442,66.5476594367626,60.238840563237396,-2.806083417485239,2.769504275469162,TMP
2025-04-22,63.234,63.234,62.751,62.944,600,63.2822,63.971419999999995,63.97209803921568,48.23148399254722,-0.2456581327163576,-0.35815488634617404,0.11249675362981643,66.32850942202806,60.23589057797194,-0.9130407405075203,2.775441396426636,TMP
2025-04-23,63.041,63.041,63.041,63.041,100,63.195299999999996,63.94826,63.95419230769231,48.58604962461341,-0.23845478337455717,-0.33421486575185066,0.0957600823772935,66.15988891088232,60.23071108911767,0.15410523640060347,2.7740117883088415,TMP
2025-04-24,64.296,65.165,64.296,65.165,500,63.219449999999995,63.977219999999996,63.97703773584905,55.73523482581555,-0.060657802740678335,-0.2795034531496162,0.2188456504089379,66.24232827113586,60.19657172886412,3.369235894100675,2.8802233556303194,TMP
2025-04-25,65.165,65.165,63.813,63.813,1000,63.15185,63.95984000000001,63.974,50.88490365052939,-0.02851876887947924,-0.22930651629558885,0.2007877474161096,66.04940826606875,60.25429173393126,-2.0747333691398806,2.9145586404709083,TMP
2025-04-28,65.068,65.068,62.848,64.296,1700,63.1567,63.952119999999994,63.97985454545454,52.47604675118416,0.03551630060013622,-0.17634195291644386,0.21185825351658008,66.0619527455954,60.251447254404596,0.756899064453953,2.900203732849463,TMP
2025-04-29,65.068,65.068,65.068,65.068,700,63.20495000000001,63.96178,63.99928571428571,54.98617007056067,0.14686552824827004,-0.11170045668350109,0.25856598493177113,66.20682194053454,60.203078059465476,1.2006967774044863,2.9110744474834127,TMP
2025-05-05,65.165,66.13,65.068,65.068,3900,63.248400000000004,63.971439999999994,64.0180350877193,54.98617007056067,0.23243127038571743,-0.042874111269657386,0.2753053816553748,66.33481944824848,60.161980551751526,0.0,2.9111725711092666,TMP
2025-05-06,66.13,66.13,63.91,66.13,3200,63.34009999999999,64.00425999999999,64.05444827586207,58.48456380770337,0.38153911655739137,0.042008534295752374,0.339530582261639,66.65787997430432,60.02232002569566,1.6321386856826603,2.93111173481471,TMP
2025-05-07,66.13,66.13,66.13,66.13,0,63.624900000000004,64.03708,64.08962711864407,58.48456380770337,0.4940134790388129,0.13240952324436447,0.3616039557944484,66.86940329667044,60.38039670332956,0.0,2.5461450144726094,TMP
2025-05-08,66.13,67.096,64.972,64.972,4700,63.73595,64.04673999999999,64.10433333333333,53.250930052744685,0.48412856669190774,0.20275333193387313,0.2813752347580346,67.00644466562703,60.465455334372976,-1.7510963254196321,2.46409114042855,TMP
2025-05-09,69.509,69.509,65.261,65.454,2600,63.967650000000006,64.0757,64.12645901639344,55.053855140666734,0.5093169850333226,0.264066062553763,0.24525092247955954,67.01747748606162,60.91782251393839,0.7418580311518763,2.3414798779760377,TMP
2025-05-12,64.875,64.972,64.296,64.296,3100,64.12695,64.08149999999999,64.1291935483871,50.05889350263949,0.4308712502861738,0.2974271001002452,0.1334441501859286,66.86521671839189,61.3886832816081,-1.7691814098450664,2.3906163423848725,TMP
2025-05-13,68.351,68.351,64.875,64.875,900,64.1173,64.08922,64.14103174603174,52.38506793557198,0.41068873730438327,0.3200794275410728,0.09060930976331044,66.8429341879122,61.39166581208779,0.9005225830533758,1.9060600047899776,TMP
2025-05-14,67.578,67.578,64.682,64.682,500,64.16555,64.09116,64.149484375,51.523571458677594,0.3748000022069249,0.33102354247424326,0.04377645973268163,66.8955094348249,61.43559056517508,-0.2974951830443162,1.8444683428708784,TMP
2025-05-15,64.682,64.682,64.489,64.682,4300,64.31035,64.09309999999999,64.15767692307692,51.523571458677594,0.34241082226209585,0.33330099843181377,0.009109823830282082,66.80604501130922,61.81465498869077,0.0,1.6927433469288833,TMP
2025-05-16,64.682,64.682,63.91,63.91,3300,64.4069,64.0796,64.15392424242424,47.871397478058675,0.2515485209120243,0.3169505029278559,-0.06540198201583164,66.66050500905597,62.15329499094401,-1.1935314306916966,1.7227133788039164,TMP
2025-05-19,63.91,63.91,63.91,63.91,15100,64.50345,64.06416,64.15028358208956,47.871397478058675,0.17749345836239172,0.2890590940147631,-0.11156563565237138,66.46571329849786,62.54118670150214,0.0,1.7227133788039164,TMP
2025-05-20,62.751,62.751,62.751,62.751,14600,64.50345,64.01010000000001,64.12970588235294,42.612248730038466,0.024994552280929838,0.23624618566799646,-0.21125163338706662,66.46571329849786,62.54118670150214,-1.813487717102169,1.7574107720202354,TMP
