time,open,high,low,close,volume,symbol
2025-02-10,42.172,42.172,42.172,42.172,100,TMS
2025-02-11,44.469,44.469,40.64,40.64,200,TMS
2025-02-12,40.688,40.688,40.688,40.688,200,TMS
2025-02-13,40.688,40.688,40.688,40.688,100,TMS
2025-02-14,40.592,40.592,40.592,40.592,100,TMS
2025-02-17,40.592,40.592,40.209,40.496,6900,TMS
2025-02-18,41.167,41.167,41.167,41.167,2100,TMS
2025-02-19,40.688,40.688,40.688,40.688,700,TMS
2025-02-20,40.688,40.688,40.688,40.688,1700,TMS
2025-02-21,40.688,40.688,40.305,40.401,1700,TMS
2025-02-24,40.401,40.401,40.401,40.401,100,TMS
2025-02-25,41.645,41.645,40.496,41.645,900,TMS
2025-02-26,41.645,41.645,41.645,41.645,0,TMS
2025-02-27,41.645,41.645,41.645,41.645,0,TMS
2025-02-28,41.645,41.645,41.645,41.645,600,TMS
2025-03-03,41.645,41.645,41.167,41.167,2000,TMS
2025-03-04,39.635,41.167,39.635,41.167,600,TMS
2025-03-05,41.167,41.167,41.167,41.167,300,TMS
2025-03-06,39.443,41.119,39.443,41.119,300,TMS
2025-03-07,39.443,41.119,39.443,41.119,500,TMS
2025-03-10,40.305,40.305,40.305,40.305,100,TMS
2025-03-11,40.305,40.305,40.305,40.305,2900,TMS
2025-03-12,40.305,40.305,40.305,40.305,0,TMS
2025-03-13,40.305,40.305,40.305,40.305,300,TMS
2025-03-14,40.305,40.305,40.305,40.305,0,TMS
2025-03-17,40.305,40.305,40.305,40.305,0,TMS
2025-03-18,40.305,40.305,40.305,40.305,700,TMS
2025-03-19,40.305,40.305,40.305,40.305,0,TMS
2025-03-20,40.688,40.688,40.209,40.209,500,TMS
2025-03-21,40.496,40.496,40.496,40.496,200,TMS
2025-03-24,40.496,40.496,40.496,40.496,300,TMS
2025-03-25,40.496,40.688,39.826,40.592,1000,TMS
2025-03-26,40.592,40.592,40.592,40.592,500,TMS
2025-03-27,40.592,40.592,40.592,40.592,0,TMS
2025-03-28,40.592,40.592,40.592,40.592,0,TMS
2025-03-31,40.496,40.496,40.496,40.496,200,TMS
2025-04-01,39.73,40.496,39.73,40.401,1800,TMS
2025-04-02,40.688,43.225,40.401,40.784,27000,TMS
2025-04-03,40.784,40.784,40.688,40.784,4300,TMS
2025-04-04,38.294,40.592,38.294,40.592,4000,TMS
2025-04-08,37.768,40.209,37.768,37.816,1300,TMS
2025-04-09,35.183,40.305,35.183,35.422,6700,TMS
2025-04-10,35.757,37.864,35.757,37.864,20300,TMS
2025-04-11,40.209,40.496,40.209,40.305,1200,TMS
2025-04-14,39.73,40.688,37.529,40.305,2200,TMS
2025-04-15,39.252,40.209,38.965,40.161,11300,TMS
2025-04-16,40.209,40.209,40.113,40.113,500,TMS
2025-04-17,40.209,40.209,38.773,40.113,1400,TMS
2025-04-18,40.688,41.167,38.294,40.113,34100,TMS
2025-04-21,37.864,40.066,37.864,40.066,800,TMS
2025-04-22,37.481,40.066,37.481,40.066,700,TMS
2025-04-23,40.113,40.209,40.113,40.209,1000,TMS
2025-04-24,40.209,40.209,38.438,40.209,4400,TMS
2025-04-25,40.209,40.209,40.209,40.209,0,TMS
2025-04-28,40.161,40.209,40.161,40.209,2100,TMS
2025-04-29,39.252,40.161,39.252,40.161,600,TMS
2025-05-05,38.438,40.209,38.294,40.209,1600,TMS
2025-05-06,38.294,40.209,38.294,40.209,4700,TMS
2025-05-07,40.113,40.209,40.113,40.209,600,TMS
2025-05-08,40.209,40.209,40.209,40.209,0,TMS
2025-05-09,40.209,40.209,40.209,40.209,0,TMS
2025-05-12,39.73,39.73,39.73,39.73,500,TMS
2025-05-13,39.73,40.209,39.73,40.209,1000,TMS
2025-05-14,39.73,40.209,39.73,40.209,800,TMS
2025-05-15,38.342,40.209,38.294,40.209,8300,TMS
2025-05-16,40.209,40.209,40.209,40.209,300,TMS
2025-05-19,40.209,40.209,40.209,40.209,0,TMS
2025-05-20,40.209,40.209,40.209,40.209,0,TMS
2025-05-21,39.252,40.209,39.252,40.209,2400,TMS
2025-05-22,39.252,40.209,39.252,40.209,900,TMS
2025-05-23,40.209,40.209,40.209,40.209,0,TMS
2025-05-26,40.209,40.209,40.209,40.209,1000,TMS
2025-05-27,39.73,40.209,38.773,38.773,4800,TMS
2025-05-28,40.209,40.688,40.209,40.592,2400,TMS
2025-05-29,40.592,40.592,40.113,40.113,1100,TMS
2025-05-30,40.688,40.688,40.64,40.64,400,TMS
2025-06-02,39.587,40.64,38.534,40.64,1200,TMS
2025-06-03,38.438,40.592,38.438,40.592,1900,TMS
2025-06-04,40.448,40.592,40.448,40.592,2000,TMS
2025-06-05,40.592,40.592,40.592,40.592,0,TMS
2025-06-06,40.592,40.592,40.592,40.592,0,TMS
2025-06-09,38.438,40.401,38.438,40.401,3200,TMS
2025-06-10,40.401,40.401,40.401,40.401,1200,TMS
2025-06-11,40.401,40.401,40.401,40.401,0,TMS
2025-06-12,40.401,40.401,40.401,40.401,0,TMS
2025-06-13,39.06,39.06,39.06,39.06,100,TMS
2025-06-16,40.209,40.305,40.209,40.305,1600,TMS
2025-06-17,40.305,40.305,40.305,40.305,0,TMS
2025-06-18,39.252,40.209,39.252,40.209,800,TMS
2025-06-19,40.113,40.209,40.113,40.209,600,TMS
2025-06-20,39.252,40.209,39.252,40.209,2300,TMS
2025-06-23,40.209,40.209,39.252,40.209,4600,TMS
2025-06-24,39.73,40.209,39.73,40.209,10700,TMS
2025-06-25,40.209,40.209,40.209,40.209,0,TMS
2025-06-26,39.252,39.73,39.252,39.73,3800,TMS
2025-06-27,39.252,39.73,38.294,39.73,3700,TMS
2025-06-30,39.539,40.018,39.539,40.018,15100,TMS
2025-07-01,39.73,42.698,39.252,42.698,20700,TMS
2025-07-02,42.028,42.028,40.113,40.209,7600,TMS
2025-07-03,40.113,40.209,40.113,40.209,5700,TMS
2025-07-04,39.73,39.73,39.73,39.73,7200,TMS
2025-07-07,39.73,41.167,39.73,40.209,6600,TMS
2025-07-08,39.73,40.209,39.73,40.209,1400,TMS
2025-07-09,39.826,40.209,39.826,40.209,2200,TMS
2025-07-10,40.209,40.209,40.209,40.209,0,TMS
2025-07-11,40.209,40.209,40.209,40.209,300,TMS
2025-07-14,39.348,40.209,39.348,40.209,1400,TMS
2025-07-15,40.209,40.209,40.209,40.209,0,TMS
2025-07-16,40.209,40.209,40.209,40.209,0,TMS
2025-07-17,39.826,40.209,39.826,40.209,900,TMS
2025-07-18,40.209,40.209,39.97,40.209,2900,TMS
2025-07-21,40.209,40.209,39.97,40.209,1000,TMS
2025-07-22,40.209,40.209,40.209,40.209,300,TMS
2025-07-23,40.209,40.209,39.252,39.252,700,TMS
2025-07-24,40.209,40.688,40.161,40.209,6100,TMS
2025-07-25,40.209,40.209,40.209,40.209,0,TMS
2025-07-28,39.06,40.688,39.06,40.209,3000,TMS
2025-07-29,39.73,40.209,38.965,40.209,1100,TMS
2025-07-30,39.252,40.688,39.252,40.688,600,TMS
2025-07-31,40.688,40.688,40.113,40.209,900,TMS
2025-08-01,39.922,40.209,38.773,40.209,6500,TMS
2025-08-04,39.252,40.209,39.252,40.209,4100,TMS
2025-08-05,40.113,40.496,39.252,40.496,9600,TMS
2025-08-06,38.486,40.688,38.486,40.209,4000,TMS
2025-08-07,40.209,40.209,39.252,40.209,1200,TMS
2025-08-08,40.113,40.401,40.018,40.401,3500,TMS
2025-08-11,40.353,40.401,39.395,40.401,8500,TMS
2025-08-12,40.209,40.209,39.395,40.209,700,TMS
2025-08-13,39.443,40.401,39.443,40.401,900,TMS
2025-08-14,39.443,40.688,39.443,40.209,1200,TMS
2025-08-15,40.209,40.401,40.209,40.353,2100,TMS
2025-08-18,40.353,40.353,40.305,40.305,1100,TMS
2025-08-19,40.305,40.305,40.305,40.305,0,TMS
2025-08-20,39.252,40.257,38.965,40.257,4900,TMS
2025-08-21,40.209,40.209,39.443,40.209,1000,TMS
2025-08-22,40.209,40.209,39.06,40.209,3900,TMS
2025-08-25,40.161,40.209,40.113,40.209,400,TMS
2025-08-26,40.209,40.209,40.209,40.209,0,TMS
2025-08-27,39.252,40.209,39.252,40.209,1000,TMS
2025-08-28,39.348,40.209,38.869,40.209,500,TMS
2025-08-29,39.252,40.209,37.624,40.209,1600,TMS
2025-09-03,38.917,40.209,38.917,40.209,300,TMS
2025-09-04,40.018,40.209,40.018,40.209,1900,TMS
2025-09-05,40.209,40.209,39.73,40.209,1100,TMS
2025-09-08,39.252,40.209,38.39,40.209,11600,TMS
2025-09-09,40.209,40.209,40.209,40.209,1400,TMS
2025-09-10,40.209,40.209,39.3,40.209,4000,TMS
2025-09-11,40.113,40.209,40.113,40.209,500,TMS
2025-09-12,39.539,40.209,38.582,40.209,6800,TMS
2025-09-15,40.209,40.209,40.209,40.209,300,TMS
2025-09-16,39.348,40.209,39.252,40.209,9500,TMS
2025-09-17,39.348,40.209,39.252,40.209,7800,TMS
2025-09-18,39.348,40.209,38.869,40.209,11000,TMS
2025-09-19,38.965,40.209,38.965,40.113,2000,TMS
2025-09-22,38.869,40.018,38.39,39.826,9300,TMS
2025-09-23,38.486,40.209,38.39,40.209,3700,TMS
2025-09-24,39.922,40.113,39.922,40.113,3800,TMS
2025-09-25,39.06,40.113,38.486,40.113,10800,TMS
2025-09-26,38.869,40.113,38.773,40.113,1300,TMS
2025-09-29,40.113,40.113,38.773,40.018,9500,TMS
2025-09-30,38.869,40.018,38.677,40.018,6100,TMS
2025-10-01,39.012,40.018,38.869,40.018,7500,TMS
2025-10-02,40.209,40.209,39.97,39.97,4700,TMS
2025-10-03,39.97,39.97,38.869,39.97,5700,TMS
2025-10-06,39.73,40.018,39.73,40.018,1000,TMS
2025-10-07,39.97,40.209,39.97,40.209,3200,TMS
2025-10-08,40.688,40.975,40.113,40.688,1000,TMS
