time,open,high,low,close,volume,symbol
2025-02-10,17.088,17.74,17.088,17.262,1533200,TNH
2025-02-11,17.218,17.305,17.131,17.175,367100,TNH
2025-02-12,17.218,17.262,17.131,17.131,423000,TNH
2025-02-13,17.131,17.522,17.131,17.175,1096100,TNH
2025-02-14,17.175,17.305,17.131,17.131,476700,TNH
2025-02-17,17.131,17.653,17.131,17.175,692800,TNH
2025-02-18,17.131,17.609,17.131,17.218,355300,TNH
2025-02-19,17.218,17.566,17.218,17.349,568800,TNH
2025-02-20,17.479,18.522,17.392,18.522,2584300,TNH
2025-02-21,18.783,18.783,18.218,18.522,681200,TNH
2025-02-24,18.609,18.609,17.609,17.696,1633800,TNH
2025-02-25,17.696,17.696,17.131,17.218,1649600,TNH
2025-02-26,17.218,17.479,17.175,17.175,554800,TNH
2025-02-27,17.175,17.218,16.566,16.609,1801700,TNH
2025-02-28,16.609,16.696,16.305,16.479,985900,TNH
2025-03-03,16.479,16.783,16.348,16.566,466500,TNH
2025-03-04,16.609,16.783,16.392,16.479,675600,TNH
2025-03-05,16.479,17.001,16.175,16.87,2204300,TNH
2025-03-06,17.131,17.131,16.696,16.87,336700,TNH
2025-03-07,16.957,16.957,16.566,16.696,537100,TNH
2025-03-10,16.74,16.74,16.175,16.566,838200,TNH
2025-03-11,16.522,16.87,16.435,16.696,512500,TNH
2025-03-12,16.783,16.957,16.653,16.696,356700,TNH
2025-03-13,16.827,16.87,16.522,16.522,413500,TNH
2025-03-14,16.566,16.566,16.262,16.262,602200,TNH
2025-03-17,16.262,16.435,16.175,16.262,380600,TNH
2025-03-18,16.305,16.522,16.305,16.392,296300,TNH
2025-03-19,16.392,16.392,16.131,16.131,327700,TNH
2025-03-20,16.131,16.131,15.653,15.783,819300,TNH
2025-03-21,15.696,15.914,15.696,15.827,139700,TNH
2025-03-24,16.001,16.001,15.783,15.827,190200,TNH
2025-03-25,15.827,16.218,15.827,16.175,243700,TNH
2025-03-26,16.175,16.262,15.957,16.088,250700,TNH
2025-03-27,16.088,16.348,16.001,16.088,176000,TNH
2025-03-28,16.175,16.175,15.87,15.914,127500,TNH
2025-03-31,15.74,15.914,15.305,15.827,293700,TNH
2025-04-01,15.914,16.001,15.783,15.827,246500,TNH
2025-04-02,15.827,15.914,15.653,15.74,234900,TNH
2025-04-03,14.783,15.348,14.653,14.653,1301100,TNH
2025-04-04,13.653,14.174,13.653,14.088,1188200,TNH
2025-04-08,13.609,13.87,13.131,13.131,1491500,TNH
2025-04-09,12.261,14.044,12.261,13.131,820400,TNH
