time,open,high,low,close,volume,symbol
2025-02-10,72.921,72.921,71.974,71.974,3900,TRA
2025-02-11,71.974,72.921,71.595,72.447,500,TRA
2025-02-12,72.447,72.731,72.447,72.542,2400,TRA
2025-02-13,72.542,72.826,72.542,72.826,200,TRA
2025-02-14,72.731,72.731,72.447,72.731,4400,TRA
2025-02-17,72.163,72.163,71.974,71.974,5800,TRA
2025-02-18,71.974,71.974,71.974,71.974,600,TRA
2025-02-19,71.974,71.974,71.974,71.974,700,TRA
2025-02-20,71.974,73.205,71.5,71.5,1100,TRA
2025-02-21,71.5,72.826,71.5,71.974,27600,TRA
2025-02-24,71.974,74.246,71.974,72.921,1000,TRA
2025-02-25,72.068,72.068,71.974,71.974,500,TRA
2025-02-26,72.921,72.921,72.731,72.731,1200,TRA
2025-02-27,72.447,72.826,71.5,71.974,1200,TRA
2025-02-28,72.068,72.636,71.595,71.974,14600,TRA
2025-03-03,71.974,72.068,71.595,71.595,10700,TRA
2025-03-04,71.689,71.974,71.689,71.974,1100,TRA
2025-03-05,71.974,72.921,71.974,72.921,2800,TRA
2025-03-06,72.826,72.826,72.731,72.731,600,TRA
2025-03-07,71.974,72.826,71.974,72.826,14100,TRA
2025-03-10,71.974,72.921,71.974,72.068,700,TRA
2025-03-11,72.636,72.636,71.974,71.974,300,TRA
2025-03-12,71.974,71.974,71.974,71.974,300,TRA
2025-03-13,72.068,72.068,71.5,71.5,36300,TRA
2025-03-14,71.595,71.595,71.595,71.595,1600,TRA
2025-03-17,71.595,71.595,71.595,71.595,0,TRA
2025-03-18,71.595,71.595,71.595,71.595,0,TRA
2025-03-19,71.5,72.921,71.5,71.595,3400,TRA
2025-03-20,71.595,72.163,71.5,71.595,600,TRA
2025-03-21,71.5,72.731,71.405,71.405,600,TRA
2025-03-24,71.405,71.5,71.216,71.216,1600,TRA
2025-03-25,71.974,71.974,71.216,71.216,5500,TRA
2025-03-26,72.447,72.447,71.121,71.216,1200,TRA
2025-03-27,71.216,71.216,71.121,71.121,1900,TRA
2025-03-28,71.121,71.121,71.121,71.121,1000,TRA
2025-03-31,70.837,73.205,70.837,73.205,700,TRA
2025-04-01,72.826,72.826,70.553,70.553,800,TRA
2025-04-02,71.5,71.5,70.553,70.553,3100,TRA
2025-04-03,70.553,70.932,66.007,66.007,7000,TRA
2025-04-04,61.556,66.007,61.556,62.882,11300,TRA
2025-04-08,64.019,67.238,62.977,62.977,4000,TRA
2025-04-09,64.397,64.397,63.166,63.45,3500,TRA
2025-04-10,67.807,67.807,65.344,67.807,17900,TRA
2025-04-11,70.458,70.458,67.712,68.091,1900,TRA
2025-04-14,68.28,69.89,68.185,69.89,3500,TRA
2025-04-15,69.89,70.837,69.89,70.174,3800,TRA
2025-04-16,70.174,70.837,70.08,70.08,12700,TRA
2025-04-17,70.269,71.027,70.269,70.932,14000,TRA
2025-04-18,70.932,70.932,70.742,70.742,2500,TRA
2025-04-21,70.742,70.742,70.742,70.742,0,TRA
2025-04-22,70.742,70.932,70.174,70.932,11100,TRA
2025-04-23,70.458,70.932,70.364,70.932,13100,TRA
2025-04-24,71.027,71.027,70.932,71.027,4900,TRA
2025-04-25,71.027,72.921,71.027,71.5,5100,TRA
2025-04-28,71.595,71.595,69.227,69.606,1600,TRA
2025-04-29,70.08,70.553,70.08,70.458,1800,TRA
2025-05-05,70.458,70.458,70.458,70.458,0,TRA
2025-05-06,70.553,70.553,70.553,70.553,200,TRA
2025-05-07,70.08,70.08,69.133,69.133,14800,TRA
2025-05-08,69.606,71.027,69.133,69.133,8400,TRA
2025-05-09,70.837,70.837,70.742,70.742,500,TRA
2025-05-12,70.269,70.269,70.269,70.269,500,TRA
2025-05-13,69.133,70.553,69.133,69.417,9000,TRA
2025-05-14,70.932,70.932,70.648,70.932,600,TRA
2025-05-15,70.08,70.08,69.227,69.227,2200,TRA
2025-05-16,69.038,69.606,69.038,69.038,500,TRA
2025-05-19,69.038,70.837,68.943,68.943,4500,TRA
2025-05-20,68.375,68.375,68.375,68.375,100,TRA
2025-05-21,68.375,69.511,67.333,69.417,2100,TRA
2025-05-22,69.985,70.174,69.417,69.417,1000,TRA
2025-05-23,69.417,69.795,69.417,69.795,200,TRA
2025-05-26,69.795,69.89,69.795,69.795,27400,TRA
2025-05-27,69.795,69.89,69.795,69.89,600,TRA
2025-05-28,70.837,70.837,69.511,69.511,2600,TRA
2025-05-29,69.89,69.89,69.133,69.133,5400,TRA
2025-05-30,69.606,69.606,69.606,69.606,100,TRA
2025-06-02,69.606,69.606,67.996,68.185,4100,TRA
2025-06-03,68.185,68.659,68.091,68.185,15100,TRA
2025-06-04,68.28,68.28,68.091,68.185,2600,TRA
2025-06-05,68.185,68.185,68.185,68.185,1000,TRA
2025-06-06,68.564,69.322,68.091,68.091,9000,TRA
2025-06-09,68.28,69.133,68.185,68.185,8800,TRA
2025-06-10,69.701,69.701,68.185,69.133,5900,TRA
2025-06-11,69.133,70.932,69.133,69.133,10200,TRA
2025-06-12,69.133,69.133,68.659,69.133,6100,TRA
2025-06-13,68.743,68.841,68.354,68.451,5600,TRA
2025-06-16,68.841,68.841,66.991,68.062,5400,TRA
2025-06-17,68.841,68.841,68.062,68.062,1800,TRA
2025-06-18,67.185,67.283,66.991,66.991,6400,TRA
2025-06-19,68.159,68.159,66.893,66.991,1700,TRA
2025-06-20,66.893,66.991,66.893,66.991,2400,TRA
2025-06-23,66.991,66.991,66.212,66.309,5000,TRA
2025-06-24,68.159,68.159,66.212,66.212,2200,TRA
2025-06-25,66.212,66.212,66.114,66.212,2400,TRA
2025-06-26,66.212,66.212,66.212,66.212,1000,TRA
2025-06-27,66.212,66.991,65.725,65.725,9000,TRA
2025-06-30,65.725,66.796,65.433,65.725,3700,TRA
2025-07-01,65.725,65.725,65.627,65.627,4000,TRA
2025-07-02,65.433,66.212,65.433,65.53,6200,TRA
2025-07-03,65.627,65.627,65.433,65.433,5100,TRA
2025-07-04,65.433,66.212,65.433,65.433,4900,TRA
2025-07-07,65.53,65.725,65.238,65.238,9000,TRA
2025-07-08,65.238,67.185,65.238,65.433,3000,TRA
2025-07-09,66.698,66.698,65.822,66.212,1200,TRA
2025-07-10,66.212,66.796,66.212,66.698,1700,TRA
2025-07-11,66.893,67.477,66.893,67.38,6500,TRA
2025-07-14,67.672,67.672,67.38,67.38,1200,TRA
2025-07-15,67.38,67.38,66.698,67.088,1800,TRA
2025-07-16,67.088,67.185,66.698,66.698,1100,TRA
2025-07-17,66.698,67.088,66.698,67.088,1400,TRA
2025-07-18,66.796,66.796,64.264,66.796,4800,TRA
2025-07-21,67.185,67.185,67.185,67.185,300,TRA
2025-07-22,66.212,66.893,66.212,66.893,2200,TRA
2025-07-23,67.185,67.477,66.893,66.893,4200,TRA
2025-07-24,66.893,67.185,66.893,66.991,1500,TRA
2025-07-25,67.185,67.185,66.991,67.088,1700,TRA
2025-07-28,67.088,67.38,66.991,67.088,3100,TRA
2025-07-29,67.38,67.38,66.114,67.185,1300,TRA
2025-07-30,66.212,66.698,65.238,66.698,14800,TRA
2025-07-31,66.698,66.698,66.212,66.212,300,TRA
2025-08-01,66.017,66.017,65.238,65.433,1000,TRA
2025-08-04,65.53,67.088,65.433,66.893,1000,TRA
2025-08-05,66.212,66.698,66.212,66.698,3100,TRA
2025-08-06,66.406,66.796,66.212,66.212,800,TRA
2025-08-07,66.212,67.185,66.212,66.212,3000,TRA
2025-08-08,66.309,66.309,66.212,66.212,2800,TRA
2025-08-11,65.238,66.893,65.238,66.212,8300,TRA
2025-08-12,66.212,66.212,66.212,66.212,3600,TRA
2025-08-13,66.406,66.406,66.212,66.309,5500,TRA
2025-08-14,66.212,66.212,65.53,65.53,7800,TRA
2025-08-15,66.698,66.698,65.53,65.53,4800,TRA
2025-08-18,65.53,65.53,64.848,65.53,10800,TRA
2025-08-19,65.53,66.017,65.53,65.725,900,TRA
2025-08-20,65.53,65.627,65.433,65.433,1500,TRA
