time,open,high,low,close,volume,symbol
2025-02-10,12.905,12.905,12.619,12.715,1167900,TTA
2025-02-11,12.715,12.762,12.191,12.381,1688900,TTA
2025-02-12,12.143,12.286,12.048,12.048,1504600,TTA
2025-02-13,12.191,12.286,12.048,12.286,564200,TTA
2025-02-14,12.286,12.286,12.095,12.191,631000,TTA
2025-02-17,12.429,12.429,12.143,12.334,664000,TTA
2025-02-18,12.381,12.381,12.238,12.286,412200,TTA
2025-02-19,12.286,12.381,12.143,12.334,836100,TTA
2025-02-20,12.334,12.381,12.238,12.334,424600,TTA
2025-02-21,12.334,12.334,12.191,12.238,537900,TTA
2025-02-24,12.238,12.619,12.191,12.334,614300,TTA
2025-02-25,12.381,12.476,12.286,12.381,567000,TTA
2025-02-26,12.476,12.476,12.238,12.238,634900,TTA
2025-02-27,12.286,12.286,12.143,12.238,507600,TTA
2025-02-28,12.524,12.524,12.095,12.143,631100,TTA
2025-03-03,12.143,12.191,12.048,12.048,564100,TTA
2025-03-04,12.048,12.143,12.048,12.095,456900,TTA
2025-03-05,12.143,12.143,12.0,12.048,311200,TTA
2025-03-06,12.048,12.143,12.048,12.095,276100,TTA
2025-03-07,12.095,12.238,12.0,12.048,379500,TTA
2025-03-10,12.048,12.238,12.048,12.048,343400,TTA
2025-03-11,12.048,12.048,11.953,12.0,529700,TTA
2025-03-12,12.0,12.048,11.905,12.0,321500,TTA
2025-03-13,12.0,12.0,11.81,11.81,534200,TTA
2025-03-14,11.81,12.191,11.81,12.143,470200,TTA
2025-03-17,12.095,12.238,11.953,12.143,210800,TTA
2025-03-18,12.143,12.334,12.048,12.143,724600,TTA
2025-03-19,12.143,12.286,12.095,12.286,584600,TTA
2025-03-20,12.334,12.572,12.143,12.191,2130000,TTA
2025-03-21,12.238,12.238,12.0,12.143,380000,TTA
2025-03-24,12.191,12.381,11.953,12.286,1661600,TTA
2025-03-25,12.095,12.238,11.953,12.095,577100,TTA
2025-03-26,12.095,12.095,11.572,11.762,1227600,TTA
2025-03-27,11.905,11.905,11.572,11.762,280000,TTA
2025-03-28,11.572,11.715,11.334,11.381,933700,TTA
2025-03-31,11.381,11.429,11.143,11.191,530200,TTA
2025-04-01,11.191,11.238,11.143,11.143,284600,TTA
2025-04-02,11.143,11.286,11.095,11.143,295200,TTA
2025-04-03,10.857,10.953,10.381,10.381,1090400,TTA
2025-04-04,9.667,10.048,9.667,9.905,1506800,TTA
2025-04-08,9.295,9.714,9.219,9.219,1760500,TTA
2025-04-09,8.581,9.153,8.581,8.914,2008500,TTA
2025-04-10,9.524,9.524,9.524,9.524,99300,TTA
2025-04-11,10.095,10.095,9.495,9.667,2314300,TTA
2025-04-14,9.667,9.714,9.572,9.667,775900,TTA
2025-04-15,9.714,9.762,9.143,9.476,1299600,TTA
2025-04-16,9.476,9.524,9.305,9.343,626900,TTA
2025-04-17,9.448,9.448,9.324,9.429,454300,TTA
2025-04-18,9.467,9.667,9.419,9.524,1738200,TTA
2025-04-21,9.572,9.572,9.362,9.362,590400,TTA
2025-04-22,9.362,9.362,8.714,9.172,1058700,TTA
2025-04-23,9.353,9.429,9.048,9.248,399100,TTA
2025-04-24,9.257,9.343,9.2,9.343,475500,TTA
2025-04-25,9.334,9.505,9.286,9.343,547700,TTA
2025-04-28,9.381,9.419,9.286,9.343,407700,TTA
2025-04-29,9.362,9.905,9.343,9.667,663900,TTA
2025-05-05,9.857,9.905,9.619,9.905,575800,TTA
2025-05-06,9.953,9.953,9.714,9.714,285700,TTA
2025-05-07,9.619,9.905,9.619,9.81,456200,TTA
2025-05-08,9.905,9.905,9.714,9.762,333600,TTA
2025-05-09,9.81,10.0,9.81,9.857,1237300,TTA
2025-05-12,10.143,10.524,10.143,10.524,2554300,TTA
2025-05-13,10.857,10.857,10.381,10.429,614100,TTA
2025-05-14,10.715,10.762,10.238,10.381,833100,TTA
2025-05-15,10.286,10.334,10.143,10.334,797700,TTA
2025-05-16,10.334,10.381,10.238,10.334,476000,TTA
2025-05-19,10.286,10.381,10.191,10.238,573800,TTA
2025-05-20,10.286,10.286,10.095,10.143,849900,TTA
2025-05-21,10.191,10.238,10.0,10.191,607600,TTA
2025-05-22,10.191,10.286,10.095,10.191,703500,TTA
2025-05-23,10.286,10.286,10.048,10.095,463000,TTA
2025-05-26,10.191,10.286,10.0,10.286,537200,TTA
2025-05-27,10.286,10.572,10.238,10.476,1281400,TTA
2025-05-28,10.572,10.572,10.334,10.476,530900,TTA
2025-05-29,10.476,10.476,10.286,10.429,503000,TTA
2025-05-30,10.476,10.476,10.143,10.191,447600,TTA
2025-06-02,10.143,10.429,10.095,10.429,707000,TTA
2025-06-03,10.476,10.524,10.334,10.429,446200,TTA
2025-06-04,10.429,11.0,10.381,10.715,1308400,TTA
2025-06-05,10.619,10.715,10.476,10.715,492500,TTA
2025-06-06,10.667,10.715,10.381,10.619,933500,TTA
2025-06-09,10.381,10.476,10.286,10.429,877400,TTA
2025-06-10,10.286,10.429,10.286,10.286,438500,TTA
2025-06-11,10.286,10.381,10.143,10.238,940200,TTA
2025-06-12,10.238,10.334,10.238,10.238,231600,TTA
2025-06-13,10.143,10.286,10.095,10.238,575600,TTA
2025-06-16,10.238,10.334,10.143,10.334,580600,TTA
2025-06-17,10.381,10.381,10.286,10.334,369500,TTA
2025-06-18,10.334,10.381,10.238,10.238,293200,TTA
2025-06-19,10.238,10.238,10.143,10.191,234100,TTA
2025-06-20,10.238,10.286,10.143,10.191,361000,TTA
2025-06-23,10.143,10.334,10.143,10.334,718100,TTA
2025-06-24,10.334,10.334,10.238,10.286,548800,TTA
2025-06-25,10.286,10.334,10.238,10.238,1115900,TTA
2025-06-26,10.238,10.286,10.095,10.286,593900,TTA
2025-06-27,10.286,10.334,10.143,10.143,472800,TTA
2025-06-30,10.143,10.191,10.095,10.095,406000,TTA
2025-07-01,10.143,10.191,10.0,10.0,384900,TTA
2025-07-02,10.048,10.143,9.905,10.0,650400,TTA
2025-07-03,10.0,10.048,9.905,9.953,636900,TTA
2025-07-04,10.048,10.048,9.905,9.905,711000,TTA
2025-07-07,9.953,10.0,9.857,9.953,498300,TTA
2025-07-08,10.0,10.191,9.953,10.143,541900,TTA
2025-07-09,10.143,10.238,10.048,10.191,414800,TTA
2025-07-10,10.191,10.191,10.095,10.095,414600,TTA
2025-07-11,10.143,10.143,10.0,10.0,342300,TTA
2025-07-14,10.095,10.143,9.953,10.095,848900,TTA
2025-07-15,10.095,10.476,10.095,10.286,1404800,TTA
2025-07-16,10.286,10.667,10.238,10.619,1771700,TTA
2025-07-17,10.81,10.81,10.381,10.476,1052300,TTA
2025-07-18,10.524,10.905,10.334,10.905,2176300,TTA
2025-07-21,11.0,11.286,10.857,10.905,1506400,TTA
2025-07-22,10.905,10.953,10.715,10.715,920900,TTA
2025-07-23,10.81,11.048,10.762,10.81,1422600,TTA
