time,open,high,low,close,volume,symbol
2025-02-10,3.19,3.35,3.1,3.18,1758500,TTF
2025-02-11,3.21,3.23,3.16,3.17,588900,TTF
2025-02-12,3.22,3.22,3.13,3.14,732300,TTF
2025-02-13,3.14,3.16,3.14,3.14,351000,TTF
2025-02-14,3.14,3.19,3.13,3.17,1033000,TTF
2025-02-17,3.17,3.24,3.17,3.18,605700,TTF
2025-02-18,3.2,3.26,3.16,3.22,996700,TTF
2025-02-19,3.22,3.26,3.2,3.25,944000,TTF
2025-02-20,3.28,3.28,3.21,3.22,1149400,TTF
2025-02-21,3.23,3.23,3.18,3.19,863500,TTF
2025-02-24,3.19,3.22,3.17,3.2,652200,TTF
2025-02-25,3.2,3.25,3.16,3.19,1080000,TTF
2025-02-26,3.18,3.19,3.16,3.18,439500,TTF
2025-02-27,3.18,3.24,3.18,3.2,2005500,TTF
2025-02-28,3.21,3.4,3.2,3.2,4780000,TTF
2025-03-03,3.22,3.25,3.18,3.18,1715300,TTF
2025-03-04,3.17,3.2,3.1,3.11,2392600,TTF
2025-03-05,3.11,3.15,3.1,3.11,1045400,TTF
2025-03-06,3.13,3.15,3.1,3.15,457200,TTF
2025-03-07,3.13,3.16,3.12,3.15,618600,TTF
2025-03-10,3.15,3.18,3.13,3.14,1243800,TTF
2025-03-11,3.13,3.19,3.13,3.15,1136500,TTF
2025-03-12,3.15,3.19,3.15,3.16,988600,TTF
2025-03-13,3.16,3.18,3.14,3.14,1167100,TTF
2025-03-14,3.12,3.14,3.11,3.11,1790900,TTF
2025-03-17,3.1,3.15,3.1,3.11,888200,TTF
2025-03-18,3.11,3.15,3.1,3.13,885800,TTF
2025-03-19,3.12,3.14,3.11,3.12,650000,TTF
2025-03-20,3.12,3.13,3.1,3.12,733800,TTF
2025-03-21,3.12,3.12,3.1,3.1,610300,TTF
2025-03-24,3.1,3.15,3.09,3.11,869300,TTF
2025-03-25,3.13,3.15,3.1,3.12,777000,TTF
2025-03-26,3.12,3.15,3.08,3.1,1005000,TTF
2025-03-27,3.1,3.12,3.08,3.11,551200,TTF
2025-03-28,3.11,3.13,3.08,3.12,667400,TTF
2025-03-31,3.12,3.12,3.08,3.09,747200,TTF
2025-04-01,3.09,3.12,3.09,3.11,494500,TTF
2025-04-02,3.11,3.12,3.08,3.1,717800,TTF
2025-04-03,2.89,3.05,2.89,2.89,4205000,TTF
2025-04-04,2.69,2.69,2.69,2.69,1318600,TTF
2025-04-08,2.51,2.51,2.51,2.51,730000,TTF
2025-04-09,2.34,2.34,2.34,2.34,882100,TTF
2025-04-10,2.5,2.5,2.5,2.5,222500,TTF
2025-04-11,2.67,2.67,2.48,2.62,2929800,TTF
2025-04-14,2.64,2.65,2.53,2.57,1082700,TTF
2025-04-15,2.57,2.59,2.46,2.52,946300,TTF
2025-04-16,2.59,2.59,2.5,2.56,1108600,TTF
2025-04-17,2.54,2.54,2.47,2.51,579800,TTF
2025-04-18,2.51,2.59,2.5,2.54,954500,TTF
2025-04-21,2.54,2.56,2.47,2.51,662300,TTF
2025-04-22,2.51,2.53,2.34,2.38,1470800,TTF
2025-04-23,2.44,2.44,2.31,2.4,643400,TTF
2025-04-24,2.4,2.45,2.4,2.42,470700,TTF
2025-04-25,2.4,2.46,2.4,2.46,745200,TTF
2025-04-28,2.46,2.48,2.44,2.47,537800,TTF
2025-04-29,2.46,2.48,2.4,2.48,661400,TTF
2025-05-05,2.46,2.48,2.4,2.48,701273,TTF
2025-05-06,2.48,2.59,2.45,2.52,1372400,TTF
2025-05-07,2.52,2.54,2.5,2.51,617747,TTF
2025-05-08,2.51,2.56,2.51,2.54,765386,TTF
2025-05-09,2.54,2.56,2.54,2.54,421900,TTF
2025-05-12,2.53,2.58,2.52,2.55,393549,TTF
2025-05-13,2.57,2.59,2.55,2.57,615000,TTF
2025-05-14,2.56,2.6,2.55,2.59,829200,TTF
2025-05-15,2.59,2.6,2.55,2.55,550300,TTF
2025-05-16,2.56,2.59,2.53,2.53,595900,TTF
