time,open,high,low,close,volume,symbol
2025-02-10,15.108,15.395,15.026,15.026,84400,TVS
2025-02-11,15.026,15.149,15.026,15.067,33100,TVS
2025-02-12,15.067,15.149,15.067,15.067,27400,TVS
2025-02-13,14.985,15.108,14.904,15.067,22000,TVS
2025-02-14,15.149,15.313,15.149,15.272,99100,TVS
2025-02-17,15.477,15.559,15.149,15.272,115900,TVS
2025-02-18,15.272,15.395,15.231,15.231,52100,TVS
2025-02-19,15.477,15.968,15.395,15.804,175800,TVS
2025-02-20,16.009,16.296,16.009,16.009,184600,TVS
2025-02-21,16.009,16.009,15.6,15.968,40800,TVS
2025-02-24,15.968,16.337,15.804,16.296,115300,TVS
2025-02-25,16.378,16.541,16.214,16.459,171400,TVS
2025-02-26,16.459,16.582,16.255,16.5,114600,TVS
2025-02-27,16.5,16.541,16.173,16.541,112200,TVS
2025-02-28,16.582,16.992,16.296,16.296,158600,TVS
2025-03-03,16.296,16.582,16.132,16.459,93200,TVS
2025-03-04,16.337,16.541,16.05,16.337,103200,TVS
2025-03-05,16.664,16.664,16.214,16.296,56200,TVS
2025-03-06,16.378,16.664,16.296,16.664,141900,TVS
2025-03-07,16.787,16.91,16.664,16.787,112400,TVS
2025-03-10,16.828,16.992,16.541,16.582,211000,TVS
2025-03-11,16.337,16.623,16.337,16.623,98200,TVS
2025-03-12,16.623,16.787,16.459,16.623,118800,TVS
2025-03-13,16.705,16.705,16.378,16.378,206900,TVS
2025-03-14,16.541,16.541,16.296,16.419,81400,TVS
2025-03-17,16.419,16.869,16.419,16.664,108100,TVS
2025-03-18,16.623,16.787,16.255,16.296,146600,TVS
2025-03-19,16.337,16.541,16.296,16.378,78500,TVS
2025-03-20,16.582,16.664,16.337,16.378,76500,TVS
2025-03-21,16.378,16.459,16.255,16.459,56200,TVS
2025-03-24,16.296,16.378,16.214,16.214,188900,TVS
2025-03-25,16.337,16.459,16.214,16.214,67700,TVS
2025-03-26,16.132,16.378,16.009,16.05,193200,TVS
2025-03-27,16.009,16.05,15.886,16.009,51600,TVS
2025-03-28,16.132,16.132,15.845,15.886,76600,TVS
2025-03-31,15.559,15.763,15.559,15.559,115900,TVS
2025-04-01,15.559,15.722,15.518,15.722,65500,TVS
2025-04-02,15.6,15.845,15.6,15.845,113700,TVS
2025-04-03,15.19,15.231,14.74,14.74,350900,TVS
2025-04-04,13.716,14.003,13.716,13.921,292200,TVS
2025-04-08,12.979,13.102,12.979,12.979,208700,TVS
2025-04-09,12.078,12.693,12.078,12.078,292300,TVS
2025-04-10,12.897,12.897,12.897,12.897,92100,TVS
2025-04-11,13.266,13.675,12.897,13.43,304000,TVS
2025-04-14,13.675,14.085,13.552,13.757,282400,TVS
2025-04-15,13.839,13.839,13.389,13.634,283400,TVS
2025-04-16,13.839,14.085,13.511,13.716,148100,TVS
2025-04-17,13.634,13.757,13.511,13.634,77300,TVS
2025-04-18,14.085,14.085,13.675,13.675,292600,TVS
2025-04-21,13.43,13.511,12.938,13.02,254100,TVS
2025-04-22,12.529,13.348,12.529,13.348,105400,TVS
2025-04-23,13.511,13.511,13.061,13.511,29500,TVS
2025-04-24,13.88,13.88,13.348,13.634,75800,TVS
2025-04-25,13.716,13.716,13.634,13.675,16500,TVS
2025-04-28,13.839,13.839,13.471,13.798,26400,TVS
2025-04-29,13.471,13.757,13.471,13.593,31600,TVS
2025-05-05,13.921,14.167,13.675,13.757,50800,TVS
2025-05-06,14.085,14.126,13.839,14.126,63900,TVS
2025-05-07,14.044,14.248,14.044,14.248,102200,TVS
2025-05-08,14.248,14.453,14.126,14.453,126500,TVS
2025-05-09,14.494,14.535,14.33,14.33,29800,TVS
2025-05-12,14.494,14.494,14.289,14.412,24400,TVS
2025-05-13,14.494,14.535,14.248,14.494,28600,TVS
2025-05-14,14.863,14.863,14.33,14.494,59400,TVS
2025-05-15,14.74,14.74,14.494,14.658,49100,TVS
2025-05-16,14.74,14.985,14.658,14.658,174900,TVS
2025-05-19,14.33,14.617,14.33,14.412,22300,TVS
2025-05-20,14.412,14.74,14.289,14.617,29300,TVS
2025-05-21,14.617,14.617,14.33,14.576,34200,TVS
2025-05-22,14.576,14.576,14.371,14.412,58100,TVS
2025-05-23,14.412,14.699,14.371,14.412,24500,TVS
2025-05-26,14.289,14.535,14.044,14.535,34200,TVS
2025-05-27,14.535,14.617,14.412,14.535,35600,TVS
2025-05-28,14.617,14.617,14.412,14.535,34600,TVS
2025-05-29,14.494,15.026,14.453,14.781,65100,TVS
2025-05-30,14.781,14.945,14.576,14.74,20800,TVS
2025-06-02,14.576,14.74,14.371,14.576,28900,TVS
2025-06-03,14.658,14.945,14.658,14.74,252200,TVS
2025-06-04,14.945,14.945,14.658,14.74,96300,TVS
2025-06-05,14.658,14.822,14.494,14.658,83700,TVS
2025-06-06,14.74,14.74,14.371,14.371,69600,TVS
2025-06-09,14.371,14.494,14.33,14.33,33900,TVS
2025-06-10,14.248,14.33,14.167,14.33,68200,TVS
2025-06-11,14.33,14.412,14.33,14.33,38700,TVS
2025-06-12,14.33,14.453,14.289,14.289,41500,TVS
2025-06-13,14.085,14.289,14.044,14.167,170600,TVS
2025-06-16,14.167,14.412,14.167,14.412,49700,TVS
2025-06-17,14.453,14.576,14.33,14.453,100300,TVS
2025-06-18,14.412,14.412,14.248,14.248,39900,TVS
2025-06-19,14.248,14.33,14.167,14.33,97000,TVS
2025-06-20,14.248,14.33,14.248,14.33,45000,TVS
2025-06-23,14.003,14.33,14.003,14.289,69500,TVS
2025-06-24,14.453,14.453,14.289,14.371,89100,TVS
2025-06-25,14.33,14.412,14.289,14.289,80100,TVS
2025-06-26,14.289,14.33,14.248,14.33,24500,TVS
2025-06-27,14.33,14.371,14.248,14.371,70500,TVS
2025-06-30,14.371,14.412,14.33,14.33,51400,TVS
2025-07-01,14.371,14.453,14.289,14.371,27100,TVS
2025-07-02,14.371,14.617,14.208,14.535,93800,TVS
2025-07-03,14.576,14.985,14.453,14.576,265600,TVS
2025-07-04,14.699,14.699,14.535,14.576,65200,TVS
2025-07-07,14.617,15.026,14.617,14.863,311900,TVS
2025-07-08,14.904,15.067,14.822,14.904,142400,TVS
2025-07-09,15.067,15.395,14.985,15.231,114800,TVS
2025-07-10,15.231,15.559,15.231,15.272,147500,TVS
2025-07-11,15.395,15.477,15.149,15.313,102800,TVS
2025-07-14,15.313,15.559,15.149,15.354,120300,TVS
2025-07-15,15.354,15.886,15.19,15.6,365600,TVS
2025-07-16,15.6,15.845,15.518,15.682,123900,TVS
2025-07-17,15.886,15.886,15.067,15.272,766000,TVS
2025-07-18,15.19,15.477,15.149,15.19,142900,TVS
2025-07-21,15.559,15.763,15.231,15.231,110000,TVS
2025-07-22,15.231,15.927,15.231,15.927,359800,TVS
2025-07-23,16.173,16.378,15.968,16.132,434000,TVS
2025-07-24,16.214,16.337,15.804,16.05,161600,TVS
2025-07-25,15.886,16.378,15.886,16.173,260900,TVS
