time,open,high,low,close,volume,symbol
2025-02-10,188.457,188.457,186.011,186.011,200,VCF
2025-02-11,186.71,186.71,186.71,186.71,100,VCF
2025-02-12,186.622,186.622,183.652,184.001,2500,VCF
2025-02-13,186.448,196.146,184.176,184.438,800,VCF
2025-02-14,184.525,186.011,184.263,184.263,600,VCF
2025-02-17,184.351,184.351,184.351,184.351,100,VCF
2025-02-18,184.525,186.884,184.525,186.71,400,VCF
2025-02-19,186.622,186.622,185.05,185.05,1000,VCF
2025-02-20,186.011,186.011,183.652,183.826,1200,VCF
2025-02-21,184.089,185.137,184.089,184.438,2800,VCF
2025-02-24,184.788,184.788,184.788,184.788,100,VCF
2025-02-25,184.788,184.788,184.788,184.788,0,VCF
2025-02-26,185.923,185.923,185.923,185.923,100,VCF
2025-02-27,186.011,186.098,186.011,186.098,1500,VCF
2025-02-28,186.098,187.583,186.011,187.583,2900,VCF
2025-03-03,190.292,190.292,187.147,187.234,700,VCF
2025-03-04,185.399,185.399,185.399,185.399,100,VCF
2025-03-05,186.797,186.797,185.749,185.749,300,VCF
2025-03-06,185.836,186.797,185.836,186.011,500,VCF
2025-03-07,186.622,186.972,186.622,186.972,600,VCF
2025-03-10,183.564,191.253,183.564,186.273,1200,VCF
2025-03-11,187.409,187.409,186.622,186.622,1500,VCF
2025-03-12,186.71,189.506,186.71,187.059,1700,VCF
2025-03-13,187.933,198.33,187.933,191.428,10100,VCF
2025-03-14,192.301,192.301,192.301,192.301,200,VCF
2025-03-17,183.564,198.33,183.564,188.894,2300,VCF
2025-03-18,196.495,196.583,189.68,189.68,2000,VCF
2025-03-19,192.214,192.214,190.991,190.991,400,VCF
2025-03-20,193.961,193.961,189.506,189.506,200,VCF
2025-03-21,192.214,198.243,192.214,197.456,500,VCF
2025-03-24,192.301,192.301,192.301,192.301,100,VCF
2025-03-25,199.99,199.99,197.456,197.456,700,VCF
2025-03-26,194.748,194.748,194.748,194.748,100,VCF
2025-03-27,200.951,208.377,200.951,208.377,2900,VCF
2025-03-28,222.881,222.881,222.881,222.881,1600,VCF
2025-03-31,238.433,238.433,238.433,238.433,2500,VCF
2025-04-01,255.12,255.12,238.52,238.52,10700,VCF
2025-04-02,238.782,240.355,238.52,238.52,1000,VCF
2025-04-03,238.957,238.957,229.87,235.899,2100,VCF
2025-04-04,220.172,235.2,219.386,235.2,5500,VCF
2025-04-08,234.851,234.851,219.299,219.386,1000,VCF
2025-04-09,219.386,224.628,219.299,224.454,1700,VCF
2025-04-10,227.249,240.093,227.249,240.093,2700,VCF
2025-04-11,240.093,240.268,228.123,230.744,1500,VCF
2025-04-14,233.278,233.278,233.278,233.278,100,VCF
2025-04-15,233.278,233.365,227.599,227.599,1200,VCF
2025-04-16,240.18,243.413,231.967,232.666,2700,VCF
2025-04-17,231.618,235.899,231.531,232.142,600,VCF
2025-04-18,230.744,230.744,230.744,230.744,100,VCF
2025-04-21,233.453,242.801,233.453,242.801,1800,VCF
2025-04-22,242.889,243.762,234.152,240.268,500,VCF
2025-04-23,228.21,242.889,228.21,242.889,200,VCF
2025-04-24,243.762,246.383,236.86,236.86,400,VCF
2025-04-25,237.21,243.675,236.86,243.675,300,VCF
2025-04-28,247.17,247.17,243.675,243.762,1300,VCF
2025-04-29,244.636,244.636,243.762,244.636,800,VCF
2025-05-05,246.383,246.383,246.383,246.383,100,VCF
2025-05-06,251.626,253.373,251.626,253.373,3200,VCF
2025-05-07,253.548,258.528,253.548,254.684,3000,VCF
2025-05-08,254.684,254.684,254.684,254.684,0,VCF
2025-05-09,237.297,254.247,237.21,253.46,2100,VCF
2025-05-12,253.46,253.46,253.46,253.46,200,VCF
2025-05-13,254.247,254.247,253.46,253.46,1900,VCF
2025-05-14,253.373,254.684,253.373,254.334,500,VCF
2025-05-15,254.334,254.334,253.024,253.024,500,VCF
2025-05-16,250.839,252.499,250.49,250.49,1500,VCF
2025-05-19,236.773,250.49,236.773,249.441,800,VCF
2025-05-20,242.015,251.538,242.015,251.538,700,VCF
2025-05-21,251.538,251.538,251.538,251.538,0,VCF
2025-05-22,251.538,253.722,248.655,248.655,1100,VCF
2025-05-23,244.985,251.626,244.985,251.189,900,VCF
2025-05-26,248.218,251.189,248.218,251.189,1100,VCF
