time,open,high,low,close,volume,symbol
2025-02-10,18.184,18.453,17.961,18.14,7639800,VCG
2025-02-11,18.229,18.765,18.229,18.631,10571800,VCG
2025-02-12,18.676,19.391,18.631,19.257,15583600,VCG
2025-02-13,19.257,19.48,19.078,19.435,8838600,VCG
2025-02-14,19.525,19.525,19.123,19.212,8709800,VCG
2025-02-17,19.346,19.793,19.212,19.301,10886500,VCG
2025-02-18,19.301,19.48,19.123,19.435,7846100,VCG
2025-02-19,19.435,19.704,19.257,19.525,7110800,VCG
2025-02-20,19.614,19.659,19.167,19.212,6376500,VCG
2025-02-21,19.123,19.525,19.078,19.167,7651900,VCG
2025-02-24,19.301,19.435,19.078,19.167,6186100,VCG
2025-02-25,19.346,19.659,19.212,19.659,11533400,VCG
2025-02-26,19.659,20.016,19.301,19.301,9288200,VCG
2025-02-27,19.301,19.346,18.944,19.346,8845800,VCG
2025-02-28,19.435,19.435,19.033,19.078,7330800,VCG
2025-03-03,19.167,19.48,18.989,19.435,8889000,VCG
2025-03-04,19.391,19.838,19.257,19.57,12382200,VCG
2025-03-05,19.614,19.704,19.212,19.212,5294600,VCG
2025-03-06,19.212,19.659,19.167,19.659,8352000,VCG
2025-03-07,19.748,19.927,19.301,19.301,10695500,VCG
2025-03-10,19.301,19.614,19.301,19.391,7640500,VCG
2025-03-11,19.257,20.195,19.212,19.838,19470100,VCG
2025-03-12,19.882,19.882,19.57,19.748,6970300,VCG
2025-03-13,19.793,19.838,18.587,18.676,25036800,VCG
2025-03-14,18.587,18.765,18.408,18.676,13411100,VCG
2025-03-17,18.765,18.855,18.587,18.676,4955800,VCG
2025-03-18,18.81,18.855,18.319,18.319,6399800,VCG
2025-03-19,18.274,18.631,18.274,18.587,8320700,VCG
2025-03-20,18.676,19.033,18.453,18.765,6752500,VCG
2025-03-21,18.765,19.033,18.631,18.721,4596600,VCG
2025-03-24,18.721,19.033,18.676,18.855,4289200,VCG
2025-03-25,18.855,18.899,18.721,18.721,5696700,VCG
2025-03-26,18.765,19.078,18.721,18.81,6300400,VCG
2025-03-27,18.899,19.033,18.765,18.81,3494600,VCG
2025-03-28,18.855,19.257,18.721,18.944,7676500,VCG
2025-03-31,18.899,19.57,18.81,19.435,13260900,VCG
2025-04-01,19.48,19.614,19.346,19.48,5036600,VCG
2025-04-02,19.614,19.927,19.301,19.346,8104800,VCG
2025-04-03,18.408,19.123,18.006,18.006,20166600,VCG
2025-04-04,17.246,18.899,17.246,18.497,17274800,VCG
2025-04-08,18.05,18.184,17.246,17.246,11827000,VCG
2025-04-09,16.129,17.559,16.129,16.263,12985900,VCG
2025-04-10,17.38,17.38,17.38,17.38,216600,VCG
2025-04-11,17.872,18.587,17.604,18.587,16900800,VCG
2025-04-14,18.899,19.391,18.676,19.391,12087500,VCG
