time,open,high,low,close,volume,symbol
2025-02-10,47.64,48.116,47.259,47.354,920900,VGC
2025-02-11,48.021,48.593,47.354,48.307,741600,VGC
2025-02-12,48.498,49.069,48.402,48.593,772300,VGC
2025-02-13,48.688,48.688,47.497,48.307,971800,VGC
2025-02-14,48.498,48.974,48.116,48.783,900700,VGC
2025-02-17,49.069,49.069,48.116,48.212,895000,VGC
2025-02-18,48.021,48.593,47.64,48.593,1043100,VGC
2025-02-19,49.069,50.88,48.783,50.498,1568200,VGC
2025-02-20,50.498,50.88,50.022,50.117,572600,VGC
2025-02-21,50.308,50.689,50.022,50.308,717000,VGC
2025-02-24,50.594,50.689,49.927,50.403,605800,VGC
2025-02-25,50.498,50.689,48.974,49.355,1419200,VGC
2025-02-26,49.355,50.498,49.355,50.117,918400,VGC
2025-02-27,50.117,50.117,48.783,49.736,801300,VGC
2025-02-28,49.546,50.308,49.164,49.641,888400,VGC
2025-03-03,49.641,50.117,49.26,49.546,553700,VGC
2025-03-04,49.736,50.213,46.592,49.164,2850400,VGC
2025-03-05,49.26,49.26,46.973,46.973,1547800,VGC
2025-03-06,47.354,48.307,46.973,48.307,1380400,VGC
2025-03-07,47.831,48.402,47.354,47.735,1155800,VGC
2025-03-10,47.926,48.402,47.259,47.831,849600,VGC
2025-03-11,47.64,47.831,46.973,47.831,835000,VGC
2025-03-12,48.021,50.117,47.64,49.736,2347700,VGC
2025-03-13,49.927,49.927,48.498,48.879,1033300,VGC
2025-03-14,48.593,49.45,47.926,48.498,987200,VGC
2025-03-17,48.402,48.974,47.926,48.307,748400,VGC
2025-03-18,48.498,49.26,48.116,48.974,858400,VGC
2025-03-19,48.879,49.26,48.307,49.069,653300,VGC
2025-03-20,49.069,50.689,48.879,49.546,1944600,VGC
2025-03-21,49.641,49.831,48.783,49.26,574600,VGC
2025-03-24,49.546,49.546,48.402,48.498,948900,VGC
2025-03-25,48.498,49.164,48.402,48.974,1058000,VGC
2025-03-26,49.164,49.26,47.64,48.021,810700,VGC
2025-03-27,48.021,48.116,47.592,47.592,1161300,VGC
2025-03-28,47.497,47.497,45.734,46.211,1593900,VGC
2025-03-31,45.687,46.687,45.687,46.687,730500,VGC
2025-04-01,46.687,48.021,46.401,46.925,648200,VGC
2025-04-02,47.259,47.545,46.592,46.592,419500,VGC
2025-04-03,43.352,44.686,43.352,43.352,1123000,VGC
2025-04-04,40.351,40.351,40.351,40.351,456500,VGC
2025-04-08,37.54,37.54,37.54,37.54,207200,VGC
2025-04-09,34.92,34.92,34.92,34.92,412500,VGC
2025-04-10,37.35,37.35,37.35,37.35,596400,VGC
2025-04-11,37.397,37.445,34.777,36.492,2908200,VGC
2025-04-14,39.017,39.017,38.588,39.017,1389700,VGC
2025-04-15,39.065,41.399,38.255,38.922,1939400,VGC
2025-04-16,38.922,40.018,38.445,39.017,1211600,VGC
2025-04-17,38.255,38.97,37.159,38.827,591800,VGC
2025-04-18,39.446,40.97,38.588,40.018,1310200,VGC
2025-04-21,39.827,39.97,38.017,38.112,720700,VGC
2025-04-22,38.112,38.112,35.444,35.587,1850500,VGC
2025-04-23,37.493,37.493,35.635,37.112,948000,VGC
2025-04-24,38.112,39.065,37.397,37.779,697600,VGC
2025-04-25,37.064,38.684,37.064,37.779,682000,VGC
2025-04-28,37.779,38.064,37.254,37.445,461200,VGC
2025-04-29,37.445,37.921,37.302,37.445,249600,VGC
2025-05-05,37.921,38.874,37.588,38.636,464800,VGC
2025-05-06,38.731,39.827,38.112,38.445,543400,VGC
2025-05-07,38.445,39.494,38.207,39.303,785500,VGC
2025-05-08,39.922,41.923,39.732,41.923,1538100,VGC
2025-05-09,42.018,42.352,41.066,42.066,956600,VGC
2025-05-12,42.161,42.876,41.876,42.876,896400,VGC
2025-05-13,42.876,44.21,42.638,44.21,1030000,VGC
2025-05-14,44.353,44.4,43.352,43.638,631300,VGC
2025-05-15,43.686,43.829,42.971,43.829,626200,VGC
2025-05-16,43.876,44.543,43.686,43.924,717500,VGC
2025-05-19,43.924,43.924,42.971,43.305,513600,VGC
2025-05-20,43.305,43.829,42.4,42.638,859100,VGC
2025-05-21,42.781,42.781,39.684,42.209,809000,VGC
2025-05-22,42.161,43.638,41.733,42.352,1171300,VGC
2025-05-23,42.543,42.543,40.923,41.018,959900,VGC
2025-05-26,41.637,43.734,40.161,42.876,1196800,VGC
2025-05-27,43.829,43.829,42.4,43.114,1290000,VGC
2025-05-28,43.114,43.781,42.876,42.876,1059200,VGC
2025-05-29,43.591,44.639,42.971,43.114,1137600,VGC
2025-05-30,42.971,43.352,41.828,41.828,853800,VGC
2025-06-02,41.923,42.4,41.161,41.923,571000,VGC
2025-06-03,42.495,43.257,41.923,42.876,679700,VGC
2025-06-04,43.305,43.734,42.685,43.305,1204900,VGC
2025-06-05,43.829,45.21,43.448,45.21,2116100,VGC
2025-06-06,45.21,45.258,43.543,43.543,1188100,VGC
2025-06-09,43.448,43.543,41.542,41.923,1127000,VGC
2025-06-10,41.923,42.59,40.97,41.685,702400,VGC
2025-06-11,42.4,42.4,41.542,41.685,375300,VGC
2025-06-12,42.304,42.781,42.161,42.685,521400,VGC
2025-06-13,41.876,42.304,41.161,41.352,642600,VGC
2025-06-16,40.97,41.78,40.875,41.59,541300,VGC
2025-06-17,41.923,42.257,41.685,41.78,350300,VGC
2025-06-18,41.923,42.209,41.59,41.637,446700,VGC
2025-06-19,41.637,42.209,41.447,41.828,523000,VGC
2025-06-20,41.923,42.114,41.304,41.352,462100,VGC
2025-06-23,41.352,42.781,40.589,42.304,776100,VGC
2025-06-24,42.447,43.162,42.304,42.781,1027200,VGC
2025-06-25,42.781,43.114,42.495,42.876,769900,VGC
2025-06-26,42.924,43.209,42.638,42.971,506700,VGC
2025-06-27,43.352,43.734,42.781,43.162,551900,VGC
