time,open,high,low,close,volume,symbol
2025-02-10,46.35,46.35,44.458,44.458,7129,VGG
2025-02-11,44.742,45.404,44.458,45.31,19800,VGG
2025-02-12,44.742,44.742,44.742,44.742,301,VGG
2025-02-13,45.404,45.404,44.931,44.931,1601,VGG
2025-02-14,46.35,47.012,46.35,46.823,16380,VGG
2025-02-17,46.634,48.999,46.634,47.202,21414,VGG
2025-02-18,46.35,47.107,45.877,46.35,9204,VGG
2025-02-19,47.675,47.675,46.066,46.35,12020,VGG
2025-02-20,46.35,46.35,45.499,46.35,5140,VGG
2025-02-21,45.972,45.972,45.688,45.972,10621,VGG
2025-02-24,45.783,46.35,45.783,45.972,13616,VGG
2025-02-25,46.256,47.485,46.256,47.296,54944,VGG
2025-02-26,47.202,47.202,46.823,46.823,3400,VGG
2025-02-27,46.918,46.918,45.972,46.539,10110,VGG
2025-02-28,46.35,46.35,46.066,46.066,9100,VGG
2025-03-03,46.35,46.823,45.594,45.972,7870,VGG
2025-03-04,46.161,46.161,45.877,46.161,6124,VGG
2025-03-05,46.161,46.161,45.972,45.972,2728,VGG
2025-03-06,45.972,45.972,45.972,45.972,800,VGG
2025-03-07,46.539,46.539,45.972,45.972,1800,VGG
2025-03-10,46.066,46.066,45.404,45.404,12800,VGG
2025-03-11,45.594,45.594,45.404,45.404,6002,VGG
2025-03-12,45.594,45.594,45.404,45.404,13930,VGG
2025-03-13,46.161,46.161,45.688,45.688,300,VGG
2025-03-14,45.877,45.877,43.796,45.121,25102,VGG
2025-03-17,45.404,45.404,44.458,44.553,2900,VGG
2025-03-18,44.837,44.931,44.648,44.648,1930,VGG
2025-03-19,44.837,45.121,44.648,45.121,2100,VGG
2025-03-20,44.837,44.837,44.742,44.837,2300,VGG
2025-03-21,44.742,44.837,44.648,44.837,1500,VGG
2025-03-24,46.161,46.161,45.121,45.121,2800,VGG
2025-03-25,45.215,45.215,44.742,44.742,22003,VGG
2025-03-26,46.634,46.634,46.634,46.634,110,VGG
2025-03-27,45.783,45.783,45.499,45.499,200,VGG
2025-03-28,45.499,45.499,44.458,44.458,3100,VGG
2025-03-31,44.648,44.931,43.985,43.985,30800,VGG
2025-04-01,44.458,44.458,43.512,43.512,56400,VGG
2025-04-02,44.364,44.364,43.512,44.364,7000,VGG
2025-04-03,37.837,43.512,37.364,37.364,45918,VGG
2025-04-04,36.891,37.837,35.945,37.742,29201,VGG
2025-04-08,37.742,37.742,31.215,31.688,32800,VGG
2025-04-09,31.688,32.161,31.215,31.688,63700,VGG
2025-04-10,36.323,36.418,36.323,36.418,7230,VGG
2025-04-11,38.31,39.729,35.945,35.945,10910,VGG
2025-04-14,36.702,36.702,36.513,36.702,8266,VGG
2025-04-15,36.702,36.891,36.418,36.702,17408,VGG
2025-04-16,36.513,36.891,36.513,36.513,2034,VGG
2025-04-17,36.607,36.607,36.607,36.607,600,VGG
2025-04-18,36.891,38.688,36.891,37.837,2566,VGG
2025-04-21,36.986,38.31,36.418,37.742,902,VGG
2025-04-22,37.08,37.364,35.945,35.945,12902,VGG
2025-04-23,36.418,37.837,36.418,37.837,300,VGG
2025-04-24,38.594,38.594,36.513,37.364,2010,VGG
2025-04-25,38.499,38.499,37.742,37.837,7500,VGG
