time,open,high,low,close,volume,symbol
2025-02-10,89.172,89.172,82.732,84.515,1739319,VGI
2025-02-11,84.119,85.407,83.227,85.209,515150,VGI
2025-02-12,85.209,86.398,84.912,85.506,457906,VGI
2025-02-13,85.605,85.605,83.723,83.921,594944,VGI
2025-02-14,84.119,85.407,83.822,85.011,469344,VGI
2025-02-17,84.713,85.407,82.633,82.831,824484,VGI
2025-02-18,83.227,83.524,82.335,83.227,432156,VGI
2025-02-19,83.227,84.218,83.227,84.218,308954,VGI
2025-02-20,85.11,85.11,83.326,83.723,341425,VGI
2025-02-21,83.723,83.723,83.029,83.128,369144,VGI
2025-02-24,82.732,83.128,77.282,79.759,1559674,VGI
2025-02-25,80.156,80.255,77.679,78.273,915154,VGI
2025-02-26,78.273,82.236,78.273,80.948,694508,VGI
2025-02-27,81.741,81.741,79.165,80.057,399585,VGI
2025-02-28,80.156,81.543,79.462,80.948,590509,VGI
2025-03-03,81.246,82.435,80.75,82.236,556137,VGI
2025-03-04,72.427,82.534,72.427,81.642,574657,VGI
2025-03-05,82.236,82.236,80.849,81.246,400864,VGI
2025-03-06,81.246,82.137,80.849,81.939,433278,VGI
2025-03-07,81.939,82.831,81.543,82.038,410922,VGI
2025-03-10,81.939,82.732,80.453,80.75,438470,VGI
2025-03-11,80.75,80.75,78.769,79.858,567740,VGI
2025-03-12,79.958,80.453,78.57,78.967,657834,VGI
2025-03-13,78.967,79.858,78.075,78.471,483412,VGI
2025-03-14,78.868,78.868,76.292,76.49,679424,VGI
2025-03-17,76.49,76.886,73.616,75.202,702244,VGI
2025-03-18,75.301,77.381,74.112,76.985,398448,VGI
2025-03-19,77.778,77.778,75.499,75.499,287810,VGI
2025-03-20,75.499,76.193,74.904,76.093,212253,VGI
2025-03-21,77.778,77.976,75.598,77.084,325010,VGI
2025-03-24,77.084,77.282,75.301,76.886,196528,VGI
2025-03-25,76.589,76.886,75.895,75.994,291568,VGI
2025-03-26,76.193,77.084,75.895,76.193,280207,VGI
2025-03-27,76.292,76.292,74.904,75.301,262200,VGI
2025-03-28,75.499,75.697,74.211,74.31,291879,VGI
2025-03-31,74.31,74.31,69.95,72.328,1033902,VGI
2025-04-01,70.347,72.427,70.347,70.743,294876,VGI
2025-04-02,70.743,72.328,70.743,71.734,302621,VGI
2025-04-03,70.347,71.338,60.934,61.331,1571587,VGI
2025-04-04,62.817,63.51,53.999,62.718,1035003,VGI
2025-04-08,62.718,63.411,53.9,54.989,1038310,VGI
2025-04-09,55.485,59.448,51.323,55.683,813614,VGI
2025-04-10,63.213,63.808,60.934,63.808,165102,VGI
2025-04-11,71.338,72.328,63.808,67.672,1185887,VGI
2025-04-14,67.87,69.356,66.384,67.573,424641,VGI
2025-04-15,68.068,68.167,64.402,65.294,613198,VGI
2025-04-16,65.888,65.888,64.105,64.204,419172,VGI
2025-04-17,64.204,64.204,62.42,63.808,330387,VGI
2025-04-18,62.916,65.888,62.916,64.798,341730,VGI
2025-04-21,64.798,65.393,63.708,64.006,173860,VGI
2025-04-22,63.808,63.808,56.575,62.222,660442,VGI
2025-04-23,62.222,67.87,62.024,66.879,710307,VGI
2025-04-24,66.879,71.932,66.78,68.762,844094,VGI
2025-04-25,68.861,69.653,66.978,67.672,460423,VGI
2025-04-28,67.573,70.05,67.374,67.473,350631,VGI
2025-04-29,68.068,68.068,66.285,67.374,274272,VGI
2025-05-05,68.365,69.356,66.483,67.771,206620,VGI
2025-05-06,67.771,70.347,67.771,69.455,806078,VGI
2025-05-07,69.455,69.95,68.662,69.059,278175,VGI
2025-05-08,69.356,69.95,68.365,69.356,408771,VGI
2025-05-09,69.356,70.347,69.158,69.752,548905,VGI
2025-05-12,69.851,70.545,69.059,69.653,359881,VGI
2025-05-13,69.653,70.743,69.653,69.95,486676,VGI
2025-05-14,70.347,72.626,69.851,72.427,1029657,VGI
2025-05-15,72.824,72.824,71.239,71.833,435422,VGI
2025-05-16,71.338,72.824,70.248,71.536,675567,VGI
2025-05-19,71.536,71.536,69.554,69.95,443940,VGI
2025-05-20,69.95,70.347,69.158,69.554,486319,VGI
2025-05-21,70.248,70.347,67.87,68.365,645111,VGI
2025-05-22,68.464,68.762,67.275,67.374,621772,VGI
2025-05-23,67.672,69.257,67.374,67.672,322071,VGI
2025-05-26,67.672,68.861,66.879,68.861,378838,VGI
2025-05-27,69.158,69.158,67.771,68.266,283970,VGI
2025-05-28,68.365,68.762,67.573,67.969,287984,VGI
2025-05-29,68.167,69.158,67.87,68.167,272641,VGI
2025-05-30,68.563,68.563,67.176,67.374,339755,VGI
2025-06-02,66.582,67.473,66.384,67.176,317460,VGI
2025-06-03,66.78,67.771,66.78,67.374,262779,VGI
2025-06-04,67.473,68.762,67.473,68.662,604796,VGI
2025-06-05,68.662,70.842,68.662,70.545,849592,VGI
2025-06-06,70.545,72.626,69.95,70.149,732067,VGI
2025-06-09,70.248,70.347,68.365,68.762,442814,VGI
2025-06-10,69.158,72.328,68.365,71.04,912124,VGI
2025-06-11,71.239,76.886,70.644,75.301,2024648,VGI
2025-06-12,75.499,77.084,73.319,74.211,752484,VGI
2025-06-13,74.211,74.409,70.446,71.536,1319879,VGI
2025-06-16,71.536,74.013,70.545,73.716,675469,VGI
2025-06-17,73.815,74.013,72.427,72.923,499750,VGI
2025-06-18,73.22,73.616,71.635,71.932,668879,VGI
