time,open,high,low,close,volume,symbol
2025-02-10,13.462,13.462,12.698,12.793,1888824,VGT
2025-02-11,12.793,12.984,12.602,12.889,1308667,VGT
2025-02-12,12.793,12.889,12.698,12.889,794785,VGT
2025-02-13,12.889,13.08,12.793,12.984,1105528,VGT
2025-02-14,12.984,13.366,12.984,13.175,1704677,VGT
2025-02-17,13.271,13.366,13.08,13.175,1010248,VGT
2025-02-18,13.08,13.271,12.984,13.175,1286097,VGT
2025-02-19,13.175,13.271,12.984,13.175,808162,VGT
2025-02-20,13.08,13.271,13.08,13.271,1096123,VGT
2025-02-21,13.175,13.366,13.08,13.175,707978,VGT
2025-02-24,13.08,13.175,12.984,13.175,974934,VGT
2025-02-25,13.08,13.175,12.889,13.08,1122520,VGT
2025-02-26,12.984,13.08,12.889,13.08,840531,VGT
2025-02-27,13.08,13.08,12.889,13.08,746204,VGT
2025-02-28,13.08,13.462,12.984,13.462,2510944,VGT
2025-03-03,13.462,13.843,13.366,13.557,2316386,VGT
2025-03-04,13.462,13.557,13.175,13.366,1743077,VGT
2025-03-05,13.271,13.462,12.984,12.984,1104391,VGT
2025-03-06,13.175,13.271,12.984,13.271,1091849,VGT
2025-03-07,13.271,13.366,13.08,13.08,894708,VGT
2025-03-10,13.175,13.175,12.984,13.08,714438,VGT
2025-03-11,13.08,13.08,12.889,12.984,1245054,VGT
2025-03-12,12.984,13.175,12.889,12.984,1107242,VGT
2025-03-13,13.08,13.271,12.889,13.08,838841,VGT
2025-03-14,13.08,13.08,12.793,12.889,951414,VGT
2025-03-17,12.889,12.984,12.793,12.984,583369,VGT
2025-03-18,13.462,13.462,12.889,13.08,1050938,VGT
2025-03-19,13.08,13.08,12.889,12.984,534031,VGT
2025-03-20,13.08,13.175,12.793,12.889,1090819,VGT
2025-03-21,12.984,12.984,12.698,12.889,942889,VGT
2025-03-24,12.889,12.889,12.602,12.793,705651,VGT
2025-03-25,12.698,12.889,12.698,12.793,534309,VGT
2025-03-26,12.793,12.793,12.602,12.793,402130,VGT
2025-03-27,12.698,12.793,12.698,12.793,436932,VGT
2025-03-28,12.793,12.793,12.507,12.602,541134,VGT
2025-03-31,12.507,12.602,12.125,12.22,1388300,VGT
2025-04-01,12.316,12.411,12.125,12.125,371560,VGT
2025-04-02,12.22,12.316,12.125,12.125,460177,VGT
2025-04-03,10.406,12.029,10.406,10.406,3509013,VGT
2025-04-04,9.643,10.12,9.07,9.356,2611672,VGT
2025-04-08,9.356,9.356,7.829,7.829,3239644,VGT
2025-04-09,6.874,7.924,6.874,7.733,2292857,VGT
2025-04-10,8.115,8.592,8.115,8.592,102783,VGT
2025-04-11,9.547,9.834,8.879,9.643,2901007,VGT
2025-04-14,9.834,10.025,9.452,9.834,923192,VGT
2025-04-15,9.834,9.929,9.165,9.356,832266,VGT
2025-04-16,9.356,9.452,9.165,9.261,475722,VGT
2025-04-17,9.261,9.261,8.879,9.07,520358,VGT
2025-04-18,9.165,9.356,9.07,9.165,676332,VGT
2025-04-21,9.356,9.356,8.974,9.165,231095,VGT
2025-04-22,9.165,9.165,8.497,8.879,1556632,VGT
2025-04-23,8.974,9.165,8.879,9.07,246535,VGT
2025-04-24,9.165,9.547,9.165,9.356,763275,VGT
2025-04-25,9.356,9.356,9.261,9.261,159941,VGT
2025-04-28,9.356,9.356,9.07,9.165,207026,VGT
2025-04-29,9.07,9.165,8.974,9.07,578628,VGT
2025-05-05,9.261,9.261,9.07,9.261,558686,VGT
2025-05-06,9.356,9.738,9.356,9.547,929883,VGT
2025-05-07,9.547,9.834,9.452,9.738,602614,VGT
2025-05-08,9.643,9.834,9.643,9.834,644285,VGT
2025-05-09,9.738,9.834,9.547,9.643,719557,VGT
2025-05-12,9.738,10.025,9.643,10.025,1048077,VGT
2025-05-13,10.025,10.311,10.025,10.216,1016038,VGT
2025-05-14,10.216,10.311,9.929,10.12,896298,VGT
2025-05-15,10.12,10.12,9.834,10.025,796571,VGT
2025-05-16,9.929,10.025,9.834,9.834,408935,VGT
2025-05-19,9.929,9.929,9.643,9.738,495439,VGT
2025-05-20,9.738,10.025,9.643,9.929,660033,VGT
2025-05-21,9.929,10.025,9.643,9.834,506368,VGT
2025-05-22,9.834,9.929,9.738,9.738,380513,VGT
2025-05-23,9.834,9.834,9.643,9.643,313252,VGT
2025-05-26,9.643,11.17,9.643,11.17,4487692,VGT
2025-05-27,11.266,11.934,11.266,11.552,2052288,VGT
2025-05-28,11.648,11.648,10.979,11.17,1774543,VGT
2025-05-29,11.17,11.552,10.979,11.266,1361417,VGT
2025-05-30,11.17,11.17,10.788,10.979,917342,VGT
2025-06-02,10.884,10.884,10.597,10.788,926070,VGT
2025-06-03,10.884,11.075,10.788,11.075,998497,VGT
2025-06-04,11.075,11.17,10.884,10.979,876543,VGT
2025-06-05,10.979,11.075,10.788,10.979,714519,VGT
2025-06-06,10.979,11.266,10.884,10.979,735622,VGT
2025-06-09,11.075,11.075,10.693,10.693,685945,VGT
2025-06-10,10.693,11.075,10.693,10.884,531666,VGT
2025-06-11,10.884,10.979,10.693,10.884,489601,VGT
2025-06-12,10.884,11.075,10.788,10.979,547483,VGT
2025-06-13,10.788,10.979,10.406,10.693,1093354,VGT
2025-06-16,10.693,11.075,10.597,11.075,878620,VGT
2025-06-17,11.075,11.266,10.884,11.075,1139842,VGT
2025-06-18,11.075,11.075,10.788,10.979,538445,VGT
2025-06-19,10.979,11.17,10.884,10.979,938414,VGT
2025-06-20,10.979,11.552,10.788,11.457,2254913,VGT
2025-06-23,11.361,11.934,11.361,11.552,2660217,VGT
2025-06-24,11.552,12.411,11.457,11.934,3722536,VGT
2025-06-25,12.029,12.22,11.743,11.934,2347621,VGT
2025-06-26,11.934,12.22,11.743,11.934,1074694,VGT
2025-06-27,11.934,12.316,11.839,11.934,2618082,VGT
2025-06-30,12.125,12.125,11.743,11.839,1482950,VGT
2025-07-01,11.934,12.22,11.839,12.029,1423524,VGT
2025-07-02,12.125,12.698,12.029,12.411,4142523,VGT
2025-07-03,12.316,12.793,11.266,11.743,5296141,VGT
2025-07-04,11.648,11.839,11.17,11.457,2040162,VGT
2025-07-07,11.934,11.934,11.457,11.648,1241624,VGT
2025-07-08,11.648,12.125,11.648,11.934,2324592,VGT
2025-07-09,11.934,11.934,11.648,11.839,953332,VGT
2025-07-10,11.743,11.839,11.457,11.457,2541914,VGT
2025-07-11,11.457,11.648,11.361,11.552,1220413,VGT
2025-07-14,11.552,11.743,11.361,11.648,966195,VGT
2025-07-15,11.648,11.743,11.457,11.457,1196344,VGT
2025-07-16,11.743,11.743,11.457,11.552,697838,VGT
2025-07-17,11.457,11.648,11.457,11.552,1408499,VGT
2025-07-18,11.457,11.839,11.457,11.648,1873143,VGT
2025-07-21,11.839,12.029,11.648,11.839,1824180,VGT
2025-07-22,11.839,11.934,11.648,11.839,1412733,VGT
2025-07-23,11.743,11.934,11.648,11.839,1819836,VGT
2025-07-24,11.839,12.125,11.839,12.029,2310729,VGT
2025-07-25,12.029,12.22,11.934,12.125,2012068,VGT
2025-07-28,12.125,12.316,12.125,12.22,2282338,VGT
2025-07-29,12.22,12.411,11.457,11.648,2935194,VGT
2025-07-30,11.552,11.743,11.361,11.743,1554708,VGT
2025-07-31,11.743,12.698,11.743,12.698,5512083,VGT
2025-08-01,12.411,12.984,12.316,12.411,3740593,VGT
2025-08-04,12.602,12.602,11.934,12.22,2717614,VGT
