time,open,high,low,close,volume,symbol
2025-02-10,17.4,17.6,17.3,17.5,278669,VLC
2025-02-11,17.5,18.5,17.5,18.0,411902,VLC
2025-02-12,18.0,18.2,17.6,17.7,124004,VLC
2025-02-13,17.7,17.8,17.4,17.6,229933,VLC
2025-02-14,17.6,17.9,17.5,17.8,150378,VLC
2025-02-17,18.0,18.4,18.0,18.3,509058,VLC
2025-02-18,18.4,18.4,18.0,18.3,146716,VLC
2025-02-19,18.3,18.3,18.0,18.2,215063,VLC
2025-02-20,18.3,18.3,17.9,18.1,158797,VLC
2025-02-21,18.1,18.8,18.1,18.6,946094,VLC
2025-02-24,18.6,19.3,18.5,19.0,683382,VLC
2025-02-25,19.0,19.1,18.6,18.7,351978,VLC
2025-02-26,18.7,19.0,18.5,18.7,279942,VLC
2025-02-27,18.6,18.9,18.4,18.6,310531,VLC
2025-02-28,18.6,18.7,18.3,18.4,237887,VLC
2025-03-03,18.4,18.8,18.4,18.6,324577,VLC
2025-03-04,18.7,18.8,18.0,18.5,556460,VLC
2025-03-05,18.4,18.4,18.0,18.1,151636,VLC
2025-03-06,18.2,18.4,17.9,18.2,176338,VLC
2025-03-07,18.3,18.3,17.6,17.8,446149,VLC
2025-03-10,17.8,17.8,17.4,17.8,219095,VLC
2025-03-11,17.8,17.8,17.5,17.7,306280,VLC
2025-03-12,17.8,17.9,17.7,17.8,143288,VLC
2025-03-13,17.9,18.6,17.8,18.2,537645,VLC
2025-03-14,18.2,18.4,17.8,18.2,161527,VLC
2025-03-17,18.2,18.4,18.0,18.1,185217,VLC
2025-03-18,18.2,18.8,18.1,18.6,394287,VLC
2025-03-19,18.6,18.7,18.3,18.5,128942,VLC
2025-03-20,18.4,19.0,18.4,18.7,330533,VLC
2025-03-21,18.7,18.8,18.3,18.5,104036,VLC
2025-03-24,18.6,18.7,17.8,17.8,213338,VLC
2025-03-25,17.8,18.1,17.7,18.0,212800,VLC
2025-03-26,17.9,17.9,17.6,17.9,169484,VLC
2025-03-27,17.7,17.8,17.5,17.7,192203,VLC
2025-03-28,17.6,17.6,17.4,17.4,154889,VLC
2025-03-31,17.2,17.6,17.2,17.5,196517,VLC
2025-04-01,17.5,17.5,17.3,17.5,72882,VLC
2025-04-02,17.5,17.7,17.3,17.4,85368,VLC
2025-04-03,17.0,17.0,15.5,15.9,551345,VLC
2025-04-04,14.0,16.0,14.0,15.5,453180,VLC
2025-04-08,15.4,15.5,13.2,13.3,529667,VLC
2025-04-09,13.9,14.0,12.7,13.3,283550,VLC
2025-04-10,14.5,15.5,14.5,15.5,50215,VLC
2025-04-11,16.0,16.3,15.4,15.8,412159,VLC
2025-04-14,16.1,16.1,15.5,16.1,124979,VLC
2025-04-15,16.0,16.0,15.3,15.7,143086,VLC
2025-04-16,15.6,16.1,15.5,15.7,99693,VLC
2025-04-17,15.4,15.7,15.2,15.6,77441,VLC
2025-04-18,15.7,16.0,15.6,15.7,79590,VLC
2025-04-21,15.8,15.8,15.4,15.7,43322,VLC
2025-04-22,15.5,15.8,14.4,15.5,259101,VLC
2025-04-23,15.7,15.8,15.4,15.7,59864,VLC
2025-04-24,15.4,15.9,15.4,15.8,95422,VLC
2025-04-25,15.7,16.0,15.4,15.5,102001,VLC
2025-04-28,15.7,15.7,15.5,15.5,23656,VLC
2025-04-29,15.4,15.6,15.0,15.3,451619,VLC
2025-05-05,15.3,15.5,15.0,15.4,184339,VLC
2025-05-06,15.1,15.4,15.0,15.0,412216,VLC
2025-05-07,15.0,15.2,14.9,15.0,89527,VLC
2025-05-08,15.1,15.2,14.9,15.1,94190,VLC
2025-05-09,14.9,15.2,14.9,15.1,52881,VLC
2025-05-12,15.0,15.1,15.0,15.1,98048,VLC
2025-05-13,15.1,15.2,15.0,15.0,194028,VLC
2025-05-14,15.0,15.2,14.9,15.0,223814,VLC
2025-05-15,15.1,15.1,14.8,15.0,84167,VLC
2025-05-16,14.9,15.1,14.9,14.9,210160,VLC
2025-05-19,14.9,15.0,14.8,14.8,158097,VLC
2025-05-20,14.9,14.9,14.6,14.9,180422,VLC
2025-05-21,14.7,14.8,14.6,14.8,152671,VLC
2025-05-22,14.8,14.8,14.6,14.6,88825,VLC
2025-05-23,14.7,14.7,14.1,14.6,182199,VLC
2025-05-26,14.4,15.1,14.4,15.1,177723,VLC
2025-05-27,15.2,15.3,14.9,15.1,151682,VLC
2025-05-28,15.1,15.2,14.8,15.0,98474,VLC
2025-05-29,15.0,15.2,14.9,15.0,115011,VLC
2025-05-30,15.0,15.1,14.8,15.0,75271,VLC
2025-06-02,14.9,15.1,14.7,14.9,51987,VLC
2025-06-03,14.9,15.3,14.8,15.2,374354,VLC
2025-06-04,15.3,16.3,15.3,15.9,452605,VLC
2025-06-05,16.0,16.1,15.5,15.7,156059,VLC
2025-06-06,15.8,15.8,15.2,15.2,238336,VLC
2025-06-09,15.6,15.6,15.0,15.1,226326,VLC
2025-06-10,15.2,15.3,15.1,15.3,77376,VLC
2025-06-11,15.2,15.4,15.1,15.1,87057,VLC
2025-06-12,15.1,15.3,15.1,15.2,70525,VLC
2025-06-13,15.1,15.2,14.9,15.2,252666,VLC
2025-06-16,15.2,15.3,15.0,15.2,100065,VLC
2025-06-17,15.2,15.4,15.0,15.4,181590,VLC
2025-06-18,15.4,15.8,15.4,15.7,396782,VLC
2025-06-19,15.7,15.8,15.4,15.5,97775,VLC
2025-06-20,15.7,15.7,15.2,15.5,127352,VLC
2025-06-23,15.3,15.8,15.2,15.7,160266,VLC
2025-06-24,15.5,15.7,15.3,15.5,137908,VLC
2025-06-25,15.7,15.7,15.4,15.6,203658,VLC
2025-06-26,15.2,15.7,15.2,15.5,78900,VLC
2025-06-27,15.6,15.6,15.3,15.5,117049,VLC
2025-06-30,15.5,15.6,15.4,15.6,125154,VLC
2025-07-01,15.2,15.6,15.1,15.5,108078,VLC
2025-07-02,15.5,15.5,15.2,15.4,97566,VLC
2025-07-03,15.4,15.4,15.1,15.3,289062,VLC
2025-07-04,15.4,15.5,15.2,15.4,46016,VLC
2025-07-07,15.2,15.5,15.1,15.2,259398,VLC
