time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,357.1,360.0,356.0,360.0,3175,360.0,360.0,360.0,,0.0,0.0,0.0,,,,,VNZ
2025-02-11,360.0,360.0,360.0,360.0,2488,360.0,360.0,360.0,,0.0,0.0,0.0,,,0.0,,VNZ
2025-02-12,361.0,363.0,358.0,359.0,4401,359.6666666666667,359.6666666666667,359.6666666666667,,-0.07977207977211265,-0.01595441595442253,-0.06381766381769012,,,-0.2777777777777768,,VNZ
2025-02-13,360.0,360.0,357.0,358.0,3528,359.25,359.25,359.25,,-0.22113456871289827,-0.05699044650611768,-0.1641441222067806,,,-0.278551532033422,,VNZ
2025-02-14,359.5,359.5,358.0,358.0,524,359.0,359.0,359.0,,-0.3293686034248253,-0.11146607788985921,-0.2179025255349661,,,0.0,,VNZ
2025-02-17,358.0,358.9,355.3,358.9,2290,358.98333333333335,358.98333333333335,358.98333333333335,,-0.3386189884164992,-0.1568966599951872,-0.18172232842131197,,,0.2513966480446772,,VNZ
2025-02-18,357.0,360.0,357.0,360.0,504,359.12857142857143,359.12857142857143,359.12857142857143,,-0.2542582474451365,-0.17636897748517705,-0.07788926995995943,,,0.30649205906938537,,VNZ
2025-02-19,357.0,357.0,357.0,357.0,614,358.8625,358.8625,358.8625,,-0.4245823592488591,-0.22601165383791347,-0.19857070541094565,,,-0.8333333333333304,,VNZ
2025-02-20,360.0,360.0,359.0,360.0,1480,358.9888888888889,358.9888888888889,358.9888888888889,,-0.313872391468351,-0.24358380136400098,-0.07028859010435001,,,0.8403361344537785,,VNZ
2025-02-21,375.0,375.0,360.0,361.0,2865,359.19,359.19,359.19,,-0.14378483960075528,-0.22362400901135185,0.07983916941059657,,,0.2777777777777768,,VNZ
2025-02-24,361.0,361.0,358.0,358.2,2056,359.09999999999997,359.09999999999997,359.09999999999997,,-0.23224861133292052,-0.2253489294756656,-0.0068996818572549246,,,-0.7756232686980669,,VNZ
