time,open,high,low,close,volume,symbol
2025-02-10,14.753,14.893,14.52,14.567,2046900,VOS
2025-02-11,14.567,14.893,14.474,14.893,1311600,VOS
2025-02-12,14.893,14.986,14.707,14.846,1277700,VOS
2025-02-13,14.893,15.312,14.753,15.265,3806700,VOS
2025-02-14,15.451,15.498,15.126,15.126,2514700,VOS
2025-02-17,15.219,16.01,15.126,15.358,5165100,VOS
2025-02-18,15.451,15.637,15.079,15.172,2439400,VOS
2025-02-19,15.172,15.544,15.172,15.544,2400000,VOS
2025-02-20,15.731,15.731,15.358,15.358,2027800,VOS
2025-02-21,15.358,15.917,15.312,15.824,5007800,VOS
2025-02-24,15.87,15.87,15.544,15.824,2526400,VOS
2025-02-25,16.01,16.01,15.591,15.731,2598800,VOS
2025-02-26,15.777,16.196,15.731,15.731,2899900,VOS
2025-02-27,15.731,15.777,15.358,15.637,2711000,VOS
2025-02-28,15.637,15.777,15.405,15.451,2296600,VOS
2025-03-03,15.451,15.451,14.986,15.032,4744600,VOS
2025-03-04,14.986,15.265,14.986,15.126,1929500,VOS
2025-03-05,15.126,15.312,14.939,14.939,1640500,VOS
2025-03-06,14.939,15.219,14.939,15.079,1657300,VOS
2025-03-07,15.126,15.498,15.126,15.172,1698300,VOS
2025-03-10,15.172,15.312,15.079,15.219,1500100,VOS
2025-03-11,15.032,15.126,14.939,15.126,1543100,VOS
2025-03-12,15.172,15.219,14.939,14.986,1609200,VOS
2025-03-13,15.079,15.079,14.334,14.474,4543400,VOS
2025-03-14,14.381,14.614,14.195,14.427,2279900,VOS
2025-03-17,14.427,14.707,14.427,14.614,1161800,VOS
2025-03-18,14.66,14.753,14.614,14.66,1168800,VOS
2025-03-19,14.66,14.8,14.427,14.52,1421400,VOS
2025-03-20,14.52,14.707,14.334,14.567,1563600,VOS
2025-03-21,14.334,14.66,14.334,14.427,893200,VOS
2025-03-24,14.427,14.66,14.381,14.52,911300,VOS
2025-03-25,14.614,15.079,14.427,14.893,2162400,VOS
2025-03-26,14.893,14.986,14.66,14.707,1137900,VOS
2025-03-27,14.707,14.846,14.52,14.66,603500,VOS
2025-03-28,14.66,14.66,14.241,14.241,1437000,VOS
