time,open,high,low,close,volume,symbol
2025-02-10,18.399,18.594,18.253,18.35,13500000,VPB
2025-02-11,18.35,18.643,18.302,18.399,20352000,VPB
2025-02-12,18.497,18.594,18.302,18.399,7800900,VPB
2025-02-13,18.399,18.497,18.302,18.399,8322600,VPB
2025-02-14,18.594,18.643,18.497,18.497,11535000,VPB
2025-02-17,18.497,18.594,18.35,18.35,11944500,VPB
2025-02-18,18.35,18.691,18.253,18.448,18113100,VPB
2025-02-19,18.497,18.594,18.448,18.545,9257700,VPB
2025-02-20,18.594,18.789,18.497,18.691,18762900,VPB
2025-02-21,18.643,19.081,18.545,18.935,42288600,VPB
2025-02-24,18.886,19.032,18.691,19.032,22721400,VPB
2025-02-25,19.032,19.081,18.74,18.837,14015500,VPB
2025-02-26,18.837,18.886,18.74,18.74,11212100,VPB
2025-02-27,18.74,18.837,18.545,18.789,9546600,VPB
2025-02-28,18.594,18.886,18.594,18.789,9236600,VPB
2025-03-03,18.837,18.837,18.594,18.691,9400800,VPB
2025-03-04,18.594,18.691,18.448,18.594,19237100,VPB
2025-03-05,18.594,18.837,18.497,18.497,16030300,VPB
2025-03-06,18.545,18.837,18.545,18.643,20891200,VPB
2025-03-07,18.691,18.935,18.643,18.74,20716400,VPB
2025-03-10,18.886,19.129,18.789,18.886,34122100,VPB
2025-03-11,18.74,19.227,18.691,19.178,37545200,VPB
2025-03-12,19.275,19.275,18.983,19.081,27171700,VPB
2025-03-13,19.129,19.129,18.691,18.74,16157500,VPB
2025-03-14,18.789,19.081,18.691,19.081,17673600,VPB
2025-03-17,19.227,19.859,19.081,19.665,71545100,VPB
2025-03-18,19.713,19.762,19.275,19.275,25977100,VPB
2025-03-19,19.227,19.227,18.886,18.935,29438700,VPB
2025-03-20,19.081,19.178,18.886,19.081,18739400,VPB
2025-03-21,19.081,19.129,18.886,18.983,9370100,VPB
2025-03-24,18.983,19.129,18.74,19.081,16805100,VPB
2025-03-25,19.129,19.178,18.935,18.983,11786900,VPB
2025-03-26,18.983,19.129,18.789,18.837,9453500,VPB
2025-03-27,18.74,18.935,18.74,18.74,6689600,VPB
2025-03-28,18.74,18.886,18.691,18.74,11134300,VPB
2025-03-31,18.643,18.74,18.497,18.497,14764100,VPB
2025-04-01,18.643,18.691,18.497,18.643,8728300,VPB
2025-04-02,18.643,18.837,18.594,18.643,11401400,VPB
2025-04-03,17.718,18.058,17.377,17.377,40611200,VPB
2025-04-04,16.355,16.988,16.209,16.988,46810000,VPB
2025-04-08,16.55,16.744,15.819,15.819,24697900,VPB
2025-04-09,14.797,16.063,14.749,15.527,56107800,VPB
2025-04-10,16.598,16.598,16.598,16.598,1665400,VPB
2025-04-11,16.55,17.182,16.355,16.988,60038400,VPB
2025-04-14,17.036,17.231,16.793,16.842,28905800,VPB
2025-04-15,16.744,16.793,16.403,16.452,19615100,VPB
2025-04-16,16.403,16.55,16.257,16.355,13818200,VPB
2025-04-17,16.355,16.355,15.917,16.111,21615700,VPB
2025-04-18,16.209,16.793,16.209,16.501,16480100,VPB
2025-04-21,16.452,16.598,16.257,16.257,12080600,VPB
2025-04-22,16.16,16.355,15.138,16.16,30670500,VPB
2025-04-23,16.55,16.55,16.257,16.257,10954900,VPB
2025-04-24,16.355,16.501,16.209,16.209,12820700,VPB
2025-04-25,16.257,16.306,16.014,16.063,24808000,VPB
2025-04-28,16.257,16.257,16.063,16.111,9938200,VPB
2025-04-29,16.16,16.257,16.063,16.111,14256100,VPB
2025-05-05,16.257,16.306,16.063,16.16,7593000,VPB
2025-05-06,16.257,16.744,16.209,16.452,25315800,VPB
2025-05-07,16.501,16.55,16.355,16.55,10235800,VPB
2025-05-08,16.598,16.744,16.501,16.55,15414400,VPB
2025-05-09,16.647,16.793,16.452,16.55,17694500,VPB
2025-05-12,16.647,16.988,16.501,16.89,36530800,VPB
2025-05-13,17.182,17.231,16.988,17.231,27752400,VPB
2025-05-14,17.328,18.399,17.28,18.399,95581000,VPB
2025-05-15,18.65,18.8,18.25,18.55,55071300,VPB
2025-05-16,18.35,18.7,18.05,18.05,37978200,VPB
2025-05-19,18.0,18.85,17.8,18.2,64648000,VPB
2025-05-20,18.2,18.55,18.15,18.2,27838100,VPB
2025-05-21,18.3,18.8,18.25,18.45,68308300,VPB
2025-05-22,18.5,18.7,18.2,18.3,40934700,VPB
2025-05-23,18.25,18.35,18.1,18.1,14934100,VPB
2025-05-26,18.1,18.2,17.3,18.15,24583500,VPB
