time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,26.431,27.374,26.184,27.374,53800,27.374,27.374,27.374,,0.0,0.0,0.0,,,,,VPD
2025-02-11,27.175,27.175,27.126,27.126,300,27.25,27.25,27.25,,-0.019783475783476945,-0.003956695156695389,-0.015826780626781556,,,-0.9059691678234727,,VPD
2025-02-12,26.779,26.779,26.382,26.729,2900,27.076333333333334,27.076333333333334,27.076333333333334,,-0.06672741292684492,-0.016510838710725298,-0.05021657421611962,,,-1.4635405146354086,,VPD
2025-02-13,26.58,27.522,26.58,27.473,13300,27.1755,27.1755,27.1755,,-0.0433959971511122,-0.02188787039880268,-0.02150812675230952,,,2.783493583747987,,VPD
2025-02-14,26.779,27.374,26.134,27.324,4500,27.2052,27.2052,27.2052,,-0.03650789650458819,-0.024811875619959782,-0.011696020884628407,,,-0.5423506715684367,,VPD
2025-02-17,27.324,27.324,27.126,27.126,8900,27.191999999999997,27.191999999999997,27.191999999999997,,-0.04649006384415344,-0.029147513264798516,-0.017342550579354923,,,-0.7246376811594235,,VPD
2025-02-18,27.126,27.126,26.779,26.977,2700,27.161285714285714,27.161285714285714,27.161285714285714,,-0.06566708880997751,-0.03645142837383432,-0.029215660436143195,,,-0.5492885054928842,,VPD
2025-02-19,27.076,27.076,26.679,26.977,9500,27.13825,27.13825,27.13825,,-0.07994348057738776,-0.04514983881454501,-0.03479364176284275,,,0.0,,VPD
2025-02-20,26.977,26.977,26.283,26.927,9500,27.11477777777778,27.11477777777778,27.11477777777778,,-0.09420625497547164,-0.05496112204673034,-0.039245132928741294,,,-0.1853430700226144,,VPD
2025-02-21,26.927,26.927,26.58,26.927,500,27.095999999999997,27.095999999999997,27.095999999999997,,-0.10430721776627294,-0.06483034119063887,-0.039476876575634076,,,0.0,,VPD
