time,open,high,low,close,volume,symbol
2025-12-11,29.6,33.5,29.55,30.8,7219900,VPX
2025-12-12,30.3,30.5,29.3,30.3,3258900,VPX
2025-12-15,30.0,30.0,28.75,29.1,4161000,VPX
2025-12-16,29.0,29.5,27.1,29.5,6252600,VPX
2025-12-17,28.6,29.7,28.45,29.7,3358200,VPX
2025-12-18,29.0,29.1,28.5,29.0,2344300,VPX
2025-12-19,28.5,29.2,28.15,29.2,3621000,VPX
2025-12-22,29.0,29.0,28.65,28.95,841000,VPX
2025-12-23,28.95,28.95,28.0,28.0,2591000,VPX
2025-12-24,27.9,28.0,27.3,28.0,1485000,VPX
2025-12-25,27.5,28.0,27.5,27.85,918100,VPX
2025-12-26,27.45,28.0,26.85,27.95,2363300,VPX
2025-12-29,27.3,27.95,27.3,27.9,1046100,VPX
2025-12-30,27.5,28.75,27.4,28.6,2358400,VPX
2025-12-31,28.7,29.8,28.3,29.8,3831800,VPX
2026-01-05,29.0,29.05,28.25,28.3,339600,VPX
2026-01-06,28.35,28.7,27.6,28.7,399200,VPX
2026-01-07,28.55,28.6,28.2,28.35,366400,VPX
2026-01-08,28.35,28.7,28.0,28.6,579000,VPX
2026-01-09,29.2,29.25,28.6,28.75,842200,VPX
2026-01-12,28.5,29.95,28.5,29.4,1352100,VPX
2026-01-13,29.5,31.0,29.5,30.6,1840900,VPX
2026-01-14,31.2,32.0,30.6,31.25,3057200,VPX
2026-01-15,31.5,31.7,30.7,31.05,1168800,VPX
2026-01-16,31.65,31.65,30.4,30.9,897700,VPX
2026-01-19,30.9,31.65,30.9,31.6,1699800,VPX
2026-01-20,32.5,32.5,30.5,30.6,1524900,VPX
2026-01-21,30.55,30.55,29.1,29.85,1180000,VPX
2026-01-22,29.85,29.95,29.4,29.45,661600,VPX
2026-01-23,29.55,29.55,29.0,29.0,817900,VPX
2026-01-26,29.0,29.3,27.9,28.0,1326500,VPX
2026-01-27,27.55,27.9,27.25,27.3,2284900,VPX
2026-01-28,27.5,28.05,27.35,27.8,729700,VPX
2026-01-29,28.0,28.0,27.4,27.4,531700,VPX
2026-01-30,27.75,27.9,27.55,27.7,681800,VPX
2026-02-02,27.7,27.7,27.25,27.6,644700,VPX
2026-02-03,27.45,27.8,27.3,27.55,693800,VPX
2026-02-04,27.7,28.05,27.7,28.0,715900,VPX
2026-02-05,28.05,28.05,27.7,27.95,270800,VPX
2026-02-06,27.7,27.7,27.35,27.45,373700,VPX
2026-02-09,27.5,27.6,27.35,27.6,313500,VPX
2026-02-10,27.55,27.7,27.3,27.6,271300,VPX
