time,open,high,low,close,volume,symbol
2025-02-10,16.7,16.75,16.55,16.6,5381200,VRE
2025-02-11,16.6,16.6,16.3,16.4,6501700,VRE
2025-02-12,16.55,16.6,16.4,16.4,2712700,VRE
2025-02-13,16.4,16.7,16.4,16.65,4323500,VRE
2025-02-14,16.7,16.8,16.55,16.6,5337400,VRE
2025-02-17,16.6,16.7,16.4,16.45,6732800,VRE
2025-02-18,16.5,17.05,16.45,16.85,10881800,VRE
2025-02-19,16.9,17.3,16.8,17.2,11283100,VRE
2025-02-20,17.25,17.45,17.25,17.35,10812700,VRE
2025-02-21,17.35,17.4,17.1,17.25,8867700,VRE
2025-02-24,17.2,17.35,17.1,17.35,7296500,VRE
2025-02-25,17.4,17.5,17.25,17.25,5837200,VRE
2025-02-26,17.25,17.35,17.0,17.15,5280100,VRE
2025-02-27,17.15,17.2,16.9,17.2,8005700,VRE
2025-02-28,17.25,17.65,17.2,17.4,11416300,VRE
2025-03-03,17.35,17.95,17.35,17.7,12108200,VRE
2025-03-04,17.6,17.8,17.55,17.7,11254500,VRE
2025-03-05,17.7,18.05,17.6,17.75,12706900,VRE
2025-03-06,17.75,17.95,17.65,17.85,7172100,VRE
2025-03-07,17.85,18.5,17.8,18.2,16865500,VRE
2025-03-10,18.35,18.45,18.2,18.25,8696300,VRE
2025-03-11,17.9,18.25,17.7,18.2,8111000,VRE
2025-03-12,18.2,18.45,18.15,18.3,11789600,VRE
2025-03-13,18.3,19.2,18.25,18.8,29808500,VRE
2025-03-14,18.9,19.1,18.7,18.75,11422100,VRE
2025-03-17,18.65,18.8,18.6,18.7,9392000,VRE
2025-03-18,18.7,18.8,18.4,18.45,12489700,VRE
2025-03-19,18.35,18.5,18.1,18.45,11508000,VRE
2025-03-20,18.5,18.75,18.3,18.4,3614700,VRE
2025-03-21,18.4,18.5,18.15,18.45,9853900,VRE
2025-03-24,18.45,19.2,18.4,19.15,19774400,VRE
2025-03-25,19.2,20.3,19.1,19.8,30908400,VRE
2025-03-26,19.95,20.15,19.75,19.95,22377500,VRE
2025-03-27,19.95,20.05,19.6,19.65,9652800,VRE
2025-03-28,19.6,19.65,19.35,19.5,9353000,VRE
2025-03-31,19.3,19.45,19.05,19.15,11536000,VRE
2025-04-01,19.35,20.1,19.25,20.0,16455600,VRE
2025-04-02,20.2,20.55,19.9,20.15,22985300,VRE
2025-04-03,19.3,19.6,18.75,18.75,18588500,VRE
2025-04-04,17.45,18.8,17.45,18.8,27118700,VRE
2025-04-08,18.0,18.15,17.5,17.5,20763200,VRE
2025-04-09,16.5,18.35,16.5,18.0,24614200,VRE
2025-04-10,19.25,19.25,19.25,19.25,1890900,VRE
2025-04-11,19.1,19.6,18.85,19.4,16425100,VRE
2025-04-14,19.5,20.35,19.25,20.3,18452000,VRE
2025-04-15,20.3,20.7,19.95,20.3,19239000,VRE
2025-04-16,20.2,21.1,20.15,20.4,19670700,VRE
2025-04-17,20.25,20.6,20.1,20.4,9657700,VRE
2025-04-18,20.45,21.0,19.55,20.4,18997200,VRE
2025-04-21,20.05,20.65,20.05,20.4,13359200,VRE
2025-04-22,20.35,20.6,19.3,20.6,19583700,VRE
2025-04-23,20.95,22.0,20.7,21.95,26859000,VRE
2025-04-24,22.0,23.1,21.8,22.8,16543000,VRE
2025-04-25,22.8,22.85,22.3,22.8,18916200,VRE
2025-04-28,22.8,23.5,22.55,23.1,14336300,VRE
2025-04-29,22.9,23.95,22.2,23.65,19406900,VRE
2025-05-05,23.55,24.9,23.45,24.9,13900925,VRE
2025-05-06,24.95,24.95,24.4,24.9,14299500,VRE
2025-05-07,24.85,24.95,24.55,24.9,10303452,VRE
2025-05-08,24.8,25.6,24.65,25.0,8076601,VRE
2025-05-09,24.8,25.1,24.7,25.0,8062500,VRE
