time,open,high,low,close,volume,symbol
2025-02-10,13.969,13.969,13.581,13.581,3657400,VSC
2025-02-11,13.581,13.814,13.581,13.737,3143700,VSC
2025-02-12,13.737,14.086,13.737,14.008,4703600,VSC
2025-02-13,14.086,14.552,14.008,14.396,5215300,VSC
2025-02-14,14.435,14.513,14.319,14.357,3056300,VSC
2025-02-17,14.435,14.552,14.319,14.357,3826900,VSC
2025-02-18,14.357,14.396,13.853,13.853,7710200,VSC
2025-02-19,13.931,14.047,13.853,13.969,2225300,VSC
2025-02-20,13.969,14.163,13.969,14.125,2161200,VSC
2025-02-21,14.163,14.202,13.969,14.125,2082100,VSC
2025-02-24,14.125,14.202,13.892,13.969,2534900,VSC
2025-02-25,14.008,14.241,13.931,14.241,2732700,VSC
2025-02-26,14.241,14.513,14.241,14.435,4114200,VSC
2025-02-27,14.435,14.474,14.047,14.319,2806700,VSC
2025-02-28,14.241,14.28,14.125,14.241,2243100,VSC
2025-03-03,14.202,14.552,14.125,14.357,2882300,VSC
2025-03-04,14.163,14.396,14.008,14.357,3753000,VSC
2025-03-05,14.202,14.474,14.202,14.202,2735600,VSC
2025-03-06,14.202,14.552,14.202,14.435,2509200,VSC
2025-03-07,14.435,14.823,14.435,14.629,3184000,VSC
2025-03-10,14.746,14.746,14.357,14.435,1712600,VSC
2025-03-11,14.241,14.319,14.047,14.125,2573800,VSC
2025-03-12,14.163,14.319,14.125,14.28,1785900,VSC
2025-03-13,14.28,14.319,14.008,14.202,2136000,VSC
2025-03-14,14.086,14.202,13.737,13.737,1821800,VSC
2025-03-17,13.853,13.853,13.581,13.62,1176500,VSC
2025-03-18,13.659,13.814,13.659,13.775,912000,VSC
2025-03-19,13.775,13.969,13.698,13.931,845400,VSC
2025-03-20,13.969,13.969,13.659,13.814,554900,VSC
2025-03-21,13.698,13.931,13.698,13.775,515200,VSC
2025-03-24,13.737,13.853,13.465,13.581,856400,VSC
2025-03-25,13.659,13.931,13.581,13.853,1015900,VSC
2025-03-26,13.892,14.008,13.698,13.698,691900,VSC
2025-03-27,13.659,13.775,13.543,13.581,556700,VSC
2025-03-28,13.659,14.047,13.465,14.047,1432000,VSC
2025-03-31,13.892,13.931,13.659,13.698,883900,VSC
2025-04-01,13.814,13.853,13.659,13.775,594000,VSC
2025-04-02,13.62,13.853,13.62,13.737,950200,VSC
2025-04-03,12.805,13.038,12.805,12.805,2469400,VSC
2025-04-04,11.913,12.65,11.913,12.495,4866200,VSC
2025-04-08,11.641,11.796,11.641,11.641,1095900,VSC
2025-04-09,10.826,11.02,10.826,10.826,4370500,VSC
2025-04-10,11.564,11.564,11.564,11.564,101300,VSC
2025-04-11,12.029,12.301,11.37,12.262,3233000,VSC
2025-04-14,12.34,12.534,12.029,12.534,1610700,VSC
2025-04-15,12.34,12.883,12.146,12.883,3028100,VSC
2025-04-16,12.65,13.271,12.65,13.038,2605100,VSC
2025-04-17,12.844,13.077,12.34,13.038,2958600,VSC
2025-04-18,13.116,13.814,12.922,13.698,5278900,VSC
2025-04-21,13.659,14.163,13.543,14.163,5033300,VSC
2025-04-22,14.047,14.202,13.193,14.202,4873900,VSC
2025-04-23,14.241,14.746,14.202,14.629,5006700,VSC
2025-04-24,14.707,15.522,14.629,15.483,7459600,VSC
2025-04-25,15.405,15.948,15.134,15.91,7144900,VSC
2025-04-28,15.91,16.298,15.677,16.259,6221700,VSC
2025-04-29,16.22,17.384,16.181,17.384,11877900,VSC
2025-05-05,17.656,18.587,17.462,18.587,6855100,VSC
2025-05-06,18.975,18.975,17.733,17.889,7926500,VSC
2025-05-07,17.966,18.238,17.539,18.16,5186900,VSC
2025-05-08,18.044,18.665,17.772,17.772,4857400,VSC
2025-05-09,17.772,18.471,17.656,17.927,4909500,VSC
2025-05-12,18.083,18.083,17.423,17.695,3842100,VSC
2025-05-13,17.85,18.626,17.695,18.354,6537100,VSC
2025-05-14,18.548,18.548,17.074,17.074,9811200,VSC
2025-05-15,16.996,17.462,16.298,17.229,5538100,VSC
2025-05-16,17.074,17.229,16.492,16.686,6242100,VSC
2025-05-19,16.686,17.268,16.608,16.686,5920800,VSC
2025-05-20,16.841,17.85,16.647,17.539,11391500,VSC
2025-05-21,17.695,18.005,17.074,17.85,9367900,VSC
2025-05-22,18.005,18.199,16.763,17.035,13008100,VSC
2025-05-23,16.996,17.656,16.802,17.074,5844300,VSC
2025-05-26,17.384,18.238,16.763,17.966,19006500,VSC
2025-05-27,18.083,19.208,17.733,19.13,13208800,VSC
2025-05-28,19.518,19.557,18.16,18.315,14793200,VSC
2025-05-29,18.393,18.432,17.035,17.035,22651900,VSC
2025-05-30,16.841,17.268,16.026,16.593,12940700,VSC
2025-06-02,17.316,17.462,16.686,17.462,6560000,VSC
2025-06-03,17.51,17.51,17.025,17.51,7516600,VSC
2025-06-04,17.462,17.51,17.171,17.462,5818500,VSC
2025-06-05,17.462,17.462,16.928,16.928,9444900,VSC
2025-06-06,16.928,17.268,16.831,17.122,4282300,VSC
2025-06-09,17.171,17.171,16.346,16.492,6069700,VSC
2025-06-10,16.346,16.637,16.298,16.346,4405300,VSC
2025-06-11,16.589,16.589,16.201,16.249,6122800,VSC
2025-06-12,16.25,16.6,16.15,16.25,4236100,VSC
2025-06-13,16.25,16.65,16.05,16.4,9054100,VSC
2025-06-16,16.5,17.3,16.5,16.75,8201700,VSC
2025-06-17,16.85,16.85,16.35,16.5,6304200,VSC
