time,open,high,low,close,volume,symbol
2025-02-10,47.958,47.958,47.958,47.958,0,VSH
2025-02-11,47.958,47.958,47.484,47.864,4500,VSH
2025-02-12,47.769,47.864,47.484,47.864,3200,VSH
2025-02-13,47.864,48.337,47.864,47.864,6900,VSH
2025-02-14,47.864,48.053,47.864,47.958,27800,VSH
2025-02-17,47.579,48.337,47.579,48.337,4400,VSH
2025-02-18,48.337,50.233,48.337,48.811,1400,VSH
2025-02-19,48.337,49.759,48.337,48.811,16300,VSH
2025-02-20,49.285,49.285,48.811,48.906,2700,VSH
2025-02-21,48.906,49.759,48.906,49.759,4100,VSH
2025-02-24,49.664,51.181,49.664,49.949,18800,VSH
2025-02-25,50.138,51.181,50.138,50.707,15200,VSH
2025-02-26,50.707,51.086,49.854,50.233,25300,VSH
2025-02-27,50.233,50.707,50.138,50.233,8500,VSH
2025-02-28,50.233,50.233,49.854,50.233,3100,VSH
2025-03-03,49.759,50.233,49.759,50.233,19200,VSH
2025-03-04,50.233,50.233,49.759,50.233,53000,VSH
2025-03-05,50.233,50.233,49.38,50.233,2400,VSH
2025-03-06,49.285,50.328,49.285,50.328,72000,VSH
2025-03-07,50.233,50.612,50.233,50.612,5400,VSH
2025-03-10,50.612,51.086,50.233,50.896,7300,VSH
2025-03-11,50.233,50.991,50.233,50.991,500,VSH
2025-03-12,50.896,50.896,50.896,50.896,100,VSH
2025-03-13,50.233,51.181,50.233,51.181,2000,VSH
2025-03-14,51.181,51.181,51.181,51.181,0,VSH
2025-03-17,52.034,52.034,51.181,51.181,800,VSH
2025-03-18,50.707,50.707,50.233,50.423,800,VSH
2025-03-19,50.233,50.423,47.39,47.39,101700,VSH
2025-03-20,48.337,50.138,46.916,48.337,102800,VSH
2025-03-21,49.475,49.475,49.475,49.475,1000,VSH
2025-03-24,49.285,50.423,49.285,50.233,12600,VSH
2025-03-25,50.233,50.612,48.527,50.233,63700,VSH
2025-03-26,49.759,50.517,49.759,50.233,4700,VSH
2025-03-27,49.759,50.707,49.759,50.707,1000,VSH
2025-03-28,50.707,50.707,50.233,50.707,5800,VSH
2025-03-31,50.707,50.707,49.285,50.233,26900,VSH
2025-04-01,49.759,50.233,49.759,50.233,200,VSH
2025-04-02,50.612,50.612,50.233,50.233,1100,VSH
2025-04-03,49.285,50.138,46.916,49.949,18500,VSH
2025-04-04,50.233,50.233,47.484,49.475,10200,VSH
2025-04-08,48.622,48.622,46.063,47.011,43800,VSH
2025-04-09,43.788,49.285,43.741,49.285,21500,VSH
2025-04-10,49.285,50.328,46.537,49.664,33100,VSH
2025-04-11,49.664,49.664,47.579,47.864,8600,VSH
2025-04-14,47.864,49.19,44.546,47.864,57400,VSH
2025-04-15,47.864,50.138,47.864,50.138,1500,VSH
2025-04-16,47.484,50.328,47.39,47.958,11100,VSH
2025-04-17,47.958,49.001,47.958,49.001,12100,VSH
2025-04-18,48.527,49.854,48.527,49.285,9800,VSH
2025-04-21,49.285,49.285,49.285,49.285,8100,VSH
2025-04-22,49.285,49.285,47.864,49.285,12200,VSH
2025-04-23,49.285,49.285,47.864,49.285,3300,VSH
2025-04-24,49.285,50.138,48.432,49.285,12400,VSH
2025-04-25,49.285,50.138,49.285,50.138,1200,VSH
2025-04-28,50.043,50.043,50.043,50.043,1200,VSH
2025-04-29,49.854,49.854,49.759,49.759,300,VSH
2025-05-05,49.664,50.423,49.664,50.328,6400,VSH
2025-05-06,50.612,50.612,50.233,50.612,300,VSH
2025-05-07,49.854,50.043,49.759,49.759,15400,VSH
2025-05-08,49.475,50.233,49.475,49.854,8300,VSH
2025-05-09,49.854,49.854,49.854,49.854,0,VSH
2025-05-12,49.759,49.854,48.622,49.854,6600,VSH
2025-05-13,49.285,50.233,49.285,50.233,300,VSH
2025-05-14,50.233,50.233,50.233,50.233,200,VSH
2025-05-15,49.38,50.233,49.285,49.759,5400,VSH
2025-05-16,49.759,51.086,49.285,49.285,3800,VSH
2025-05-19,48.811,50.233,48.811,50.233,800,VSH
2025-05-20,50.233,50.233,50.233,50.233,0,VSH
2025-05-21,48.906,50.233,48.906,48.906,12700,VSH
2025-05-22,48.906,48.906,48.622,48.811,600,VSH
2025-05-23,48.811,48.811,48.148,48.148,18200,VSH
2025-05-26,49.38,49.38,49.38,49.38,100,VSH
2025-05-27,49.57,49.57,49.38,49.38,500,VSH
2025-05-28,49.096,49.096,49.096,49.096,1000,VSH
2025-05-29,48.527,49.096,48.527,48.527,6500,VSH
2025-05-30,48.337,48.337,48.148,48.148,3200,VSH
2025-06-02,47.484,48.148,46.916,47.011,75800,VSH
2025-06-03,47.011,47.011,45.636,46.3,162000,VSH
2025-06-04,46.585,46.585,46.585,46.585,1000,VSH
2025-06-05,46.585,48.07,46.585,48.07,9000,VSH
2025-06-06,47.016,48.357,46.92,48.357,2900,VSH
2025-06-09,47.399,48.836,46.442,46.92,53600,VSH
2025-06-10,46.537,46.729,46.154,46.49,70300,VSH
2025-06-11,46.49,46.729,46.011,46.729,124900,VSH
2025-06-12,46.729,46.92,46.154,46.154,14000,VSH
2025-06-13,46.154,46.394,45.197,46.346,129000,VSH
2025-06-16,46.825,48.165,46.442,46.729,3400,VSH
2025-06-17,46.729,46.729,45.963,46.154,7700,VSH
2025-06-18,45.963,46.681,44.622,46.442,470200,VSH
2025-06-19,46.394,46.394,44.718,45.005,119700,VSH
2025-06-20,44.91,44.91,43.282,43.76,339000,VSH
2025-06-23,43.713,43.713,43.138,43.521,205000,VSH
2025-06-24,43.473,45.676,42.707,44.048,704800,VSH
2025-06-25,45.005,46.442,44.096,45.197,72200,VSH
2025-06-26,45.293,45.915,45.245,45.915,34500,VSH
2025-06-27,44.718,45.963,44.718,45.963,31700,VSH
2025-06-30,46.011,47.399,45.963,47.399,16800,VSH
2025-07-01,47.303,47.83,46.442,47.399,16400,VSH
2025-07-02,47.303,47.782,46.537,47.782,16500,VSH
2025-07-03,46.92,48.07,46.442,47.591,3500,VSH
2025-07-04,47.591,47.974,46.537,46.537,10800,VSH
2025-07-07,46.92,47.303,46.92,47.303,2700,VSH
2025-07-08,47.016,47.303,46.92,47.256,7400,VSH
2025-07-09,47.399,47.878,47.303,47.303,17500,VSH
2025-07-10,47.112,47.83,47.112,47.399,30300,VSH
2025-07-11,47.399,47.686,47.016,47.399,6400,VSH
2025-07-14,47.208,47.208,46.92,47.016,1600,VSH
2025-07-15,47.016,47.782,46.968,46.968,9500,VSH
2025-07-16,46.92,47.303,46.633,46.633,3700,VSH
2025-07-17,46.681,46.681,46.633,46.633,2000,VSH
2025-07-18,46.633,46.633,45.484,46.633,74000,VSH
2025-07-21,46.011,46.92,45.819,46.681,16500,VSH
2025-07-22,46.681,47.878,46.681,47.447,9100,VSH
2025-07-23,47.447,47.782,47.016,47.782,7200,VSH
2025-07-24,47.112,47.878,45.963,47.686,17700,VSH
2025-07-25,46.633,47.878,46.633,47.399,25000,VSH
2025-07-28,47.399,47.878,46.633,46.92,4300,VSH
2025-07-29,46.25,46.825,44.0,46.825,10700,VSH
2025-07-30,46.154,46.825,45.723,45.867,15200,VSH
2025-07-31,45.723,45.867,44.862,45.101,20400,VSH
2025-08-01,45.005,45.388,44.814,45.388,7100,VSH
2025-08-04,45.34,45.723,45.005,45.723,14900,VSH
2025-08-05,45.963,46.92,45.149,46.729,22600,VSH
2025-08-06,45.963,45.963,45.101,45.771,10500,VSH
2025-08-07,45.771,45.963,45.293,45.915,20400,VSH
2025-08-08,46.92,46.92,45.723,45.963,13600,VSH
2025-08-11,45.963,45.963,45.628,45.628,9100,VSH
2025-08-12,45.628,45.771,45.628,45.771,1600,VSH
