time,open,high,low,close,volume,symbol
2025-02-10,159.889,159.889,148.913,148.913,2652400,VTP
2025-02-11,149.803,154.846,149.012,153.363,712200,VTP
2025-02-12,154.253,160.186,152.275,159.296,976900,VTP
2025-02-13,159.79,159.79,155.242,155.934,500600,VTP
2025-02-14,157.318,157.812,153.264,154.253,544400,VTP
2025-02-17,154.253,154.945,149.507,150.396,523400,VTP
2025-02-18,150.396,153.264,150.001,152.868,373500,VTP
2025-02-19,151.484,153.264,150.594,152.275,264500,VTP
2025-02-20,152.374,152.967,150.1,150.495,314600,VTP
2025-02-21,150.298,151.979,149.605,150.495,337900,VTP
2025-02-24,150.495,150.495,142.387,146.342,1039900,VTP
2025-02-25,143.87,146.342,142.387,145.848,372800,VTP
2025-02-26,148.32,148.32,145.354,147.727,381600,VTP
2025-02-27,148.32,148.32,145.551,146.145,186200,VTP
2025-02-28,146.837,154.747,145.354,152.176,900100,VTP
2025-03-03,153.264,153.264,150.396,151.286,267200,VTP
2025-03-04,151.286,157.615,149.803,155.242,890400,VTP
2025-03-05,153.857,157.714,153.857,156.527,545000,VTP
2025-03-06,158.109,158.109,155.044,156.527,344700,VTP
2025-03-07,157.12,157.12,152.275,152.275,502100,VTP
2025-03-10,152.473,152.473,149.507,149.803,418400,VTP
2025-03-11,148.32,151.188,148.32,150.199,239700,VTP
2025-03-12,150.99,151.089,148.32,149.012,268200,VTP
2025-03-13,148.518,150.792,148.122,149.012,284400,VTP
2025-03-14,149.309,150.001,143.376,144.76,351500,VTP
2025-03-17,145.156,145.156,137.938,138.432,758500,VTP
2025-03-18,139.025,147.331,139.025,145.354,460600,VTP
2025-03-19,145.848,149.012,145.255,145.255,307000,VTP
2025-03-20,145.848,145.848,141.992,143.376,178000,VTP
2025-03-21,142.387,146.936,141.695,144.76,330200,VTP
2025-03-24,145.057,145.947,141.398,141.992,267000,VTP
2025-03-25,141.398,142.486,139.025,140.41,377000,VTP
2025-03-26,140.41,142.288,139.421,139.421,167500,VTP
2025-03-27,139.223,140.607,135.663,139.322,433600,VTP
2025-03-28,139.223,140.311,136.454,137.245,161900,VTP
2025-03-31,137.147,137.245,130.62,137.245,547800,VTP
2025-04-01,134.971,136.85,133.191,135.367,158100,VTP
2025-04-02,134.576,134.576,131.807,132.895,246600,VTP
2025-04-03,123.6,131.51,123.6,123.6,687100,VTP
2025-04-04,114.997,114.997,114.997,114.997,282700,VTP
2025-04-08,106.988,106.988,106.988,106.988,86000,VTP
2025-04-09,99.572,99.572,99.572,99.572,86500,VTP
2025-04-10,106.494,106.494,105.703,106.494,655600,VTP
2025-04-11,99.078,111.537,99.078,110.746,2002100,VTP
2025-04-14,111.24,113.712,110.449,110.449,686500,VTP
2025-04-15,109.757,110.053,102.736,102.736,1428500,VTP
2025-04-16,97.496,106.296,97.496,98.88,910700,VTP
