ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
CMV,HOSE,Thương nghiệp Cà Mau,250.0,5373,Bán lẻ,Retail,1980,666,583.0,0.002,http://www.tncm.com.vn,2.8,-0.022,-0.044,-0.015,18.2,18.2,CT
TH1,UPCOM,XNK Tổng hợp 1,248.0,5337,Bán lẻ,Retail,1981,298,0.0,0.0,http://www.generalexim.com.vn,,-0.067,-0.041,0.004,13.5,13.5,CT
HFX,UPCOM,XNK Thanh Hà,250.0,5373,Bán lẻ,Retail,1992,16,0.0,0.0,http://haforexim.com.vn,,-0.016,0.078,4.402,1.3,1.3,CT
COM,HOSE,Vật tư Xăng dầu,253.0,5379,Bán lẻ,Retail,2000,0,395.0,0.003,http://comeco.vn,2.6,-0.08,0.062,0.03,14.1,14.1,CT
DHT,HNX,Dược phẩm Hà Tây,247.0,5333,Bán lẻ,Retail,2001,795,749.0,0.271,http://www.hataphar.com.vn,2.8,-0.023,0.071,0.199,26.4,26.4,CT
DGW,HOSE,Thế Giới Số,253.0,5379,Bán lẻ,Retail,2003,612,1228.0,0.259,https://digiworld.com.vn,2.9,-0.003,-0.297,-0.032,163.1,163.2,CT
LBC,UPCOM,Thương mại - Đầu tư Long Biên,250.0,5373,Bán lẻ,Retail,2003,167,173.0,0.0,http://www.haprolongbien.vn,,-0.016,0.078,0.53,1.5,1.5,CT
PNG,UPCOM,Thương Mại Phú Nhuận,250.0,5373,Bán lẻ,Retail,2003,99,0.0,0.0,http://www.pnco.vn,,-0.016,0.054,0.71,9.0,9.0,CT
HTT,UPCOM,Thương mại Hà Tây,250.0,5373,Bán lẻ,Retail,2003,54,0.0,0.013,http://www.thuongmaihatay.com,,-0.016,-0.136,-0.277,20.0,20.0,CT
TTH,HNX,TM và DV Tiến Thành,249.0,5371,Bán lẻ,Retail,2003,21,1452.0,0.003,http://www.tienthanhjsc.vn,,0.043,-0.255,-0.4,37.4,37.4,CT
BSC,HNX,Dịch vụ Bến Thành,253.0,5379,Bán lẻ,Retail,2003,13,112.0,0.048,http://www.btsc.com.vn,,-0.016,0.078,0.039,3.2,3.2,CT
MWG,HOSE,Thế giới di động,253.0,5379,Bán lẻ,Retail,2004,40756,20628.0,0.49,http://www.mwg.vn,2.9,-0.035,-0.206,-0.041,1463.6,1463.9,CT
HTM,UPCOM,Thương mại Hà Nội - Hapro,250.0,5373,Bán lẻ,Retail,2004,536,0.0,0.0,http://www.haprogroup.vn,2.3,-0.016,-0.132,-0.018,220.0,220.0,CT
