time,open,high,low,close,volume,symbol
2025-02-10,17.2,17.2,17.0,17.0,1211500,VTZ
2025-02-11,17.0,17.0,16.5,16.9,1113750,VTZ
2025-02-12,16.8,17.1,16.7,16.9,1107052,VTZ
2025-02-13,16.7,17.1,16.7,17.0,1211200,VTZ
2025-02-14,17.0,17.2,16.9,17.1,1119800,VTZ
2025-02-17,17.0,17.3,16.9,17.2,1122700,VTZ
2025-02-18,17.3,17.3,17.0,17.0,1258900,VTZ
2025-02-19,16.9,17.5,16.9,17.3,1429900,VTZ
2025-02-20,17.3,17.7,17.3,17.5,1353343,VTZ
2025-02-21,17.5,18.7,17.4,18.5,2026530,VTZ
2025-02-24,18.5,18.9,18.3,18.6,1387685,VTZ
2025-02-25,18.6,18.8,17.6,17.7,1600478,VTZ
2025-02-26,17.7,17.8,17.4,17.5,1220701,VTZ
2025-02-27,17.4,17.8,17.1,17.4,1621746,VTZ
2025-02-28,16.9,17.6,16.9,17.3,1320076,VTZ
2025-03-03,17.2,17.5,17.1,17.4,1434006,VTZ
2025-03-04,17.4,17.5,17.2,17.3,1242644,VTZ
2025-03-05,17.3,17.3,17.0,17.1,1129728,VTZ
2025-03-06,17.0,17.4,16.6,17.2,1285701,VTZ
2025-03-07,17.2,17.6,17.1,17.5,1602990,VTZ
2025-03-10,17.5,18.1,17.3,17.5,1305032,VTZ
2025-03-11,17.5,17.6,17.3,17.4,1378712,VTZ
2025-03-12,17.4,17.6,17.3,17.5,1625279,VTZ
2025-03-13,17.6,17.8,17.4,17.4,1335482,VTZ
2025-03-14,17.4,17.6,17.2,17.2,1647904,VTZ
2025-03-17,17.2,17.4,16.7,16.9,1183600,VTZ
2025-03-18,16.7,16.8,16.2,16.3,1361599,VTZ
2025-03-19,16.2,16.3,16.0,16.3,1402805,VTZ
2025-03-20,16.3,16.7,16.1,16.5,1315720,VTZ
2025-03-21,16.5,17.0,16.4,16.8,1262319,VTZ
2025-03-24,16.8,17.0,16.6,16.8,1252752,VTZ
2025-03-25,16.8,16.9,16.6,16.6,1213533,VTZ
2025-03-26,16.6,17.4,16.5,17.2,1376152,VTZ
2025-03-27,17.2,17.7,17.1,17.4,1709400,VTZ
2025-03-28,17.4,17.8,17.2,17.6,1816472,VTZ
2025-03-31,17.6,17.8,17.5,17.6,1688210,VTZ
2025-04-01,17.6,18.1,17.5,17.9,1682300,VTZ
2025-04-02,17.9,18.2,17.9,17.9,820202,VTZ
2025-04-03,17.9,17.9,17.0,17.1,1233100,VTZ
2025-04-04,17.1,17.1,16.5,16.8,1227077,VTZ
2025-04-08,16.8,16.8,16.4,16.4,999201,VTZ
2025-04-09,16.4,16.8,16.1,16.4,1209047,VTZ
2025-04-10,16.4,18.0,16.3,18.0,1137114,VTZ
2025-04-11,18.0,18.5,18.0,18.1,1401620,VTZ
2025-04-14,18.1,18.3,17.7,17.7,1340201,VTZ
2025-04-15,17.7,17.8,17.1,17.1,1271812,VTZ
2025-04-16,17.2,17.3,17.0,17.1,1120441,VTZ
2025-04-17,17.1,17.3,16.9,17.2,1191810,VTZ
2025-04-18,17.2,17.8,17.2,17.8,1308200,VTZ
2025-04-21,17.7,17.9,17.3,17.4,1382700,VTZ
2025-04-22,17.4,17.5,16.9,17.2,1160811,VTZ
2025-04-23,17.2,17.5,17.2,17.3,1507649,VTZ
2025-04-24,17.3,17.5,17.1,17.4,1673510,VTZ
2025-04-25,17.4,17.6,17.2,17.4,1535567,VTZ
2025-04-28,17.4,17.7,17.3,17.3,1408420,VTZ
2025-04-29,17.3,17.4,17.0,17.3,1198764,VTZ
2025-05-05,17.3,17.5,17.3,17.4,1219610,VTZ
2025-05-06,17.5,17.7,17.2,17.4,1388762,VTZ
2025-05-07,17.4,17.6,17.2,17.4,1703317,VTZ
2025-05-08,17.4,17.6,17.3,17.4,1939363,VTZ
2025-05-09,17.5,17.6,17.2,17.4,1519307,VTZ
2025-05-12,17.4,17.6,17.3,17.5,1429112,VTZ
2025-05-13,17.5,17.9,17.4,17.5,1588500,VTZ
2025-05-14,17.5,17.7,17.5,17.5,1477230,VTZ
2025-05-15,17.5,17.6,17.4,17.4,1526400,VTZ
2025-05-16,17.4,17.5,17.1,17.2,1444424,VTZ
2025-05-19,17.0,17.4,16.9,17.0,1577700,VTZ
2025-05-20,16.7,17.2,16.7,16.8,1648760,VTZ
2025-05-21,16.8,17.0,16.8,16.9,1514495,VTZ
